STCODE,DIST,YEAR,RICE Kharif area,RICE Kharif production,RICE Total Area,RICE Total Production,RICE Total Yield,WHT Rabi area,WHT Rabi production,WHT Total Area,WHT Total Production,WHT Total Yield,MAIZ Kharif area,MAIZ Kharif production,MAIZ Total Area,MAIZ Total Production,MAIZ Total Yield,CPEA Rabi area,CPEA Rabi production,CPEA Total Area,CPEA Total Production,CPEA Total Yield,PPEA Kharif area,PPEA Kharif production,PPEA Total Area,PPEA Total Production,PPEA Total Yield,BLCK Total Area,BLCK Total Production,BLCK Total Yield,GREN Total Area,GREN Total Production,GREN Total Yield,SESA Kharif area,SESA Kharif production,SESA Total Area,SESA Total Production,SESA Total Yield,RM Rabi area,RM Rabi production,RM Total Area,RM Total Production,RM Total Yield,SCAN Total Area,SGUR Total Production,SCAN Total Yield
1,44,1997,185.7000,278.5000,186.3000,280.6000,1506.1728,54.5244,162.4089,54.5232,161.2278,2670.4182,0.2000,0.4000,0.3000,0.6000,2000.0000,4.7829,3.1503,4.7314,3.0909,684.9498,1.6000,0.4000,1.6000,0.4000,250.0000,16.4000,7.3250,445.8599,13.6350,5.1550,463.8298,4.1000,0.5000,6.1000,0.7000,114.7541,0.9313,0.5198,0.9286,0.5132,602.5450,4.9000,34.1800,6975.5102
1,44,1998,194.4000,370.7000,196.4000,378.2000,1925.6619,54.5097,162.3997,54.4967,161.1750,2784.8568,0.3000,0.5000,0.3000,0.5000,1666.6667,4.7902,3.5088,4.8164,3.4244,850.3779,1.8000,1.1000,1.8000,1.1000,611.1111,16.4000,7.3250,412.6074,13.6350,5.1550,377.0492,4.6000,0.6000,6.6000,1.1000,166.6667,0.9749,0.6151,0.9670,0.6145,650.6194,6.9000,47.8000,6927.5362
1,44,1999,189.0300,323.5300,190.7300,329.3900,1726.9963,0.0100,0.0000,0.0100,0.0000,0.0000,0.3000,0.8600,0.3200,0.9500,2968.7500,4.7736,3.0410,4.7588,3.0151,606.1936,0.9935,0.0525,1.4557,0.1679,250.6216,16.4000,7.3250,431.0595,13.6350,5.1550,292.8311,1.9500,0.4700,6.2900,1.1700,186.0095,0.7418,0.5682,0.7393,0.5659,708.2983,3.9600,32.0610,8096.2121
1,44,2000,206.0675,399.1600,208.5600,401.1700,1923.5232,54.4834,162.3426,54.5254,161.1681,2782.9747,0.2400,0.6300,0.2500,0.6900,2760.0000,3.8152,2.8021,3.8089,2.8019,815.1223,1.7600,0.9700,1.7600,0.9700,551.1364,16.4000,7.3250,348.5130,13.6350,5.1550,467.7419,2.0100,0.4700,5.8600,1.0700,182.5939,0.9375,0.5209,0.9319,0.5132,601.4116,2.7300,20.7160,7588.2784
1,44,2001,178.7700,393.6500,180.3600,397.2500,2202.5394,49.7344,162.3301,49.5401,161.1370,2967.2784,0.3100,0.8300,0.4600,1.7800,3869.5652,3.1531,3.1920,3.1857,3.2094,1147.8026,1.4000,0.8100,1.4000,0.8100,578.5714,16.4000,7.3250,511.4317,13.6350,5.1550,445.3698,3.2800,0.5500,7.2600,1.5900,216.6213,0.5067,0.1125,0.5102,0.1080,271.9643,6.6300,54.0040,8145.3997
1,44,2002,153.1500,267.5500,153.7800,269.1500,1750.2276,51.3296,162.3676,51.1880,161.2416,2956.5310,0.4000,0.3900,0.9000,3.8500,4277.7778,2.9813,2.3423,2.9622,2.3168,876.8046,1.5200,0.5300,1.5200,0.5300,348.6842,16.4000,7.3250,299.7209,13.6350,5.1550,262.1107,2.1000,0.2000,4.5200,0.6600,146.0177,0.7879,0.7480,0.7777,0.7495,872.4516,3.1500,20.7250,6579.3651
1,44,2003,188.2200,421.8000,190.4200,426.3000,2238.7354,52.6946,162.3746,52.6450,161.2144,2975.2870,1.1500,1.9700,2.0400,6.9800,3421.5686,3.6919,1.9928,3.6731,2.0293,763.3637,1.5700,0.6700,1.5700,0.6700,426.7516,16.4000,7.3250,488.1966,13.6350,5.1550,479.9545,1.6900,0.4900,6.7600,1.4800,218.9349,0.6990,0.5684,0.6947,0.5669,748.5761,6.8400,48.7280,7123.9766
1,44,2004,190.8000,426.9900,192.9900,454.3000,2354.0080,50.4288,162.3830,50.2239,161.1805,3067.9816,1.1100,3.2900,1.8600,8.6900,4390.9091,2.9782,2.3416,2.9606,2.3169,983.9590,1.4300,0.9500,1.4300,0.9500,664.3357,16.4000,7.3250,357.6471,13.6350,5.1550,355.5324,2.2300,0.2100,7.1900,1.0700,148.8178,0.7927,0.6172,0.7778,0.6135,764.5458,9.0700,69.0150,7609.1510
1,44,2005,153.5200,271.4300,157.7600,281.5300,1784.5461,50.4025,162.3551,50.2190,161.1254,2852.0287,1.3800,4.9500,2.4600,12.9800,4390.9091,2.8723,2.2064,2.8558,2.2276,1111.6559,1.4400,0.8700,1.4400,0.8700,604.1667,16.4000,7.3250,370.5912,13.6350,5.1550,358.4906,2.5700,0.4300,7.2600,1.0700,134.5912,0.5163,0.1089,0.5069,0.1089,273.1557,11.0000,80.1880,7289.8182
1,44,2006,193.9900,426.9900,197.4200,499.0000,2527.6061,51.9849,165.3967,51.9783,164.0844,2989.5364,1.8600,5.0900,3.0100,13.8400,4390.9091,0.0200,0.0300,0.0200,0.0300,1500.0000,1.6400,0.7900,1.6400,0.7900,481.7073,16.4000,7.3250,433.3564,13.6350,5.1550,463.2247,1.9800,0.2400,6.4500,0.9600,148.8372,0.9315,0.5522,0.9311,0.5451,598.5234,12.1700,92.6120,7609.8603
1,44,2007,201.0000,426.9900,203.0000,586.7200,3049.2611,48.7892,162.3641,48.5628,161.2511,3060.5823,2.0000,7.0000,3.0000,18.0000,4390.9091,3.0560,2.3500,3.0317,2.3203,1018.4950,2.0000,1.0000,2.0000,1.0000,500.0000,16.4000,7.3250,479.1667,13.6350,5.1550,500.0000,4.0000,0.7159,7.2600,1.0000,100.0000,0.8661,0.5517,0.8666,0.5463,655.0265,11.0000,77.8000,7072.7273
1,44,2008,203.1700,408.3800,205.8400,414.5700,2014.0400,52.6625,165.3836,52.6754,164.0703,2970.6907,1.6600,5.3300,3.3800,20.5700,4390.9091,0.0200,0.0300,0.0200,0.0300,1500.0000,1.3300,0.6400,1.3300,0.6400,481.2030,16.4000,7.3250,566.0422,13.6350,5.1550,387.4959,3.0800,0.3000,6.8800,0.8600,125.0000,0.9323,0.5680,0.9313,0.5676,735.8826,7.1400,54.8040,7675.6303
