Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,April,May,June,July,August,September,October,November,December,January,February,March,Total
District,,,,,,,,,,,,,,,,
Bilaspur,1.1,Total number of pregnant women Registered for ANC,TOTAL,663.0,645.0,619.0,570.0,586.0,598.0,569.0,683.0,679.0,642.0,671.0,654.0,7579.0
Bilaspur,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,,,,,,,,,,,240.0,226.0,466.0
Bilaspur,1.2,Number of Pregnant women registered under JSY,TOTAL,,,,,,,,,,,40.0,519.0,559.0
Bilaspur,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,473.0,502.0,501.0,464.0,504.0,542.0,501.0,549.0,598.0,512.0,571.0,557.0,6274.0
Bilaspur,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,,,,,,,,,,,,,
Bilaspur,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,575.0,629.0,585.0,536.0,525.0,583.0,533.0,627.0,693.0,639.0,670.0,680.0,7275.0
Bilaspur,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,568.0,345.0,342.0,351.0,562.0,265.0,307.0,387.0,473.0,485.0,557.0,695.0,5337.0
Bilaspur,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,,,,,,,,,,,,,
Bilaspur,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,,,,,,,,,,,,,
Bilaspur,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,,,,,,,,,,,44.0,,44.0
Bilaspur,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,,,,,,,,,,,,,
Bilaspur,1.8,Number of pregnancy test kits used at SC level,TOTAL,,,,,,,,,,,,,
Bilaspur,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,18.0,22.0,17.0,18.0,17.0,23.0,26.0,34.0,24.0,26.0,29.0,21.0,275.0
