Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,April,May,June,July,August,September,October,November,December,January,February,March,Total
District,,,,,,,,,,,,,,,,
M/O Defence,1.1,Total number of pregnant women Registered for ANC,TOTAL,6871.0,6755.0,6616.0,7389.0,19643.0,8818.0,8422.0,7703.0,10428.0,10887.0,10908.0,10631.0,115071.0
M/O Defence,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,,,,,,7589.0,8260.0,5428.0,6850.0,,,,28127.0
M/O Defence,1.2,Number of Pregnant women registered under JSY,TOTAL,,,,,,,,,,,,,
M/O Defence,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,,,,,,,,,,9228.0,9151.0,9397.0,27776.0
M/O Defence,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,,,,,,,,,,,1360.0,1508.0,2868.0
M/O Defence,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,2019.0,5015.0,3517.0,4462.0,2763.0,6407.0,,1611.0,1269.0,1242.0,2458.0,2031.0,32794.0
M/O Defence,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,1192.0,1267.0,1236.0,1553.0,1652.0,1166.0,1460.0,1432.0,1108.0,116398.0,95727.0,144200.0,368391.0
M/O Defence,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,,,,,,,,,,,,,
M/O Defence,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,,,,,,,,,,,,,
M/O Defence,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,,,,,,,,,,,,,
M/O Defence,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,,,,,,,,,,,,,
M/O Defence,1.8,Number of pregnancy test kits used at SC level,TOTAL,,,,,,,,,,,,,
M/O Defence,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,,,,,,,,,,130.0,286.0,2.0,418.0
M/O Defence,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,,,,,,,,,,,,,
M/O Defence,2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,,,,,,,,,,130.0,286.0,2.0,418.0
M/O Defence,2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,,,,,,,,,,,,,
