Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,April,May,June,July,August,September,October,November,December,January,February,March,Total
District,,,,,,,,,,,,,,,,
Amritsar,1.1,Total number of pregnant women Registered for ANC,TOTAL,3127.0,3710.0,3356.0,3348.0,3626.0,3554.0,3512.0,3330.0,5024.0,3580.0,3633.0,4062.0,43862.0
Amritsar,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,1789.0,2225.0,2358.0,2215.0,2467.0,2334.0,2311.0,2454.0,3768.0,1806.0,2479.0,2533.0,28739.0
Amritsar,1.2,Number of Pregnant women registered under JSY,TOTAL,,167.0,438.0,185.0,,,,,,776.0,823.0,1377.0,3766.0
Amritsar,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,3084.0,3538.0,3407.0,3667.0,4270.0,4050.0,4092.0,4112.0,5753.0,4036.0,3717.0,3487.0,47213.0
Amritsar,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,3127.0,3705.0,3371.0,3377.0,3626.0,3554.0,3512.0,3272.0,5024.0,3580.0,3633.0,4030.0,43811.0
Amritsar,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,3303.0,3387.0,3610.0,3398.0,3356.0,3460.0,3474.0,3371.0,4453.0,3359.0,3451.0,4150.0,42772.0
Amritsar,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,,,,2080.0,459.0,,961.0,1492.0,7408.0,2480.0,4846.0,4256.0,23982.0
Amritsar,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,,,,,,,,,151.0,258.0,234.0,319.0,962.0
Amritsar,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,,,,,,,,,,,,,
Amritsar,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,,,,,,,,,1181.0,1433.0,1212.0,1326.0,5152.0
Amritsar,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,,,,,,,,,414.0,332.0,328.0,277.0,1351.0
Amritsar,1.8,Number of pregnancy test kits used at SC level,TOTAL,,,,,,,,,,,,,
Amritsar,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,579.0,693.0,645.0,588.0,648.0,631.0,635.0,868.0,1255.0,752.0,555.0,604.0,8453.0
Amritsar,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,711.0,868.0,758.0,805.0,828.0,806.0,856.0,747.0,836.0,552.0,757.0,779.0,9303.0
Amritsar,2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,1290.0,1561.0,1403.0,1393.0,1476.0,1437.0,1491.0,1615.0,2091.0,1304.0,1312.0,1383.0,17756.0
Amritsar,2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,,,,,,,1482.0,1413.0,1912.0,914.0,1251.0,1127.0,8099.0
Amritsar,2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,,,,,,,,,,426.0,406.0,2064.0,2896.0
Amritsar,2.2,Deliveries conducted at Public Institutions (Including C-Sections),TOTAL,765.0,749.0,812.0,876.0,980.0,1041.0,1031.0,518.0,740.0,489.0,435.0,417.0,8853.0
Amritsar,2.2.1,"Out of 2.2, Number discharged under 48 hours of delivery",TOTAL,,,,,,,831.0,,666.0,196.0,308.0,320.0,2321.0
Amritsar,2.2.2.a,Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,,,,,,,,,,,136.0,785.0,921.0
Amritsar,2.2.2.b,Number of ASHAs paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,,,,,,,,,,,,,
Amritsar,2.2.2.c,Number of cases of deliveries conducted at Public Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,,,,,,,,,,,,,
Amritsar,2.3,Deliveries conducted at Private Institutions (Including C-Sections),TOTAL,822.0,944.0,792.0,866.0,992.0,965.0,961.0,900.0,1312.0,1063.0,956.0,896.0,11469.0
Amritsar,2.3.1.a,Number of mothers paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,,,,,,,,,,,,,
Amritsar,2.3.1.b,Number of ASHAs paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,,,,,,,,,,,,,
Amritsar,2.3.1.c,Number of cases of deliveries conducted at accredited Private Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,,,,,,,,,,,,,
Amritsar,3.1.1,Number of Caesarean (C-Section) deliveries performed at PHCs (Primary Health Centre),TOTAL,,,,,,,,,,,,,
Amritsar,3.1.2,Number of Caesarean (C-Section) deliveries performed at CHCs (Community Health Centre),TOTAL,,46.0,5.0,5.0,1.0,3.0,,9.0,21.0,13.0,16.0,10.0,129.0
Amritsar,3.1.3,Number of Caesarean (C-Section) deliveries performed at SDHs (Sub-divisional Hospital) or DHs (District Hospital),TOTAL,33.0,113.0,96.0,78.0,120.0,94.0,125.0,61.0,73.0,66.0,101.0,43.0,1003.0
Amritsar,3.1.4,Number of Caesarean (C-Section) deliveries performed at other State owned public institutions,TOTAL,,,,,,,,,,,,,
Amritsar,3.1.5,"Total Number of Caesarean (C-Section) deliveries performed at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 3.1.1 to 3.1.4)",TOTAL,33.0,159.0,101.0,83.0,121.0,97.0,125.0,70.0,94.0,79.0,117.0,53.0,1132.0
Amritsar,3.2,No. of C-section deliveries performed at Private facilities,TOTAL,93.0,105.0,54.0,54.0,85.0,86.0,105.0,69.0,54.0,118.0,146.0,93.0,1062.0
Amritsar,4.1.1.a,Number of male live births,TOTAL,1529.0,1723.0,1627.0,1648.0,1820.0,1801.0,1849.0,1591.0,2264.0,1527.0,1505.0,1317.0,20201.0
Amritsar,4.1.1.b,Number of female live births,TOTAL,1335.0,1500.0,1356.0,1458.0,1580.0,1596.0,1608.0,1410.0,1853.0,1292.0,1152.0,1343.0,17483.0
Amritsar,4.1.1.c,Total number of male and female live births (4.1.1.a and 4.1.1.b),TOTAL,2864.0,3223.0,2983.0,3106.0,3400.0,3397.0,3457.0,3001.0,4117.0,2819.0,2657.0,2660.0,37684.0
Amritsar,4.1.2,Number of still births,TOTAL,13.0,31.0,24.0,29.0,48.0,46.0,26.0,32.0,26.0,37.0,46.0,36.0,394.0
Amritsar,4.1.3,Number of Abortions (spontaneous or induced),TOTAL,53.0,76.0,,70.0,77.0,57.0,62.0,49.0,31.0,53.0,109.0,78.0,715.0
