Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,April,May,June,July,August,September,October,November,December,January,February,March,Total
State,,,,,,,,,,,,,,,,
A & N Islands,1.1,Total number of pregnant women Registered for ANC,TOTAL,402.0,986.0,412.0,497.0,452.0,486.0,376.0,511.0,396.0,392.0,406.0,399.0,5715.0
A & N Islands,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,160.0,100.0,200.0,210.0,185.0,189.0,171.0,234.0,197.0,203.0,209.0,213.0,2271.0
A & N Islands,1.2,Number of Pregnant women registered under JSY,TOTAL,22.0,71.0,22.0,39.0,41.0,19.0,35.0,15.0,41.0,31.0,42.0,43.0,421.0
A & N Islands,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,330.0,864.0,378.0,399.0,355.0,399.0,374.0,419.0,422.0,363.0,376.0,464.0,5143.0
A & N Islands,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,294.0,607.0,301.0,337.0,316.0,297.0,352.0,341.0,294.0,320.0,323.0,294.0,4076.0
A & N Islands,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,294.0,578.0,272.0,329.0,369.0,317.0,320.0,330.0,328.0,301.0,297.0,362.0,4097.0
A & N Islands,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,508.0,1532.0,577.0,845.0,702.0,1189.0,1861.0,1775.0,781.0,1379.0,1067.0,3053.0,15269.0
A & N Islands,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,24.0,23.0,23.0,78.0,37.0,35.0,55.0,45.0,73.0,35.0,48.0,41.0,517.0
A & N Islands,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,3.0,,,1.0,,2.0,,1.0,,2.0,2.0,1.0,12.0
A & N Islands,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,881.0,950.0,398.0,1706.0,1520.0,1385.0,1322.0,1430.0,1275.0,849.0,1041.0,1247.0,14004.0
A & N Islands,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,32.0,129.0,8.0,65.0,41.0,52.0,34.0,32.0,15.0,41.0,16.0,19.0,484.0
A & N Islands,1.8,Number of pregnancy test kits used at SC level,TOTAL,,,,,,,,,,,,,
A & N Islands,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,6.0,27.0,23.0,17.0,19.0,17.0,8.0,13.0,11.0,17.0,8.0,16.0,182.0
A & N Islands,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,18.0,46.0,13.0,39.0,35.0,31.0,30.0,31.0,41.0,21.0,27.0,25.0,357.0
A & N Islands,2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,24.0,73.0,36.0,56.0,54.0,48.0,38.0,44.0,52.0,38.0,35.0,41.0,539.0
A & N Islands,2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,23.0,64.0,125.0,53.0,41.0,39.0,45.0,41.0,46.0,28.0,38.0,41.0,584.0
A & N Islands,2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,1.0,,22.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,39.0
A & N Islands,2.2,Deliveries conducted at Public Institutions (Including C-Sections),TOTAL,320.0,436.0,321.0,382.0,315.0,399.0,431.0,394.0,381.0,388.0,317.0,388.0,4472.0
A & N Islands,2.2.1,"Out of 2.2, Number discharged under 48 hours of delivery",TOTAL,246.0,396.0,321.0,430.0,282.0,353.0,391.0,318.0,306.0,308.0,278.0,299.0,3928.0
A & N Islands,2.2.2.a,Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,1.0,34.0,58.0,1.0,3.0,16.0,2.0,2.0,17.0,243.0,9.0,103.0,489.0
A & N Islands,2.2.2.b,Number of ASHAs paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,,27.0,,2.0,2.0,24.0,2.0,15.0,,4.0,4.0,,80.0
A & N Islands,2.2.2.c,Number of cases of deliveries conducted at Public Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,,,2.0,,,,1.0,,,,,,3.0
A & N Islands,2.3,Deliveries conducted at Private Institutions (Including C-Sections),TOTAL,,,,,,,,,,,,,
