Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,April,May,June,July,August,September,October,November,December,January,February,March,Total
District,,,,,,,,,,,,,,,,
Adilabad,1.1,Total number of pregnant women Registered for ANC,TOTAL,4899.0,5029.0,4798.0,4895.0,4982.0,5012.0,4926.0,5099.0,5055.0,5029.0,4992.0,5029.0,59745.0
Adilabad,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,4899.0,1042.0,2928.0,3812.0,3438.0,3847.0,3115.0,3371.0,3388.0,3192.0,3787.0,3845.0,40664.0
Adilabad,1.2,Number of Pregnant women registered under JSY,TOTAL,839.0,1022.0,568.0,507.0,329.0,227.0,368.0,560.0,1012.0,922.0,618.0,1080.0,8052.0
Adilabad,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,4889.0,4989.0,4560.0,4715.0,4950.0,4926.0,4880.0,4843.0,5029.0,5020.0,4845.0,4901.0,58547.0
Adilabad,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,4899.0,5010.0,4798.0,4895.0,4922.0,4921.0,4881.0,4999.0,5050.0,5020.0,4845.0,4901.0,59141.0
Adilabad,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,4889.0,5010.0,4798.0,4888.0,4915.0,4896.0,4881.0,4999.0,1015.0,1244.0,1278.0,1417.0,44230.0
Adilabad,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,4889.0,5010.0,4798.0,4888.0,4915.0,4896.0,4881.0,4999.0,5050.0,5020.0,4845.0,4901.0,59092.0
Adilabad,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,126.0,132.0,209.0,1076.0,956.0,928.0,847.0,794.0,815.0,1013.0,987.0,1019.0,8902.0
Adilabad,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,,,18.0,21.0,28.0,35.0,219.0,149.0,108.0,97.0,103.0,122.0,900.0
Adilabad,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,476.0,573.0,598.0,1012.0,1087.0,1134.0,931.0,1082.0,987.0,856.0,915.0,1196.0,10847.0
Adilabad,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,328.0,396.0,461.0,897.0,842.0,821.0,678.0,624.0,711.0,678.0,591.0,412.0,7439.0
Adilabad,1.8,Number of pregnancy test kits used at SC level,TOTAL,,,,,,,,,,,,,
Adilabad,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,1646.0,1494.0,1611.0,1695.0,1171.0,1402.0,1175.0,1240.0,505.0,561.0,579.0,935.0,14014.0
Adilabad,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,486.0,589.0,596.0,334.0,380.0,378.0,223.0,279.0,140.0,142.0,117.0,370.0,4034.0
Adilabad,2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,2132.0,2083.0,2207.0,2029.0,1551.0,1780.0,1398.0,1519.0,645.0,703.0,696.0,1305.0,18048.0
Adilabad,2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,1609.0,1952.0,2102.0,1589.0,1409.0,1461.0,1094.0,1134.0,568.0,561.0,512.0,1282.0,15273.0
Adilabad,2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,,,,,,,,,,,,,
Adilabad,2.2,Deliveries conducted at Public Institutions (Including C-Sections),TOTAL,1375.0,2186.0,1364.0,1302.0,1698.0,2105.0,1846.0,1823.0,2095.0,1975.0,1859.0,1894.0,21522.0
Adilabad,2.2.1,"Out of 2.2, Number discharged under 48 hours of delivery",TOTAL,1249.0,1836.0,1178.0,910.0,676.0,1246.0,1028.0,1231.0,1706.0,1807.0,1657.0,1705.0,16229.0
Adilabad,2.2.2.a,Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,885.0,1022.0,568.0,359.0,109.0,95.0,,528.0,1012.0,812.0,618.0,1028.0,7036.0
Adilabad,2.2.2.b,Number of ASHAs paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,,,,,,,,,,,,,
Adilabad,2.2.2.c,Number of cases of deliveries conducted at Public Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,,,,,,,,,,,,,
Adilabad,2.3,Deliveries conducted at Private Institutions (Including C-Sections),TOTAL,702.0,752.0,465.0,710.0,1180.0,587.0,815.0,784.0,1295.0,1196.0,1087.0,1829.0,11402.0
Adilabad,2.3.1.a,Number of mothers paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,,,,,,,,,,,,,
Adilabad,2.3.1.b,Number of ASHAs paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,,,,,,,,,,,,,
Adilabad,2.3.1.c,Number of cases of deliveries conducted at accredited Private Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,,,,,,,,,,,,,
Adilabad,3.1.1,Number of Caesarean (C-Section) deliveries performed at PHCs (Primary Health Centre),TOTAL,,,,,,,,,,,,,
Adilabad,3.1.2,Number of Caesarean (C-Section) deliveries performed at CHCs (Community Health Centre),TOTAL,19.0,37.0,21.0,14.0,10.0,11.0,7.0,4.0,13.0,9.0,7.0,,152.0
Adilabad,3.1.3,Number of Caesarean (C-Section) deliveries performed at SDHs (Sub-divisional Hospital) or DHs (District Hospital),TOTAL,72.0,44.0,39.0,45.0,52.0,87.0,73.0,67.0,127.0,107.0,118.0,302.0,1133.0
Adilabad,3.1.4,Number of Caesarean (C-Section) deliveries performed at other State owned public institutions,TOTAL,291.0,33.0,42.0,56.0,61.0,125.0,129.0,216.0,139.0,146.0,139.0,279.0,1656.0
