Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,April,May,June,July,August,September,October,November,December,January,February,March,Total
District,,,,,,,,,,,,,,,,
Alappuzha,1.1,Total number of pregnant women Registered for ANC,TOTAL,2963.0,2472.0,2333.0,2095.0,2144.0,2549.0,2996.0,2907.0,2635.0,2247.0,2333.0,2030.0,29704.0
Alappuzha,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,1993.0,1786.0,1723.0,1546.0,1661.0,1706.0,2099.0,1998.0,1746.0,1665.0,1732.0,1554.0,21209.0
Alappuzha,1.2,Number of Pregnant women registered under JSY,TOTAL,1329.0,1515.0,1397.0,1184.0,1320.0,1293.0,1735.0,1460.0,1092.0,1214.0,1240.0,1209.0,15988.0
Alappuzha,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,1812.0,2002.0,1942.0,1779.0,1763.0,1906.0,1998.0,2066.0,1911.0,1997.0,1920.0,1923.0,23019.0
Alappuzha,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,2627.0,2475.0,2292.0,2136.0,2181.0,2419.0,2863.0,2850.0,2232.0,2202.0,2044.0,1960.0,28281.0
Alappuzha,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,2337.0,2419.0,2406.0,2200.0,2066.0,2480.0,2431.0,2757.0,2416.0,2072.0,1993.0,2069.0,27646.0
Alappuzha,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,319.0,361.0,461.0,418.0,353.0,574.0,1067.0,1464.0,2179.0,2582.0,2742.0,2492.0,15012.0
Alappuzha,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,25.0,26.0,31.0,17.0,26.0,29.0,34.0,31.0,17.0,28.0,26.0,24.0,314.0
Alappuzha,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,,,,,4.0,,,,,,,,4.0
Alappuzha,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,53.0,79.0,34.0,26.0,22.0,149.0,53.0,41.0,80.0,39.0,49.0,111.0,736.0
Alappuzha,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,,,6.0,,1.0,9.0,,,1.0,,,,17.0
Alappuzha,1.8,Number of pregnancy test kits used at SC level,TOTAL,,,,,,,,,,,,,
Alappuzha,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,,,,,,2.0,,,1.0,,,,3.0
Alappuzha,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,,1.0,,,,2.0,,,1.0,1.0,,,5.0
