Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,April,May,June,July,August,September,October,November,December,January,February,March,Total
District,,,,,,,,,,,,,,,,
Baksa,1.1,Total number of pregnant women Registered for ANC,TOTAL,1801.0,1922.0,1769.0,1735.0,1808.0,1709.0,1527.0,1401.0,1510.0,1294.0,1415.0,324.0,18215.0
Baksa,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,801.0,880.0,839.0,803.0,904.0,793.0,745.0,710.0,752.0,640.0,758.0,102.0,8727.0
Baksa,1.2,Number of Pregnant women registered under JSY,TOTAL,1715.0,1804.0,1721.0,1686.0,1769.0,1671.0,1512.0,1382.0,1498.0,1280.0,1375.0,317.0,17730.0
Baksa,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,900.0,977.0,958.0,983.0,1086.0,1302.0,1154.0,1193.0,1262.0,994.0,1061.0,149.0,12019.0
Baksa,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,1304.0,1405.0,1384.0,1449.0,1491.0,1422.0,1328.0,1199.0,1251.0,1092.0,1208.0,289.0,14822.0
Baksa,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,1152.0,1288.0,1350.0,1256.0,1331.0,1498.0,1235.0,1205.0,1304.0,1060.0,1082.0,256.0,14017.0
Baksa,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,1422.0,1501.0,1502.0,1480.0,1355.0,1419.0,1213.0,1315.0,1209.0,975.0,1140.0,329.0,14860.0
Baksa,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,23.0,19.0,15.0,12.0,23.0,28.0,26.0,26.0,62.0,14.0,17.0,10.0,275.0
Baksa,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,,,,,1.0,1.0,2.0,,,,,,4.0
Baksa,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,79.0,86.0,22.0,48.0,84.0,457.0,356.0,243.0,308.0,281.0,268.0,33.0,2265.0
Baksa,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,,,,,5.0,,,,,,,,5.0
