Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,April,May,June,July,August,September,October,November,December,January,February,March,Total
District,,,,,,,,,,,,,,,,
Chandigarh,1.1,Total number of pregnant women Registered for ANC,TOTAL,3826.0,3754.0,3013.0,3206.0,3057.0,2905.0,2046.0,2539.0,2399.0,2278.0,3083.0,2892.0,34998.0
Chandigarh,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,1042.0,1066.0,964.0,898.0,882.0,796.0,607.0,783.0,843.0,834.0,1202.0,1133.0,11050.0
Chandigarh,1.2,Number of Pregnant women registered under JSY,TOTAL,44.0,23.0,34.0,17.0,38.0,29.0,25.0,34.0,45.0,39.0,142.0,102.0,572.0
Chandigarh,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,2610.0,2507.0,2315.0,2657.0,2428.0,2414.0,2130.0,2161.0,1868.0,1708.0,2118.0,2356.0,27272.0
Chandigarh,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,1917.0,1793.0,1809.0,1674.0,1822.0,1704.0,1189.0,1492.0,1370.0,1229.0,1849.0,1677.0,19525.0
Chandigarh,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,1604.0,1718.0,1873.0,1624.0,1600.0,1619.0,1318.0,1415.0,1235.0,1108.0,1433.0,1656.0,18203.0
Chandigarh,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,1390.0,1507.0,1396.0,1404.0,1345.0,1197.0,882.0,745.0,1098.0,781.0,1348.0,863.0,13956.0
Chandigarh,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,71.0,55.0,70.0,108.0,79.0,60.0,85.0,82.0,79.0,77.0,77.0,102.0,945.0
Chandigarh,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,17.0,18.0,22.0,25.0,21.0,33.0,22.0,18.0,9.0,28.0,12.0,14.0,239.0
Chandigarh,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,1176.0,1834.0,1343.0,1292.0,1234.0,1179.0,896.0,1169.0,1011.0,1088.0,1081.0,1423.0,14726.0
Chandigarh,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,15.0,47.0,19.0,25.0,17.0,19.0,16.0,16.0,12.0,17.0,13.0,15.0,231.0
Chandigarh,1.8,Number of pregnancy test kits used at SC level,TOTAL,,,,,,,,,,,,,
Chandigarh,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,6.0,3.0,4.0,4.0,20.0,4.0,6.0,4.0,6.0,4.0,3.0,6.0,70.0
Chandigarh,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,195.0,161.0,164.0,187.0,218.0,259.0,230.0,203.0,218.0,201.0,170.0,201.0,2407.0
Chandigarh,2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,201.0,164.0,168.0,191.0,238.0,263.0,236.0,207.0,224.0,205.0,173.0,207.0,2477.0
Chandigarh,2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,104.0,93.0,102.0,114.0,127.0,133.0,146.0,102.0,115.0,96.0,79.0,101.0,1312.0
Chandigarh,2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,,,,,,,,,,,,,
Chandigarh,2.2,Deliveries conducted at Public Institutions (Including C-Sections),TOTAL,1192.0,1308.0,1428.0,1762.0,1981.0,2001.0,2070.0,1896.0,1737.0,1670.0,1424.0,1563.0,20032.0
Chandigarh,2.2.1,"Out of 2.2, Number discharged under 48 hours of delivery",TOTAL,525.0,707.0,785.0,980.0,1104.0,1197.0,1261.0,1103.0,1009.0,1011.0,775.0,829.0,11286.0
Chandigarh,2.2.2.a,Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,10.0,21.0,23.0,26.0,19.0,14.0,13.0,16.0,17.0,15.0,18.0,20.0,212.0
Chandigarh,2.2.2.b,Number of ASHAs paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,,,,,,,,,,,,,
Chandigarh,2.2.2.c,Number of cases of deliveries conducted at Public Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,,,,,,,,,,,,,
Chandigarh,2.3,Deliveries conducted at Private Institutions (Including C-Sections),TOTAL,,,,,,,,,,,,,
