Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,April,May,June,July,August,September,October,November,December,January,February,March,Total
District,,,,,,,,,,,,,,,,
M/O Railways,1.1,Total number of pregnant women Registered for ANC,TOTAL,1349.0,1414.0,1501.0,1381.0,1404.0,1221.0,,,,,,,8270.0
M/O Railways,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,,,,,,,,,,,,,
M/O Railways,1.2,Number of Pregnant women registered under JSY,TOTAL,,,,,,,,,,,,,
M/O Railways,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,1079.0,1179.0,1201.0,1399.0,1286.0,1057.0,,,,,,,7201.0
M/O Railways,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,,,,,,,,,,,,,
M/O Railways,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,900.0,1453.0,1647.0,1318.0,1218.0,1190.0,,,,,,,7726.0
M/O Railways,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,19202.0,15085.0,16676.0,16657.0,20148.0,19592.0,,,,,,,107360.0
M/O Railways,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,,,,,,,,,,,,,
M/O Railways,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,,,,,,,,,,,,,
M/O Railways,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,,,,,,,,,,,,,
M/O Railways,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,,,,,,,,,,,,,
M/O Railways,1.8,Number of pregnancy test kits used at SC level,TOTAL,,,,,,,,,,,,,
M/O Railways,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,,1.0,1.0,,,,,,,,,,2.0
M/O Railways,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,,,4.0,,,,,,,,,,4.0
M/O Railways,2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,,1.0,5.0,,,,,,,,,,6.0
M/O Railways,2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,,,,,,,,,,,,,
M/O Railways,2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,,,,,,,,,,,,,
