Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,April,May,June,July,August,September,October,November,December,January,February,March,Total
District,,,,,,,,,,,,,,,,
Bishnupur,1.1,Total number of pregnant women Registered for ANC,TOTAL,797.0,648.0,695.0,764.0,753.0,422.0,325.0,344.0,374.0,333.0,351.0,410.0,6216.0
Bishnupur,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,476.0,353.0,327.0,388.0,381.0,232.0,219.0,212.0,234.0,246.0,242.0,317.0,3627.0
Bishnupur,1.2,Number of Pregnant women registered under JSY,TOTAL,377.0,294.0,281.0,319.0,337.0,215.0,204.0,200.0,205.0,218.0,220.0,275.0,3145.0
Bishnupur,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,305.0,303.0,372.0,414.0,263.0,216.0,216.0,232.0,224.0,130.0,173.0,180.0,3028.0
Bishnupur,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,439.0,357.0,333.0,366.0,347.0,260.0,225.0,221.0,249.0,259.0,271.0,290.0,3617.0
Bishnupur,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,261.0,299.0,288.0,324.0,298.0,272.0,226.0,258.0,192.0,175.0,204.0,349.0,3146.0
Bishnupur,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,140.0,182.0,211.0,169.0,290.0,280.0,145.0,123.0,163.0,108.0,176.0,163.0,2150.0
Bishnupur,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,3.0,,,,2.0,,1.0,2.0,,1.0,1.0,,10.0
Bishnupur,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,,,,,,,,,,,,,
Bishnupur,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,70.0,70.0,38.0,55.0,120.0,59.0,70.0,55.0,82.0,53.0,81.0,66.0,819.0
Bishnupur,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,1.0,,,1.0,,,,,,,,,2.0
Bishnupur,1.8,Number of pregnancy test kits used at SC level,TOTAL,,,,,,,,,,,,,
Bishnupur,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,30.0,26.0,29.0,27.0,36.0,28.0,46.0,40.0,42.0,33.0,15.0,29.0,381.0
Bishnupur,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,4.0,5.0,6.0,9.0,1.0,2.0,1.0,4.0,,,,2.0,34.0
