Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,April,May,June,July,August,September,October,November,December,January,February,March,Total
District,,,,,,,,,,,,,,,,
Anugul,1.1,Total number of pregnant women Registered for ANC,TOTAL,2493.0,2106.0,2261.0,2267.0,2426.0,2263.0,2323.0,2278.0,2157.0,2137.0,2073.0,1935.0,26719.0
Anugul,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,952.0,978.0,1192.0,982.0,1174.0,1022.0,1015.0,999.0,981.0,947.0,925.0,879.0,12046.0
Anugul,1.2,Number of Pregnant women registered under JSY,TOTAL,2493.0,2106.0,2261.0,2267.0,2426.0,2263.0,2323.0,2278.0,2157.0,2137.0,2073.0,1935.0,26719.0
Anugul,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,2043.0,2020.0,2237.0,2166.0,2225.0,2217.0,2348.0,2191.0,2226.0,2174.0,2060.0,2130.0,26037.0
Anugul,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,1990.0,2004.0,2185.0,2228.0,2320.0,2164.0,2306.0,2097.0,1976.0,1982.0,1933.0,1872.0,25057.0
Anugul,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,2063.0,2075.0,2262.0,1953.0,2424.0,2089.0,2499.0,2097.0,2212.0,2228.0,2200.0,1916.0,26018.0
Anugul,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,1520.0,1382.0,1746.0,2074.0,2077.0,1967.0,2043.0,1799.0,1790.0,1631.0,1794.0,1685.0,21508.0
Anugul,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,43.0,64.0,39.0,39.0,51.0,29.0,240.0,34.0,37.0,41.0,42.0,25.0,684.0
Anugul,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,2.0,2.0,1.0,2.0,2.0,,2.0,1.0,3.0,2.0,,2.0,19.0
Anugul,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,734.0,898.0,866.0,942.0,787.0,908.0,838.0,949.0,993.0,905.0,977.0,915.0,10712.0
Anugul,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,36.0,22.0,26.0,32.0,24.0,22.0,26.0,18.0,8.0,13.0,4.0,14.0,245.0
Anugul,1.8,Number of pregnancy test kits used at SC level,TOTAL,,,,,,,,,,,,,
Anugul,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,21.0,20.0,22.0,20.0,44.0,25.0,20.0,16.0,16.0,10.0,15.0,8.0,237.0
Anugul,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,159.0,181.0,154.0,194.0,205.0,157.0,168.0,171.0,139.0,113.0,120.0,148.0,1909.0
Anugul,2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,180.0,201.0,176.0,214.0,249.0,182.0,188.0,187.0,155.0,123.0,135.0,156.0,2146.0
Anugul,2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,179.0,201.0,169.0,214.0,215.0,182.0,150.0,184.0,145.0,123.0,104.0,152.0,2018.0
Anugul,2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,,3.0,,,,,,1.0,,,,,4.0
Anugul,2.2,Deliveries conducted at Public Institutions (Including C-Sections),TOTAL,1468.0,1612.0,1772.0,1752.0,1715.0,1545.0,1616.0,1716.0,1756.0,1630.0,1626.0,1718.0,19926.0
Anugul,2.2.1,"Out of 2.2, Number discharged under 48 hours of delivery",TOTAL,1254.0,1487.0,1664.0,1332.0,1541.0,1389.0,790.0,1613.0,1562.0,1467.0,1474.0,1272.0,16845.0
Anugul,2.2.2.a,Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,1329.0,958.0,1605.0,1622.0,1474.0,1458.0,1430.0,784.0,1091.0,1434.0,1346.0,1838.0,16369.0
Anugul,2.2.2.b,Number of ASHAs paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,592.0,739.0,609.0,1136.0,1015.0,1422.0,1508.0,847.0,797.0,530.0,1243.0,1150.0,11588.0
Anugul,2.2.2.c,Number of cases of deliveries conducted at Public Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,,,,,,,,,,,,,
Anugul,2.3,Deliveries conducted at Private Institutions (Including C-Sections),TOTAL,,125.0,,98.0,64.0,96.0,78.0,86.0,55.0,48.0,58.0,82.0,790.0
Anugul,2.3.1.a,Number of mothers paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,,,,,,,,,,4.0,2.0,,6.0
Anugul,2.3.1.b,Number of ASHAs paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,,,,,,,,,,,,,
Anugul,2.3.1.c,Number of cases of deliveries conducted at accredited Private Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,,,,,,,,,,,,,
Anugul,3.1.1,Number of Caesarean (C-Section) deliveries performed at PHCs (Primary Health Centre),TOTAL,,,,,,,,,,,,,
Anugul,3.1.2,Number of Caesarean (C-Section) deliveries performed at CHCs (Community Health Centre),TOTAL,9.0,9.0,,,5.0,6.0,,,,,,,29.0
Anugul,3.1.3,Number of Caesarean (C-Section) deliveries performed at SDHs (Sub-divisional Hospital) or DHs (District Hospital),TOTAL,25.0,30.0,22.0,31.0,30.0,21.0,27.0,34.0,27.0,43.0,17.0,5.0,312.0
Anugul,3.1.4,Number of Caesarean (C-Section) deliveries performed at other State owned public institutions,TOTAL,,74.0,32.0,28.0,38.0,,11.0,,36.0,24.0,,20.0,263.0
