Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,April,May,June,July,August,September,October,November,December,January,February,March,Total
District,,,,,,,,,,,,,,,,
Central,1.1,Total number of pregnant women Registered for ANC,TOTAL,11935.0,13927.0,16801.0,18401.0,16714.0,16896.0,14643.0,10511.0,13905.0,11402.0,10528.0,11100.0,166763.0
Central,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,2244.0,2787.0,5437.0,4344.0,3517.0,3312.0,1723.0,1641.0,1893.0,2919.0,2445.0,2173.0,34435.0
Central,1.2,Number of Pregnant women registered under JSY,TOTAL,752.0,884.0,770.0,832.0,929.0,905.0,819.0,750.0,689.0,764.0,1081.0,554.0,9729.0
Central,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,4779.0,6152.0,8543.0,6495.0,7693.0,8029.0,7044.0,5949.0,6681.0,5856.0,6058.0,4096.0,77375.0
Central,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,2998.0,3385.0,2960.0,2957.0,2868.0,2851.0,2460.0,2441.0,2179.0,2600.0,2951.0,2974.0,33624.0
Central,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,2620.0,3105.0,2902.0,3029.0,2896.0,2654.0,2660.0,2518.0,2303.0,2209.0,1934.0,1861.0,30691.0
Central,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,8235.0,9356.0,9438.0,11789.0,8814.0,6714.0,6368.0,4968.0,5574.0,5763.0,5626.0,6961.0,89606.0
Central,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,117.0,134.0,146.0,130.0,144.0,117.0,137.0,153.0,106.0,149.0,84.0,89.0,1506.0
Central,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,2.0,19.0,8.0,20.0,8.0,9.0,7.0,11.0,11.0,23.0,22.0,6.0,146.0
Central,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,2052.0,2111.0,2057.0,2056.0,3308.0,3053.0,4260.0,2211.0,3692.0,3136.0,1572.0,1816.0,31324.0
Central,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,352.0,264.0,199.0,180.0,237.0,347.0,339.0,275.0,285.0,284.0,257.0,350.0,3369.0
Central,1.8,Number of pregnancy test kits used at SC level,TOTAL,,,,,,,,,,,,,
Central,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,11.0
Central,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,100.0,89.0,71.0,103.0,122.0,91.0,115.0,106.0,96.0,112.0,81.0,72.0,1158.0
Central,2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,100.0,93.0,72.0,103.0,122.0,91.0,115.0,106.0,100.0,114.0,81.0,72.0,1169.0
Central,2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,62.0,49.0,58.0,60.0,64.0,42.0,69.0,58.0,52.0,80.0,51.0,38.0,683.0
Central,2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,0.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,13.0
Central,2.2,Deliveries conducted at Public Institutions (Including C-Sections),TOTAL,2043.0,2234.0,2222.0,2997.0,3253.0,3286.0,3376.0,2858.0,2840.0,2763.0,2397.0,2307.0,32576.0
Central,2.2.1,"Out of 2.2, Number discharged under 48 hours of delivery",TOTAL,615.0,656.0,701.0,983.0,1358.0,978.0,1532.0,936.0,896.0,844.0,688.0,556.0,10743.0
Central,2.2.2.a,Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,295.0,337.0,292.0,341.0,451.0,482.0,443.0,402.0,442.0,399.0,324.0,313.0,4521.0
Central,2.2.2.b,Number of ASHAs paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,75.0,55.0,43.0,39.0,41.0,32.0,28.0,39.0,63.0,83.0,87.0,79.0,664.0
Central,2.2.2.c,Number of cases of deliveries conducted at Public Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central,2.3,Deliveries conducted at Private Institutions (Including C-Sections),TOTAL,698.0,781.0,673.0,861.0,944.0,961.0,1026.0,902.0,917.0,1025.0,767.0,474.0,10029.0
Central,2.3.1.a,Number of mothers paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
