Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,April,May,June,July,August,September,October,November,December,January,February,March,Total
District,,,,,,,,,,,,,,,,
Lakshadweep,1.1,Total number of pregnant women Registered for ANC,TOTAL,84.0,128.0,95.0,106.0,80.0,99.0,111.0,115.0,72.0,124.0,84.0,84.0,1182.0
Lakshadweep,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,60.0,99.0,69.0,89.0,64.0,77.0,85.0,85.0,39.0,95.0,72.0,52.0,886.0
Lakshadweep,1.2,Number of Pregnant women registered under JSY,TOTAL,61.0,99.0,69.0,82.0,55.0,77.0,86.0,88.0,57.0,91.0,65.0,51.0,881.0
Lakshadweep,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,82.0,97.0,91.0,82.0,86.0,99.0,114.0,116.0,104.0,95.0,97.0,86.0,1149.0
Lakshadweep,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,62.0,91.0,59.0,109.0,64.0,80.0,71.0,81.0,58.0,83.0,64.0,65.0,887.0
Lakshadweep,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,72.0,61.0,69.0,77.0,125.0,52.0,79.0,87.0,58.0,110.0,83.0,66.0,939.0
Lakshadweep,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,89.0,103.0,82.0,77.0,88.0,89.0,79.0,84.0,100.0,61.0,85.0,83.0,1020.0
Lakshadweep,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,0.0,4.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,6.0,3.0,0.0,21.0
Lakshadweep,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lakshadweep,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,99.0,61.0,32.0,34.0,34.0,42.0,39.0,50.0,38.0,26.0,27.0,45.0,527.0
