Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,April,May,June,July,August,September,October,November,December,January,February,March,Total
District,,,,,,,,,,,,,,,,
Agar Malwa,1.1,Total number of pregnant women Registered for ANC,TOTAL,,,,,,,,,,,,,
Agar Malwa,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,,,,,,,,,,,,,
Agar Malwa,1.2,Number of Pregnant women registered under JSY,TOTAL,,,,,,,,,,,,,
Agar Malwa,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,,,,,,,,,,,,,
Agar Malwa,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,,,,,,,,,,,,,
Agar Malwa,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,,,,,,,,,,,,,
Agar Malwa,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,,,,,,,,,,,,,
Agar Malwa,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,,,,,,,,,,,,,
Agar Malwa,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,,,,,,,,,,,,,
Agar Malwa,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,,,,,,,,,,,,,
Agar Malwa,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,,,,,,,,,,,,,
Agar Malwa,1.8,Number of pregnancy test kits used at SC level,TOTAL,,,,,,,,,,,,,
Agar Malwa,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,,,,,,,,,,,,,
Agar Malwa,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,,,,,,,,,,,,,
Agar Malwa,2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,,,,,,,,,,,,,
Agar Malwa,2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,,,,,,,,,,,,,
Agar Malwa,2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,,,,,,,,,,,,,
