Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,April,May,June,July,August,September,October,November,December,January,February,March,Total
District,,,,,,,,,,,,,,,,
East Garo Hills,1.1,Total number of pregnant women Registered for ANC,TOTAL,930.0,835.0,891.0,903.0,781.0,925.0,907.0,935.0,654.0,903.0,932.0,1005.0,10601.0
East Garo Hills,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,281.0,283.0,337.0,304.0,280.0,315.0,303.0,417.0,176.0,283.0,318.0,363.0,3660.0
East Garo Hills,1.2,Number of Pregnant women registered under JSY,TOTAL,300.0,373.0,302.0,310.0,291.0,335.0,317.0,322.0,211.0,276.0,322.0,297.0,3656.0
East Garo Hills,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,459.0,433.0,464.0,520.0,416.0,524.0,422.0,449.0,371.0,443.0,409.0,416.0,5326.0
East Garo Hills,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,549.0,508.0,572.0,550.0,461.0,536.0,588.0,675.0,367.0,505.0,553.0,621.0,6485.0
East Garo Hills,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,573.0,586.0,568.0,619.0,513.0,546.0,517.0,616.0,458.0,549.0,578.0,677.0,6800.0
East Garo Hills,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,632.0,735.0,675.0,727.0,619.0,641.0,675.0,646.0,553.0,521.0,571.0,561.0,7556.0
East Garo Hills,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,4.0,10.0,20.0,10.0,13.0,16.0,15.0,16.0,8.0,6.0,17.0,10.0,145.0
East Garo Hills,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0
East Garo Hills,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,276.0,138.0,153.0,157.0,190.0,129.0,260.0,267.0,206.0,160.0,293.0,193.0,2422.0
East Garo Hills,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,10.0,1.0,1.0,6.0,3.0,1.0,4.0,21.0,8.0,3.0,6.0,6.0,70.0
East Garo Hills,1.8,Number of pregnancy test kits used at SC level,TOTAL,,,,,,,,,,,,,
East Garo Hills,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,116.0,53.0,69.0,61.0,43.0,39.0,44.0,23.0,34.0,39.0,40.0,18.0,579.0
East Garo Hills,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,362.0,325.0,310.0,263.0,292.0,287.0,284.0,267.0,177.0,381.0,278.0,307.0,3533.0
East Garo Hills,2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,478.0,378.0,379.0,324.0,335.0,326.0,328.0,290.0,211.0,420.0,318.0,325.0,4112.0
East Garo Hills,2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,143.0,145.0,106.0,85.0,136.0,137.0,99.0,91.0,71.0,134.0,115.0,123.0,1385.0
East Garo Hills,2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,25.0,6.0,5.0,16.0,4.0,8.0,5.0,4.0,9.0,12.0,21.0,3.0,118.0
East Garo Hills,2.2,Deliveries conducted at Public Institutions (Including C-Sections),TOTAL,184.0,172.0,148.0,137.0,143.0,209.0,173.0,177.0,160.0,234.0,204.0,174.0,2115.0
East Garo Hills,2.2.1,"Out of 2.2, Number discharged under 48 hours of delivery",TOTAL,147.0,155.0,133.0,123.0,116.0,178.0,148.0,131.0,139.0,145.0,165.0,127.0,1707.0
East Garo Hills,2.2.2.a,Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,15.0,34.0,75.0,18.0,69.0,113.0,100.0,52.0,47.0,90.0,71.0,26.0,710.0
East Garo Hills,2.2.2.b,Number of ASHAs paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,14.0,40.0,18.0,11.0,31.0,63.0,40.0,21.0,20.0,51.0,35.0,7.0,351.0
East Garo Hills,2.2.2.c,Number of cases of deliveries conducted at Public Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
East Garo Hills,2.3,Deliveries conducted at Private Institutions (Including C-Sections),TOTAL,,,,,,,,,,,,,
East Garo Hills,2.3.1.a,Number of mothers paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,,,,,,,,,,,,,
East Garo Hills,2.3.1.b,Number of ASHAs paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,,,,,,,,,,,,,
East Garo Hills,2.3.1.c,Number of cases of deliveries conducted at accredited Private Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,,,,,,,,,,,,,
East Garo Hills,3.1.1,Number of Caesarean (C-Section) deliveries performed at PHCs (Primary Health Centre),TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East Garo Hills,3.1.2,Number of Caesarean (C-Section) deliveries performed at CHCs (Community Health Centre),TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East Garo Hills,3.1.3,Number of Caesarean (C-Section) deliveries performed at SDHs (Sub-divisional Hospital) or DHs (District Hospital),TOTAL,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,3.0
East Garo Hills,3.1.4,Number of Caesarean (C-Section) deliveries performed at other State owned public institutions,TOTAL,,,,,,,,,,,,,
