Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,April,May,June,July,August,September,October,November,December,January,February,March,Total
District,,,,,,,,,,,,,,,,
Karaikal,1.1,Total number of pregnant women Registered for ANC,TOTAL,818.0,365.0,373.0,335.0,271.0,288.0,279.0,401.0,292.0,275.0,298.0,254.0,4249.0
Karaikal,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,259.0,144.0,140.0,131.0,118.0,122.0,125.0,160.0,148.0,140.0,172.0,132.0,1791.0
Karaikal,1.2,Number of Pregnant women registered under JSY,TOTAL,54.0,67.0,107.0,106.0,76.0,31.0,48.0,71.0,80.0,51.0,68.0,90.0,849.0
Karaikal,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,792.0,304.0,276.0,245.0,228.0,208.0,193.0,213.0,185.0,244.0,223.0,199.0,3310.0
Karaikal,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,214.0,219.0,226.0,206.0,212.0,307.0,175.0,225.0,247.0,231.0,225.0,155.0,2642.0
Karaikal,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,192.0,234.0,236.0,239.0,220.0,148.0,177.0,220.0,176.0,254.0,186.0,203.0,2485.0
Karaikal,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,95.0,106.0,91.0,55.0,65.0,61.0,49.0,48.0,33.0,61.0,128.0,143.0,935.0
Karaikal,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,29.0,18.0,32.0,27.0,22.0,28.0,29.0,14.0,6.0,19.0,22.0,34.0,280.0
Karaikal,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,,3.0,,3.0,,,1.0,,,,,,7.0
Karaikal,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,138.0,91.0,142.0,141.0,98.0,75.0,110.0,107.0,121.0,110.0,94.0,104.0,1331.0
Karaikal,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,30.0,12.0,9.0,21.0,17.0,13.0,11.0,4.0,43.0,22.0,26.0,31.0,239.0
Karaikal,1.8,Number of pregnancy test kits used at SC level,TOTAL,,,,,,,,,,,,,
Karaikal,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,,,,,,,,,,,1.0,,1.0
