Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,April,May,June,July,August,September,October,November,December,January,February,March,Total
District,,,,,,,,,,,,,,,,
Dhalai,1.1,Total number of pregnant women Registered for ANC,TOTAL,616.0,721.0,743.0,791.0,694.0,655.0,608.0,639.0,617.0,622.0,694.0,647.0,8047.0
Dhalai,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,427.0,465.0,520.0,528.0,484.0,451.0,429.0,436.0,419.0,450.0,388.0,424.0,5421.0
Dhalai,1.2,Number of Pregnant women registered under JSY,TOTAL,492.0,559.0,569.0,580.0,515.0,521.0,459.0,503.0,504.0,502.0,505.0,530.0,6239.0
Dhalai,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,331.0,362.0,338.0,457.0,554.0,466.0,426.0,386.0,489.0,433.0,377.0,353.0,4972.0
Dhalai,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,594.0,689.0,708.0,727.0,636.0,616.0,575.0,601.0,578.0,582.0,564.0,581.0,7451.0
Dhalai,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,489.0,536.0,562.0,560.0,610.0,571.0,416.0,578.0,541.0,434.0,394.0,537.0,6228.0
Dhalai,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,602.0,629.0,568.0,675.0,602.0,566.0,553.0,606.0,610.0,489.0,454.0,541.0,6895.0
Dhalai,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,10.0,7.0,6.0,4.0,6.0,3.0,6.0,9.0,0.0,0.0,4.0,7.0,62.0
Dhalai,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,2.0,2.0,2.0,4.0,0.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,20.0
Dhalai,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,96.0,158.0,140.0,132.0,147.0,134.0,98.0,87.0,100.0,108.0,125.0,121.0,1446.0
Dhalai,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,11.0
Dhalai,1.8,Number of pregnancy test kits used at SC level,TOTAL,,,,,,,,,,,,,
Dhalai,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,3.0,1.0,1.0,3.0,2.0,5.0,4.0,2.0,5.0,5.0,13.0,8.0,52.0
Dhalai,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,68.0,59.0,40.0,66.0,62.0,82.0,80.0,66.0,92.0,84.0,71.0,58.0,828.0
Dhalai,2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,71.0,60.0,41.0,69.0,64.0,87.0,84.0,68.0,97.0,89.0,84.0,66.0,880.0
Dhalai,2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,28.0,29.0,29.0,37.0,40.0,58.0,44.0,49.0,79.0,47.0,55.0,37.0,532.0
Dhalai,2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,3.0,4.0,1.0,0.0,0.0,2.0,4.0,3.0,2.0,0.0,1.0,0.0,20.0
Dhalai,2.2,Deliveries conducted at Public Institutions (Including C-Sections),TOTAL,421.0,406.0,346.0,384.0,401.0,367.0,395.0,412.0,409.0,442.0,398.0,416.0,4797.0
Dhalai,2.2.1,"Out of 2.2, Number discharged under 48 hours of delivery",TOTAL,339.0,301.0,322.0,281.0,305.0,351.0,292.0,384.0,359.0,419.0,306.0,340.0,3999.0
Dhalai,2.2.2.a,Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,185.0,375.0,233.0,291.0,209.0,153.0,196.0,258.0,229.0,135.0,135.0,260.0,2659.0
