Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,April,May,June,July,August,September,October,November,December,January,February,March,Total
District,,,,,,,,,,,,,,,,
Araria,1.1,Total number of pregnant women Registered for ANC,TOTAL,6606.0,6255.0,7113.0,5451.0,5309.0,5942.0,4780.0,3839.0,3673.0,6024.0,7568.0,7971.0,70531.0
Araria,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,2845.0,3051.0,3124.0,2349.0,1814.0,1934.0,2067.0,1595.0,1770.0,2690.0,4328.0,4127.0,31694.0
Araria,1.2,Number of Pregnant women registered under JSY,TOTAL,6605.0,6240.0,7071.0,5451.0,5304.0,5886.0,4654.0,3815.0,3658.0,5976.0,7564.0,7929.0,70153.0
Araria,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,2554.0,2805.0,2917.0,2223.0,2227.0,2392.0,2198.0,1930.0,1799.0,2589.0,3773.0,3571.0,30978.0
Araria,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,5519.0,5204.0,6208.0,4741.0,4482.0,4841.0,3854.0,3147.0,2954.0,4806.0,6023.0,6322.0,58101.0
Araria,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,4440.0,5095.0,5621.0,4840.0,4412.0,4981.0,4586.0,3358.0,2719.0,4250.0,5101.0,6066.0,55469.0
Araria,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,378.0,348.0,4837.0,4608.0,4065.0,5661.0,3806.0,2747.0,2611.0,4306.0,5617.0,5457.0,44441.0
Araria,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,313.0,241.0,279.0,95.0,145.0,211.0,119.0,225.0,155.0,142.0,96.0,218.0,2239.0
Araria,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,18.0,13.0,13.0,13.0,13.0,0.0,10.0,19.0,16.0,12.0,9.0,10.0,146.0
Araria,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,353.0,273.0,216.0,1220.0,1147.0,676.0,161.0,863.0,495.0,677.0,734.0,634.0,7449.0
Araria,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,28.0,27.0,22.0,58.0,557.0,85.0,7.0,19.0,24.0,16.0,16.0,107.0,966.0
Araria,1.8,Number of pregnancy test kits used at SC level,TOTAL,,,,,,,,2.0,0.0,61.0,80.0,89.0,232.0
Araria,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,174.0,108.0,109.0,93.0,103.0,27.0,63.0,34.0,170.0,137.0,148.0,242.0,1408.0
Araria,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,1307.0,1147.0,1364.0,1182.0,1210.0,1262.0,1234.0,1255.0,1292.0,2154.0,1701.0,1519.0,16627.0
Araria,2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,1481.0,1255.0,1473.0,1275.0,1313.0,1289.0,1297.0,1289.0,1462.0,2291.0,1849.0,1761.0,18035.0
Araria,2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,388.0,261.0,482.0,361.0,620.0,325.0,212.0,303.0,318.0,437.0,404.0,297.0,4408.0
Araria,2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,,,,,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0
Araria,2.2,Deliveries conducted at Public Institutions (Including C-Sections),TOTAL,3543.0,3233.0,3004.0,3744.0,5427.0,5073.0,4933.0,5112.0,3994.0,3999.0,3548.0,3213.0,48823.0
Araria,2.2.1,"Out of 2.2, Number discharged under 48 hours of delivery",TOTAL,3496.0,2546.0,2860.0,3731.0,5216.0,4839.0,4390.0,4913.0,4038.0,3832.0,3522.0,3103.0,46486.0
Araria,2.2.2.a,Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,1747.0,2113.0,2013.0,2846.0,4849.0,4919.0,4834.0,4932.0,4340.0,4007.0,3523.0,3288.0,43411.0
Araria,2.2.2.b,Number of ASHAs paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,927.0,1311.0,1269.0,1676.0,1839.0,1838.0,1776.0,1538.0,2068.0,1952.0,2798.0,2895.0,21887.0
Araria,2.2.2.c,Number of cases of deliveries conducted at Public Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Araria,2.3,Deliveries conducted at Private Institutions (Including C-Sections),TOTAL,,,,,,,,,,,,,
Araria,2.3.1.a,Number of mothers paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,,,,,,,,,,,,,
Araria,2.3.1.b,Number of ASHAs paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,,,,,,,,,,,,,
Araria,2.3.1.c,Number of cases of deliveries conducted at accredited Private Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,,,,,,,,,,,,,
Araria,3.1.1,Number of Caesarean (C-Section) deliveries performed at PHCs (Primary Health Centre),TOTAL,1.0,,,1.0,,1.0,1.0,2.0,1.0,3.0,1.0,0.0,11.0
Araria,3.1.2,Number of Caesarean (C-Section) deliveries performed at CHCs (Community Health Centre),TOTAL,,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Araria,3.1.3,Number of Caesarean (C-Section) deliveries performed at SDHs (Sub-divisional Hospital) or DHs (District Hospital),TOTAL,38.0,44.0,29.0,39.0,38.0,32.0,23.0,43.0,31.0,46.0,47.0,30.0,440.0
Araria,3.1.4,Number of Caesarean (C-Section) deliveries performed at other State owned public institutions,TOTAL,,,,,,,,,,,,,
Araria,3.1.5,"Total Number of Caesarean (C-Section) deliveries performed at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 3.1.1 to 3.1.4)",TOTAL,39.0,45.0,29.0,40.0,38.0,33.0,24.0,45.0,32.0,49.0,48.0,30.0,452.0
Araria,3.2,No. of C-section deliveries performed at Private facilities,TOTAL,,,,,,,,,,,,,
Araria,4.1.1.a,Number of male live births,TOTAL,2472.0,2168.0,2103.0,2502.0,3502.0,3058.0,3034.0,3084.0,2763.0,3184.0,2809.0,2509.0,33188.0
Araria,4.1.1.b,Number of female live births,TOTAL,2448.0,2137.0,2226.0,2431.0,3097.0,3212.0,3166.0,3251.0,2886.0,3134.0,2608.0,2492.0,33088.0
Araria,4.1.1.c,Total number of male and female live births (4.1.1.a and 4.1.1.b),TOTAL,4920.0,4305.0,4329.0,4933.0,6599.0,6270.0,6200.0,6335.0,5649.0,6318.0,5417.0,5001.0,66276.0
Araria,4.1.2,Number of still births,TOTAL,105.0,69.0,69.0,88.0,116.0,83.0,89.0,100.0,79.0,95.0,75.0,64.0,1032.0
Araria,4.1.3,Number of Abortions (spontaneous or induced),TOTAL,1.0,,,,,1.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0
Araria,4.2.1,Number of Newborns weighed at birth,TOTAL,4392.0,3947.0,3669.0,4416.0,6434.0,6174.0,5889.0,6113.0,5663.0,6178.0,5224.0,4906.0,63005.0
Araria,4.2.2,Number of Newborns having weight less than 2.5 kg,TOTAL,860.0,672.0,642.0,793.0,998.0,804.0,877.0,868.0,729.0,744.0,654.0,701.0,9342.0
Araria,4.3,Number of Newborns breast fed within 1 hour of birth,TOTAL,4681.0,3959.0,3942.0,4826.0,6426.0,6155.0,5951.0,6163.0,5646.0,6103.0,5138.0,4889.0,63879.0
Araria,5.1.1,Number of cases of pregnant women with Obstetric Complications and attended at PHCs,TOTAL,24.0,18.0,14.0,16.0,17.0,32.0,27.0,16.0,12.0,11.0,13.0,12.0,212.0
Araria,5.1.2,Number of cases of pregnant women with Obstetric Complications and attended at CHCs,TOTAL,26.0,195.0,8.0,26.0,7.0,15.0,18.0,14.0,16.0,16.0,12.0,14.0,367.0
Araria,5.1.3,Number of cases of pregnant women with Obstetric Complications and attended at SDHs or DHs,TOTAL,1026.0,66.0,102.0,122.0,128.0,0.0,0.0,63.0,81.0,166.0,52.0,79.0,1885.0
Araria,5.1.4,Number of cases of pregnant women with Obstetric Complications and attended at other State owned public institutions,TOTAL,,,,,,,,,,,,,
Araria,5.1.5,"Number of cases of pregnant women with Obstetric Complications and attended at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 5.1.1 to 5.1.4)",TOTAL,1076.0,279.0,124.0,164.0,152.0,47.0,45.0,93.0,109.0,193.0,77.0,105.0,2464.0
Araria,5.2,Number of cases of pregnant women with Obstetric Complications and attended at Private facilities,TOTAL,,,,,,,,,,,,,
Araria,5.3.1,Number of cases of complicated pregnancies treated with IV antibiotics,TOTAL,649.0,877.0,647.0,724.0,1255.0,1641.0,1620.0,1579.0,1368.0,1514.0,1047.0,1104.0,14025.0
Araria,5.3.2,Number of cases of complicated pregnancies treated with IV Antihypertensive/Magsulph injection,TOTAL,22.0,14.0,24.0,28.0,23.0,34.0,35.0,36.0,34.0,49.0,50.0,30.0,379.0
Araria,5.3.3,Number of cases of complicated pregnancies treated with IV Oxytocis,TOTAL,942.0,1316.0,1332.0,1940.0,1827.0,1714.0,1621.0,1443.0,1286.0,1286.0,995.0,1008.0,16710.0
Araria,5.3.4,Number of cases of complicated pregnancies treated with Blood Transfusion,TOTAL,68.0,57.0,52.0,55.0,49.0,56.0,52.0,58.0,52.0,58.0,60.0,58.0,675.0
Araria,6.1,Women getting post partum check-up within 48 hours after delivery,TOTAL,3687.0,3035.0,2978.0,3629.0,5106.0,4997.0,4674.0,4942.0,4210.0,4125.0,3525.0,3319.0,48227.0
Araria,6.2,Women getting a post partum check up between 48 hours and 14 days after delivery,TOTAL,1604.0,1293.0,1405.0,1239.0,1441.0,1663.0,1038.0,1322.0,1541.0,2094.0,1677.0,1540.0,17857.0
Araria,6.3,PNC maternal complications attended,TOTAL,,1.0,,,,0.0,52.0,36.0,31.0,24.0,25.0,16.0,185.0
Araria,7.1.1,Number of MTPs conducted at Public Institutions up to 12 weeks of pregnancy,TOTAL,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Araria,7.1.2,Number of MTPs conducted at Public Institutions for more than 12 weeks of pregnancy,TOTAL,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Araria,7.1.3,Total number of MTPs conducted at Public Institutions (sum of items 7.1.1 and 7.1.2),TOTAL,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Araria,7.2,Number of MTPs conducted at Private Facilities,TOTAL,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Araria,8.1.a,Number of new cases of RTI/STI in males for which treatment was initiated,TOTAL,4.0,2.0,,12.0,31.0,36.0,9.0,20.0,25.0,50.0,97.0,46.0,332.0
Araria,8.1.b,Number of new cases of RTI/STI in females for which treatment was initiated,TOTAL,75.0,90.0,,221.0,331.0,456.0,236.0,240.0,576.0,657.0,621.0,656.0,4159.0
Araria,8.1.c,Total number of new cases of RTI/STI in males and females for which treatment was initiated (sum of items 8.1.a and 8.1.b),TOTAL,79.0,92.0,,233.0,362.0,492.0,245.0,260.0,601.0,707.0,718.0,702.0,4491.0
Araria,8.2,Number of suspected RTI/STI cases for whom wet mount test was conducted,TOTAL,73.0,90.0,,135.0,,0.0,104.0,104.0,0.0,0.0,102.0,66.0,674.0
Araria,9.1.1.a,Number of NSV (No Scalpel Vasectomy) or Conventional Vasectomy conducted at PHCs,TOTAL,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Araria,9.1.1.b,Number of NSV or Conventional Vasectomy conducted at CHCs,TOTAL,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Araria,9.1.1.c,Number of NSV or Conventional Vasectomy conducted at SDHs or DHs,TOTAL,,,,,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
Araria,9.1.1.d,Number of NSV or Conventional Vasectomy conducted at other State owned public institutions,TOTAL,,,,,,,,,,,,,
Araria,9.1.1.e,"Total Number of NSV or Conventional Vasectomy conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.1.1.a to 9.1.1.d)",TOTAL,,,,,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
Araria,9.1.2,Number of NSV or Conventional Vasectomy conducted at Private facilities,TOTAL,,,,,,,,,,,,,
Araria,9.2.1.a,Number of Laparoscopic sterilizations conducted at PHCs,TOTAL,,,,,,0.0,0.0,0.0,116.0,0.0,0.0,0.0,116.0
Araria,9.2.1.b,Number of Laparoscopic sterilizations conducted at CHCs,TOTAL,,,,,,0.0,0.0,0.0,0.0,97.0,0.0,0.0,97.0
Araria,9.2.1.c,Number of Laparoscopic sterilizations conducted at SDHs or DHs,TOTAL,,,,57.0,,119.0,104.0,0.0,0.0,0.0,0.0,0.0,280.0
Araria,9.2.1.d,Number of Laparoscopic sterilizations conducted at other State owned public institutions,TOTAL,,,,,,,,,,,,,
Araria,9.2.1.e,"Total Number of Laparoscopic sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.2.1.a to 9.2.1.d)",TOTAL,,,,57.0,,119.0,104.0,0.0,116.0,97.0,0.0,0.0,493.0
Araria,9.2.2,Number of Laparoscopic sterilizations conducted at Private facilities,TOTAL,,,,,,,,,,,,,
Araria,9.3.1.a,Number of Mini-lap sterilizations conducted at PHCs,TOTAL,15.0,2.0,1.0,372.0,99.0,247.0,131.0,220.0,759.0,822.0,649.0,449.0,3766.0
Araria,9.3.1.b,Number of Mini-lap sterilizations conducted at CHCs,TOTAL,20.0,,2.0,96.0,10.0,72.0,71.0,177.0,389.0,417.0,301.0,209.0,1764.0
Araria,9.3.1.c,Number of Mini-lap sterilizations conducted at SDHs or DHs,TOTAL,60.0,45.0,22.0,187.0,60.0,119.0,104.0,246.0,997.0,1281.0,820.0,572.0,4513.0
Araria,9.3.1.d,Number of Mini-lap sterilizations conducted at other State owned public institutions,TOTAL,,,,,,,,,,,,,
Araria,9.3.1.e,"Total Number of Mini-lap sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.3.1.a to 9.3.1.d)",TOTAL,95.0,47.0,25.0,655.0,169.0,438.0,306.0,643.0,2145.0,2520.0,1770.0,1230.0,10043.0
Araria,9.3.2,Number of Mini-lap sterilizations conducted at Private facilities,TOTAL,,,,,,,,,,,,,
Araria,9.4.1.a,Number of Post-Partum sterilizations conducted at PHCs,TOTAL,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Araria,9.4.1.b,Number of Post-Partum sterilizations conducted at CHCs,TOTAL,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Araria,9.4.1.c,Number of Post-Partum sterilizations conducted at SDHs or DHs,TOTAL,4.0,4.0,,25.0,2.0,0.0,26.0,9.0,59.0,114.0,99.0,78.0,420.0
Araria,9.4.1.d,Number of Post-Partum sterilizations conducted at other State owned public institutions,TOTAL,,,,,,,,,,,,,
Araria,9.4.1.e,"Total Number of Post-Partum sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.4.1.a to 9.4.1.d)",TOTAL,4.0,4.0,,25.0,2.0,0.0,26.0,9.0,59.0,114.0,99.0,78.0,420.0
Araria,9.4.2,Number of Post-Partum sterilizations conducted at Private facilities,TOTAL,,,,,,,,,,,,,
Araria,9.5.1.a,Number of IUCD Insertions conducted at SCs,TOTAL,229.0,226.0,381.0,224.0,105.0,90.0,91.0,99.0,92.0,89.0,347.0,295.0,2268.0
Araria,9.5.1.b,Number of IUCD Insertions conducted at PHCs,TOTAL,67.0,61.0,52.0,137.0,38.0,22.0,36.0,29.0,31.0,54.0,31.0,70.0,628.0
Araria,9.5.1.c,Number of IUCD Insertions conducted at CHCs,TOTAL,28.0,24.0,32.0,377.0,2.0,50.0,18.0,16.0,85.0,15.0,13.0,18.0,678.0
Araria,9.5.1.d,Number of IUCD Insertions conducted at SDHs or DHs,TOTAL,29.0,33.0,33.0,239.0,113.0,35.0,26.0,28.0,34.0,64.0,116.0,82.0,832.0
Araria,9.5.1.e,Number of IUCD Insertions conducted at other State owned public institutions,TOTAL,,,,,,,,,,,,,
Araria,9.5.1.f,"Total Number of IUCD Insertions conducted at Public facilities i.e. SC, PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.5.1.a to 9.5.1.e)",TOTAL,353.0,344.0,498.0,977.0,258.0,197.0,171.0,172.0,242.0,222.0,507.0,465.0,4406.0
Araria,9.5.1A,"Out of above total, Post Partum (within 48 hours of delivery) IUCD insertions",TOTAL,,,,,,,,9.0,48.0,49.0,35.0,54.0,195.0
Araria,9.5.2,Number of IUCD Insertions conducted at Private facilities,TOTAL,,,,,,,,,,,,,
Araria,9.06,Number of IUCD removals,TOTAL,110.0,107.0,114.0,115.0,37.0,55.0,87.0,54.0,131.0,183.0,153.0,154.0,1300.0
Araria,9.07,Number of Oral Pills cycles distributed,TOTAL,2163.0,1937.0,1521.0,1603.0,491.0,1112.0,980.0,877.0,826.0,1299.0,1934.0,2750.0,17493.0
Araria,9.08,Number of Condom pieces distributed,TOTAL,11651.0,12488.0,13337.0,12861.0,8965.0,8626.0,9519.0,11184.0,11553.0,11512.0,12776.0,15606.0,140078.0
Araria,9.09,Number of Centchroman (weekly) pills given,TOTAL,6.0,225.0,51.0,,24.0,21.0,30.0,15.0,41.0,4.0,330.0,505.0,1252.0
Araria,9.10,Number of Emergency Contraceptive Pills distributed,TOTAL,58.0,5.0,176.0,4.0,3.0,39.0,43.0,41.0,34.0,16.0,75.0,37.0,531.0
Araria,9.11.1.a,Number of cases of complications following male sterilization,TOTAL,,4.0,,2.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0
