Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,April,May,June,July,August,September,October,November,December,January,February,March,Total
District,,,,,,,,,,,,,,,,
Ahmedabad,1.1,Total number of pregnant women Registered for ANC,TOTAL,11857.0,13320.0,14215.0,14967.0,15360.0,13776.0,16467.0,15518.0,14702.0,13411.0,16174.0,10845.0,170612.0
Ahmedabad,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,9195.0,10120.0,10505.0,11460.0,13066.0,10808.0,12901.0,11828.0,10697.0,10166.0,11336.0,6514.0,128596.0
Ahmedabad,1.2,Number of Pregnant women registered under JSY,TOTAL,1492.0,1496.0,1758.0,1957.0,1983.0,2016.0,1977.0,1465.0,1627.0,1257.0,1449.0,1705.0,20182.0
Ahmedabad,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,8937.0,9968.0,10292.0,10906.0,11508.0,12199.0,12262.0,11550.0,10966.0,9956.0,13106.0,8324.0,129974.0
Ahmedabad,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,7550.0,8390.0,8250.0,9495.0,9727.0,10288.0,10435.0,9591.0,9278.0,8474.0,8843.0,4548.0,104869.0
Ahmedabad,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,10736.0,12297.0,11884.0,13370.0,14161.0,14904.0,15139.0,13934.0,13461.0,12249.0,11775.0,5519.0,149429.0
Ahmedabad,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,10301.0,10726.0,10289.0,13240.0,15653.0,14297.0,16448.0,14828.0,14106.0,12063.0,12908.0,9734.0,154593.0
Ahmedabad,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,1153.0,1220.0,787.0,1004.0,1077.0,1183.0,1206.0,1080.0,1020.0,901.0,822.0,206.0,11659.0
Ahmedabad,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,28.0,43.0,15.0,38.0,35.0,38.0,37.0,39.0,36.0,31.0,33.0,27.0,400.0
Ahmedabad,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,7054.0,7320.0,7404.0,9360.0,9331.0,10273.0,10406.0,9549.0,9003.0,7861.0,7750.0,3315.0,98626.0
Ahmedabad,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,269.0,288.0,281.0,374.0,375.0,389.0,395.0,696.0,349.0,299.0,268.0,34.0,4017.0
Ahmedabad,1.8,Number of pregnancy test kits used at SC level,TOTAL,44.0,65.0,88.0,87.0,84.0,83.0,76.0,508.0,740.0,515.0,486.0,651.0,3427.0
Ahmedabad,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,469.0,313.0,336.0,508.0,347.0,366.0,624.0,407.0,432.0,418.0,280.0,397.0,4897.0
Ahmedabad,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,106.0,75.0,90.0,65.0,56.0,39.0,49.0,44.0,29.0,32.0,26.0,62.0,673.0
Ahmedabad,2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,575.0,388.0,426.0,573.0,403.0,405.0,673.0,451.0,461.0,450.0,306.0,459.0,5570.0
Ahmedabad,2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,475.0,308.0,103.0,413.0,310.0,277.0,601.0,369.0,366.0,394.0,33.0,63.0,3712.0
Ahmedabad,2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,43.0,35.0,34.0,24.0,41.0,12.0,10.0,11.0,6.0,14.0,15.0,5.0,250.0
Ahmedabad,2.2,Deliveries conducted at Public Institutions (Including C-Sections),TOTAL,3731.0,4111.0,8774.0,5010.0,5463.0,5777.0,6011.0,5980.0,5526.0,5125.0,6169.0,4044.0,65721.0
Ahmedabad,2.2.1,"Out of 2.2, Number discharged under 48 hours of delivery",TOTAL,1339.0,2275.0,6895.0,1771.0,1918.0,1540.0,2119.0,1616.0,1470.0,1493.0,1720.0,1127.0,25283.0
Ahmedabad,2.2.2.a,Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,606.0,587.0,1135.0,889.0,833.0,1132.0,626.0,418.0,157.0,216.0,238.0,46.0,6883.0
Ahmedabad,2.2.2.b,Number of ASHAs paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,123.0,150.0,171.0,319.0,356.0,332.0,85.0,95.0,75.0,92.0,47.0,27.0,1872.0
Ahmedabad,2.2.2.c,Number of cases of deliveries conducted at Public Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,2.3,Deliveries conducted at Private Institutions (Including C-Sections),TOTAL,5587.0,7373.0,6745.0,7568.0,7561.0,8225.0,7884.0,7911.0,7236.0,6685.0,6109.0,6772.0,85656.0
Ahmedabad,2.3.1.a,Number of mothers paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,319.0,323.0,467.0,515.0,499.0,542.0,544.0,299.0,351.0,75.0,113.0,120.0,4167.0
