Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,April,May,June,July,August,September,October,November,December,January,February,March,Total
District,,,,,,,,,,,,,,,,
Anantnag,1.1,Total number of pregnant women Registered for ANC,TOTAL,2065.0,2215.0,2112.0,2420.0,2263.0,2727.0,2035.0,2634.0,2416.0,1987.0,2227.0,2563.0,27664.0
Anantnag,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,1627.0,1797.0,1792.0,2091.0,1904.0,2266.0,1685.0,2207.0,2040.0,1731.0,1842.0,1995.0,22977.0
Anantnag,1.2,Number of Pregnant women registered under JSY,TOTAL,2017.0,2172.0,2068.0,2352.0,2174.0,2660.0,1981.0,2582.0,2344.0,1926.0,2166.0,2523.0,26965.0
Anantnag,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,1559.0,1581.0,1796.0,1655.0,1625.0,1669.0,1307.0,1518.0,1484.0,1501.0,1565.0,1654.0,18914.0
Anantnag,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,1244.0,1004.0,1055.0,1207.0,1137.0,1410.0,1104.0,1198.0,1117.0,1041.0,1153.0,1214.0,13884.0
Anantnag,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,969.0,1093.0,959.0,1114.0,985.0,1161.0,1073.0,1157.0,1133.0,975.0,1127.0,1077.0,12823.0
Anantnag,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,544.0,555.0,313.0,355.0,56.0,30.0,30.0,18.0,26.0,47.0,239.0,218.0,2431.0
Anantnag,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,51.0,82.0,84.0,84.0,55.0,49.0,32.0,35.0,22.0,18.0,32.0,28.0,572.0
Anantnag,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anantnag,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,1175.0,1331.0,1241.0,1328.0,1167.0,1219.0,759.0,949.0,933.0,819.0,959.0,854.0,12734.0
Anantnag,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,12.0,207.0,50.0,22.0,10.0,21.0,13.0,17.0,11.0,7.0,17.0,8.0,395.0
Anantnag,1.8,Number of pregnancy test kits used at SC level,TOTAL,,,,,,,,0.0,59.0,61.0,72.0,42.0,234.0
Anantnag,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,5.0,1.0,4.0,0.0,7.0,9.0,5.0,6.0,18.0,14.0,10.0,5.0,84.0
Anantnag,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,12.0,14.0,20.0,15.0,12.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,89.0
Anantnag,2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,17.0,15.0,24.0,15.0,19.0,23.0,7.0,6.0,18.0,14.0,10.0,5.0,173.0
Anantnag,2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,12.0,13.0,13.0,11.0,14.0,13.0,6.0,3.0,6.0,3.0,4.0,2.0,100.0
Anantnag,2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,4.0,12.0
Anantnag,2.2,Deliveries conducted at Public Institutions (Including C-Sections),TOTAL,1102.0,1482.0,1552.0,1445.0,1515.0,1402.0,1173.0,1071.0,1047.0,1234.0,1504.0,1801.0,16328.0
Anantnag,2.2.1,"Out of 2.2, Number discharged under 48 hours of delivery",TOTAL,867.0,1159.0,1067.0,1054.0,1115.0,986.0,900.0,769.0,715.0,820.0,1021.0,1245.0,11718.0
Anantnag,2.2.2.a,Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,244.0,3063.0,1126.0,1024.0,1362.0,772.0,1114.0,512.0,1999.0,1420.0,1675.0,2556.0,16867.0
