Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,April,May,June,July,August,September,October,November,December,January,February,March,Total
District,,,,,,,,,,,,,,,,
Bokaro,1.1,Total number of pregnant women Registered for ANC,TOTAL,4315.0,4319.0,4328.0,3501.0,4384.0,4217.0,4163.0,4443.0,4841.0,4248.0,4489.0,4416.0,51664.0
Bokaro,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,846.0,862.0,833.0,689.0,873.0,921.0,970.0,1124.0,1219.0,1210.0,1281.0,1298.0,12126.0
Bokaro,1.2,Number of Pregnant women registered under JSY,TOTAL,4314.0,4319.0,4328.0,3501.0,4384.0,4217.0,4163.0,4444.0,4841.0,4248.0,4489.0,4416.0,51664.0
Bokaro,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,2487.0,2544.0,2257.0,1961.0,2448.0,2426.0,2539.0,2776.0,3015.0,2934.0,3078.0,2945.0,31410.0
Bokaro,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,3297.0,3335.0,3255.0,2700.0,3425.0,3317.0,3469.0,3702.0,4055.0,3521.0,3677.0,3523.0,41276.0
Bokaro,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,2717.0,2412.0,2517.0,2117.0,2532.0,2616.0,2720.0,2481.0,2764.0,2676.0,2414.0,2580.0,30546.0
Bokaro,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,390.0,438.0,515.0,512.0,1649.0,439.0,636.0,560.0,631.0,733.0,649.0,669.0,7821.0
Bokaro,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,340.0,295.0,305.0,237.0,219.0,167.0,176.0,225.0,210.0,218.0,202.0,207.0,2801.0
Bokaro,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,142.0,138.0,147.0,103.0,95.0,74.0,82.0,93.0,84.0,78.0,66.0,69.0,1171.0
Bokaro,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,703.0,664.0,714.0,550.0,636.0,713.0,707.0,821.0,825.0,849.0,783.0,779.0,8744.0
Bokaro,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,132.0,134.0,127.0,115.0,106.0,103.0,120.0,112.0,88.0,85.0,77.0,114.0,1313.0
Bokaro,1.8,Number of pregnancy test kits used at SC level,TOTAL,,,,,,,0.0,0.0,0.0,0.0,0.0,104.0,104.0
Bokaro,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,164.0,162.0,158.0,111.0,182.0,226.0,164.0,207.0,244.0,251.0,199.0,245.0,2313.0
Bokaro,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,359.0,412.0,358.0,354.0,379.0,342.0,414.0,381.0,391.0,349.0,340.0,346.0,4425.0
Bokaro,2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,523.0,574.0,516.0,465.0,561.0,568.0,578.0,588.0,635.0,600.0,539.0,591.0,6738.0
Bokaro,2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,336.0,335.0,321.0,308.0,337.0,360.0,386.0,396.0,461.0,480.0,366.0,386.0,4472.0
Bokaro,2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,0.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,42.0
Bokaro,2.2,Deliveries conducted at Public Institutions (Including C-Sections),TOTAL,955.0,984.0,1179.0,1045.0,1172.0,1053.0,1046.0,1052.0,1045.0,1018.0,848.0,868.0,12265.0
Bokaro,2.2.1,"Out of 2.2, Number discharged under 48 hours of delivery",TOTAL,942.0,971.0,1109.0,1031.0,1153.0,1038.0,979.0,987.0,985.0,959.0,811.0,839.0,11804.0
Bokaro,2.2.2.a,Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,733.0,708.0,1154.0,348.0,278.0,550.0,486.0,395.0,934.0,841.0,859.0,1059.0,8345.0
Bokaro,2.2.2.b,Number of ASHAs paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,670.0,487.0,702.0,328.0,405.0,320.0,279.0,349.0,778.0,2038.0,1095.0,1031.0,8482.0
Bokaro,2.2.2.c,Number of cases of deliveries conducted at Public Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bokaro,2.3,Deliveries conducted at Private Institutions (Including C-Sections),TOTAL,1241.0,1169.0,1022.0,1114.0,1088.0,1064.0,1129.0,1159.0,1149.0,1161.0,1469.0,1409.0,14174.0
Bokaro,2.3.1.a,Number of mothers paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bokaro,2.3.1.b,Number of ASHAs paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bokaro,2.3.1.c,Number of cases of deliveries conducted at accredited Private Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bokaro,3.1.1,Number of Caesarean (C-Section) deliveries performed at PHCs (Primary Health Centre),TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bokaro,3.1.2,Number of Caesarean (C-Section) deliveries performed at CHCs (Community Health Centre),TOTAL,3.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,0.0,2.0,33.0
Bokaro,3.1.3,Number of Caesarean (C-Section) deliveries performed at SDHs (Sub-divisional Hospital) or DHs (District Hospital),TOTAL,0.0,1.0,5.0,4.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,20.0
Bokaro,3.1.4,Number of Caesarean (C-Section) deliveries performed at other State owned public institutions,TOTAL,,,,,,,,,,,,,
Bokaro,3.1.5,"Total Number of Caesarean (C-Section) deliveries performed at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 3.1.1 to 3.1.4)",TOTAL,3.0,4.0,7.0,7.0,8.0,7.0,7.0,3.0,2.0,3.0,0.0,2.0,53.0
Bokaro,3.2,No. of C-section deliveries performed at Private facilities,TOTAL,32.0,42.0,132.0,127.0,119.0,90.0,87.0,70.0,77.0,88.0,88.0,61.0,1013.0
Bokaro,4.1.1.a,Number of male live births,TOTAL,1447.0,1453.0,1467.0,1411.0,1541.0,1427.0,1515.0,1512.0,1474.0,1436.0,1525.0,1549.0,17757.0
Bokaro,4.1.1.b,Number of female live births,TOTAL,1246.0,1285.0,1248.0,1209.0,1280.0,1249.0,1246.0,1280.0,1346.0,1330.0,1318.0,1310.0,15347.0
Bokaro,4.1.1.c,Total number of male and female live births (4.1.1.a and 4.1.1.b),TOTAL,2693.0,2738.0,2715.0,2620.0,2821.0,2676.0,2761.0,2792.0,2820.0,2766.0,2843.0,2859.0,33104.0
Bokaro,4.1.2,Number of still births,TOTAL,15.0,18.0,45.0,28.0,28.0,17.0,20.0,15.0,8.0,13.0,14.0,11.0,232.0
Bokaro,4.1.3,Number of Abortions (spontaneous or induced),TOTAL,150.0,143.0,102.0,133.0,145.0,127.0,171.0,179.0,170.0,185.0,202.0,200.0,1907.0
Bokaro,4.2.1,Number of Newborns weighed at birth,TOTAL,2364.0,2372.0,2504.0,2436.0,2649.0,2505.0,2539.0,2622.0,2570.0,2488.0,2652.0,2705.0,30406.0
Bokaro,4.2.2,Number of Newborns having weight less than 2.5 kg,TOTAL,173.0,228.0,278.0,263.0,259.0,318.0,323.0,332.0,293.0,323.0,329.0,313.0,3432.0
Bokaro,4.3,Number of Newborns breast fed within 1 hour of birth,TOTAL,2340.0,2416.0,2586.0,2511.0,2709.0,2567.0,2602.0,2659.0,2620.0,2572.0,2701.0,2756.0,31039.0
Bokaro,5.1.1,Number of cases of pregnant women with Obstetric Complications and attended at PHCs,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bokaro,5.1.2,Number of cases of pregnant women with Obstetric Complications and attended at CHCs,TOTAL,2.0,1.0,0.0,15.0,4.0,5.0,4.0,4.0,2.0,7.0,0.0,3.0,47.0
Bokaro,5.1.3,Number of cases of pregnant women with Obstetric Complications and attended at SDHs or DHs,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bokaro,5.1.4,Number of cases of pregnant women with Obstetric Complications and attended at other State owned public institutions,TOTAL,,,,,,,,,,,,,
Bokaro,5.1.5,"Number of cases of pregnant women with Obstetric Complications and attended at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 5.1.1 to 5.1.4)",TOTAL,2.0,1.0,0.0,15.0,4.0,5.0,4.0,4.0,2.0,7.0,0.0,3.0,47.0
Bokaro,5.2,Number of cases of pregnant women with Obstetric Complications and attended at Private facilities,TOTAL,0.0,0.0,23.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,43.0
Bokaro,5.3.1,Number of cases of complicated pregnancies treated with IV antibiotics,TOTAL,0.0,0.0,12.0,67.0,4.0,4.0,4.0,4.0,2.0,3.0,0.0,2.0,102.0
Bokaro,5.3.2,Number of cases of complicated pregnancies treated with IV Antihypertensive/Magsulph injection,TOTAL,0.0,0.0,0.0,3.0,4.0,5.0,4.0,3.0,2.0,3.0,0.0,2.0,26.0
Bokaro,5.3.3,Number of cases of complicated pregnancies treated with IV Oxytocis,TOTAL,12.0,4.0,33.0,25.0,4.0,4.0,4.0,25.0,5.0,13.0,2.0,2.0,133.0
Bokaro,5.3.4,Number of cases of complicated pregnancies treated with Blood Transfusion,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bokaro,6.1,Women getting post partum check-up within 48 hours after delivery,TOTAL,1990.0,1934.0,1819.0,1664.0,1783.0,1796.0,1831.0,2036.0,1996.0,1991.0,1789.0,1962.0,22591.0
Bokaro,6.2,Women getting a post partum check up between 48 hours and 14 days after delivery,TOTAL,1056.0,1067.0,694.0,636.0,718.0,606.0,582.0,702.0,574.0,607.0,661.0,620.0,8523.0
Bokaro,6.3,PNC maternal complications attended,TOTAL,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Bokaro,7.1.1,Number of MTPs conducted at Public Institutions up to 12 weeks of pregnancy,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,7.0
Bokaro,7.1.2,Number of MTPs conducted at Public Institutions for more than 12 weeks of pregnancy,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
