Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,April,May,June,July,August,September,October,November,December,January,February,March,Total
District,,,,,,,,,,,,,,,,
Bagalkote,1.1,Total number of pregnant women Registered for ANC,TOTAL,3553.0,3367.0,3869.0,3606.0,3389.0,3708.0,3345.0,3432.0,3520.0,3656.0,3515.0,3481.0,42441.0
Bagalkote,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,2496.0,2256.0,2502.0,2354.0,2263.0,2475.0,2263.0,2375.0,2483.0,2530.0,2480.0,2496.0,28973.0
Bagalkote,1.2,Number of Pregnant women registered under JSY,TOTAL,2015.0,1952.0,2203.0,2243.0,2104.0,2269.0,2058.0,2101.0,2181.0,2129.0,2271.0,2248.0,25774.0
Bagalkote,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,3759.0,3342.0,3810.0,3794.0,3726.0,3999.0,3657.0,3943.0,3642.0,3660.0,3538.0,3409.0,44279.0
Bagalkote,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,4104.0,3667.0,3929.0,3918.0,3560.0,4134.0,3634.0,3467.0,3489.0,3260.0,3386.0,3281.0,43829.0
Bagalkote,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,3762.0,3591.0,3879.0,4145.0,3774.0,3870.0,3581.0,3424.0,3513.0,3353.0,3766.0,3677.0,44335.0
Bagalkote,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,2701.0,2483.0,3291.0,2897.0,2824.0,2894.0,2427.0,2506.0,2346.0,1879.0,1680.0,1623.0,29551.0
Bagalkote,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,80.0,61.0,70.0,107.0,64.0,67.0,23.0,70.0,90.0,70.0,97.0,79.0,878.0
Bagalkote,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,17.0,34.0,2.0,7.0,33.0,48.0,45.0,30.0,24.0,43.0,33.0,44.0,360.0
Bagalkote,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,2960.0,2868.0,3292.0,3462.0,2971.0,4130.0,3366.0,3106.0,3820.0,3594.0,4298.0,4190.0,42057.0
Bagalkote,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,92.0,104.0,95.0,122.0,148.0,146.0,150.0,275.0,160.0,133.0,191.0,174.0,1790.0
Bagalkote,1.8,Number of pregnancy test kits used at SC level,TOTAL,724.0,641.0,679.0,532.0,644.0,610.0,618.0,171.0,328.0,383.0,555.0,541.0,6426.0
Bagalkote,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,11.0,16.0,13.0,13.0,12.0,17.0,14.0,8.0,4.0,14.0,7.0,6.0,135.0
Bagalkote,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,6.0,3.0,6.0,4.0,11.0,5.0,6.0,7.0,17.0,3.0,12.0,17.0,97.0
Bagalkote,2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,17.0,19.0,19.0,17.0,23.0,22.0,20.0,15.0,21.0,17.0,19.0,23.0,232.0
Bagalkote,2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,15.0,17.0,15.0,13.0,19.0,20.0,17.0,9.0,20.0,16.0,20.0,24.0,205.0
Bagalkote,2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,3.0,6.0,0.0,1.0,2.0,3.0,1.0,0.0,3.0,1.0,0.0,0.0,20.0
Bagalkote,2.2,Deliveries conducted at Public Institutions (Including C-Sections),TOTAL,1462.0,1446.0,1496.0,1442.0,1577.0,1768.0,1680.0,1810.0,1638.0,1492.0,1432.0,1538.0,18781.0
Bagalkote,2.2.1,"Out of 2.2, Number discharged under 48 hours of delivery",TOTAL,236.0,161.0,183.0,168.0,62.0,54.0,96.0,319.0,76.0,287.0,249.0,148.0,2039.0
Bagalkote,2.2.2.a,Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,450.0,428.0,353.0,446.0,544.0,495.0,477.0,262.0,663.0,573.0,351.0,491.0,5533.0
Bagalkote,2.2.2.b,Number of ASHAs paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,51.0,2.0,55.0,61.0,52.0,41.0,29.0,24.0,23.0,47.0,78.0,12.0,475.0
Bagalkote,2.2.2.c,Number of cases of deliveries conducted at Public Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bagalkote,2.3,Deliveries conducted at Private Institutions (Including C-Sections),TOTAL,2032.0,2101.0,1948.0,1987.0,2034.0,2143.0,2041.0,2037.0,1878.0,1526.0,1402.0,2088.0,23217.0
Bagalkote,2.3.1.a,Number of mothers paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bagalkote,2.3.1.b,Number of ASHAs paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,30.0,26.0,0.0,20.0,30.0,35.0,20.0,20.0,0.0,15.0,10.0,5.0,211.0
Bagalkote,2.3.1.c,Number of cases of deliveries conducted at accredited Private Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bagalkote,3.1.1,Number of Caesarean (C-Section) deliveries performed at PHCs (Primary Health Centre),TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bagalkote,3.1.2,Number of Caesarean (C-Section) deliveries performed at CHCs (Community Health Centre),TOTAL,7.0,4.0,0.0,1.0,1.0,7.0,7.0,11.0,7.0,9.0,14.0,13.0,81.0
Bagalkote,3.1.3,Number of Caesarean (C-Section) deliveries performed at SDHs (Sub-divisional Hospital) or DHs (District Hospital),TOTAL,48.0,57.0,46.0,57.0,72.0,72.0,78.0,74.0,71.0,29.0,50.0,55.0,709.0
Bagalkote,3.1.4,Number of Caesarean (C-Section) deliveries performed at other State owned public institutions,TOTAL,,,,,,,,,,,,,
Bagalkote,3.1.5,"Total Number of Caesarean (C-Section) deliveries performed at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 3.1.1 to 3.1.4)",TOTAL,55.0,61.0,46.0,58.0,73.0,79.0,85.0,85.0,78.0,38.0,64.0,68.0,790.0
Bagalkote,3.2,No. of C-section deliveries performed at Private facilities,TOTAL,518.0,544.0,418.0,499.0,491.0,536.0,471.0,380.0,358.0,475.0,332.0,522.0,5544.0
Bagalkote,4.1.1.a,Number of male live births,TOTAL,1794.0,1877.0,1810.0,1817.0,1868.0,2011.0,1920.0,1958.0,1809.0,1544.0,1500.0,1975.0,21883.0
Bagalkote,4.1.1.b,Number of female live births,TOTAL,1683.0,1656.0,1626.0,1625.0,1724.0,1864.0,1808.0,1879.0,1697.0,1480.0,1336.0,1747.0,20125.0
Bagalkote,4.1.1.c,Total number of male and female live births (4.1.1.a and 4.1.1.b),TOTAL,3477.0,3533.0,3436.0,3442.0,3592.0,3875.0,3728.0,3837.0,3506.0,3024.0,2836.0,3722.0,42008.0
Bagalkote,4.1.2,Number of still births,TOTAL,45.0,31.0,25.0,34.0,46.0,59.0,43.0,46.0,40.0,27.0,22.0,35.0,453.0
Bagalkote,4.1.3,Number of Abortions (spontaneous or induced),TOTAL,38.0,26.0,44.0,18.0,13.0,21.0,33.0,29.0,20.0,32.0,20.0,21.0,315.0
Bagalkote,4.2.1,Number of Newborns weighed at birth,TOTAL,3175.0,3094.0,3112.0,2837.0,3422.0,3709.0,3533.0,3784.0,3390.0,2833.0,2635.0,3542.0,39066.0
Bagalkote,4.2.2,Number of Newborns having weight less than 2.5 kg,TOTAL,352.0,396.0,345.0,288.0,429.0,431.0,375.0,307.0,360.0,349.0,317.0,390.0,4339.0
Bagalkote,4.3,Number of Newborns breast fed within 1 hour of birth,TOTAL,3009.0,3269.0,3157.0,2806.0,3533.0,3790.0,3619.0,3794.0,3398.0,2974.0,2754.0,3652.0,39755.0
Bagalkote,5.1.1,Number of cases of pregnant women with Obstetric Complications and attended at PHCs,TOTAL,6.0,1.0,7.0,4.0,5.0,12.0,7.0,7.0,14.0,7.0,5.0,6.0,81.0
Bagalkote,5.1.2,Number of cases of pregnant women with Obstetric Complications and attended at CHCs,TOTAL,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,13.0
Bagalkote,5.1.3,Number of cases of pregnant women with Obstetric Complications and attended at SDHs or DHs,TOTAL,7.0,15.0,5.0,42.0,45.0,29.0,43.0,50.0,14.0,10.0,29.0,18.0,307.0
Bagalkote,5.1.4,Number of cases of pregnant women with Obstetric Complications and attended at other State owned public institutions,TOTAL,,,,,,,,,,,,,
Bagalkote,5.1.5,"Number of cases of pregnant women with Obstetric Complications and attended at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 5.1.1 to 5.1.4)",TOTAL,13.0,16.0,12.0,49.0,50.0,41.0,50.0,57.0,31.0,17.0,37.0,28.0,401.0
Bagalkote,5.2,Number of cases of pregnant women with Obstetric Complications and attended at Private facilities,TOTAL,0.0,0.0,0.0,1.0,0.0,1.0,22.0,7.0,5.0,14.0,12.0,0.0,62.0
Bagalkote,5.3.1,Number of cases of complicated pregnancies treated with IV antibiotics,TOTAL,65.0,146.0,103.0,110.0,142.0,263.0,242.0,145.0,151.0,179.0,76.0,148.0,1770.0
Bagalkote,5.3.2,Number of cases of complicated pregnancies treated with IV Antihypertensive/Magsulph injection,TOTAL,11.0,30.0,30.0,14.0,8.0,18.0,103.0,25.0,26.0,24.0,20.0,16.0,325.0
Bagalkote,5.3.3,Number of cases of complicated pregnancies treated with IV Oxytocis,TOTAL,81.0,225.0,78.0,232.0,283.0,342.0,380.0,237.0,493.0,265.0,107.0,113.0,2836.0
Bagalkote,5.3.4,Number of cases of complicated pregnancies treated with Blood Transfusion,TOTAL,70.0,78.0,49.0,67.0,89.0,108.0,110.0,63.0,54.0,57.0,45.0,49.0,839.0
Bagalkote,6.1,Women getting post partum check-up within 48 hours after delivery,TOTAL,2889.0,2681.0,2839.0,2759.0,2837.0,3106.0,3155.0,3299.0,2805.0,1973.0,2007.0,2346.0,32696.0
Bagalkote,6.2,Women getting a post partum check up between 48 hours and 14 days after delivery,TOTAL,2819.0,2930.0,2895.0,3010.0,3021.0,3354.0,2647.0,2787.0,2686.0,1830.0,2153.0,2461.0,32593.0
Bagalkote,6.3,PNC maternal complications attended,TOTAL,6.0,10.0,2.0,8.0,11.0,16.0,7.0,10.0,5.0,5.0,2.0,6.0,88.0
Bagalkote,7.1.1,Number of MTPs conducted at Public Institutions up to 12 weeks of pregnancy,TOTAL,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,2.0,4.0,15.0
Bagalkote,7.1.2,Number of MTPs conducted at Public Institutions for more than 12 weeks of pregnancy,TOTAL,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,7.0
Bagalkote,7.1.3,Total number of MTPs conducted at Public Institutions (sum of items 7.1.1 and 7.1.2),TOTAL,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,4.0,6.0,3.0,4.0,22.0
Bagalkote,7.2,Number of MTPs conducted at Private Facilities,TOTAL,11.0,5.0,8.0,7.0,11.0,5.0,4.0,5.0,9.0,5.0,7.0,2.0,79.0
Bagalkote,8.1.a,Number of new cases of RTI/STI in males for which treatment was initiated,TOTAL,385.0,369.0,558.0,574.0,547.0,461.0,457.0,463.0,457.0,296.0,381.0,642.0,5590.0
Bagalkote,8.1.b,Number of new cases of RTI/STI in females for which treatment was initiated,TOTAL,581.0,490.0,781.0,909.0,769.0,768.0,814.0,819.0,848.0,416.0,607.0,800.0,8602.0
Bagalkote,8.1.c,Total number of new cases of RTI/STI in males and females for which treatment was initiated (sum of items 8.1.a and 8.1.b),TOTAL,966.0,859.0,1339.0,1483.0,1316.0,1229.0,1271.0,1282.0,1305.0,712.0,988.0,1442.0,14192.0
Bagalkote,8.2,Number of suspected RTI/STI cases for whom wet mount test was conducted,TOTAL,0.0,0.0,0.0,6.0,0.0,6.0,8.0,0.0,4.0,0.0,9.0,0.0,33.0
Bagalkote,9.1.1.a,Number of NSV (No Scalpel Vasectomy) or Conventional Vasectomy conducted at PHCs,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bagalkote,9.1.1.b,Number of NSV or Conventional Vasectomy conducted at CHCs,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bagalkote,9.1.1.c,Number of NSV or Conventional Vasectomy conducted at SDHs or DHs,TOTAL,0.0,0.0,0.0,7.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
Bagalkote,9.1.1.d,Number of NSV or Conventional Vasectomy conducted at other State owned public institutions,TOTAL,,,,,,,,,,,,,
Bagalkote,9.1.1.e,"Total Number of NSV or Conventional Vasectomy conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.1.1.a to 9.1.1.d)",TOTAL,0.0,0.0,0.0,7.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
Bagalkote,9.1.2,Number of NSV or Conventional Vasectomy conducted at Private facilities,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bagalkote,9.2.1.a,Number of Laparoscopic sterilizations conducted at PHCs,TOTAL,26.0,87.0,36.0,69.0,81.0,79.0,59.0,42.0,25.0,61.0,103.0,22.0,690.0
Bagalkote,9.2.1.b,Number of Laparoscopic sterilizations conducted at CHCs,TOTAL,38.0,33.0,71.0,54.0,38.0,70.0,47.0,34.0,14.0,75.0,47.0,81.0,602.0
Bagalkote,9.2.1.c,Number of Laparoscopic sterilizations conducted at SDHs or DHs,TOTAL,114.0,158.0,277.0,95.0,194.0,138.0,125.0,102.0,100.0,118.0,149.0,95.0,1665.0
Bagalkote,9.2.1.d,Number of Laparoscopic sterilizations conducted at other State owned public institutions,TOTAL,,,,,,,,,,,,,
Bagalkote,9.2.1.e,"Total Number of Laparoscopic sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.2.1.a to 9.2.1.d)",TOTAL,178.0,278.0,384.0,218.0,313.0,287.0,231.0,178.0,139.0,254.0,299.0,198.0,2957.0
Bagalkote,9.2.2,Number of Laparoscopic sterilizations conducted at Private facilities,TOTAL,124.0,77.0,179.0,98.0,128.0,137.0,115.0,115.0,100.0,90.0,126.0,2766.0,4055.0
Bagalkote,9.3.1.a,Number of Mini-lap sterilizations conducted at PHCs,TOTAL,13.0,7.0,32.0,19.0,22.0,27.0,19.0,18.0,12.0,22.0,13.0,24.0,228.0
Bagalkote,9.3.1.b,Number of Mini-lap sterilizations conducted at CHCs,TOTAL,100.0,52.0,74.0,64.0,76.0,83.0,57.0,33.0,85.0,73.0,59.0,86.0,842.0
Bagalkote,9.3.1.c,Number of Mini-lap sterilizations conducted at SDHs or DHs,TOTAL,192.0,207.0,239.0,254.0,211.0,291.0,274.0,284.0,325.0,121.0,250.0,151.0,2799.0
Bagalkote,9.3.1.d,Number of Mini-lap sterilizations conducted at other State owned public institutions,TOTAL,,,,,,,,,,,,,
