Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,April,May,June,July,August,September,October,November,December,January,February,March,Total
District,,,,,,,,,,,,,,,,
Ahmednagar,1.1,Total number of pregnant women Registered for ANC,TOTAL,7601.0,6538.0,7336.0,6806.0,7072.0,7558.0,7169.0,6450.0,7672.0,7746.0,7244.0,8755.0,87947.0
Ahmednagar,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,5759.0,4980.0,5529.0,5072.0,5342.0,5677.0,5404.0,5313.0,6024.0,6025.0,5616.0,6481.0,67222.0
Ahmednagar,1.2,Number of Pregnant women registered under JSY,TOTAL,2771.0,1690.0,2100.0,1995.0,2190.0,2287.0,1963.0,1826.0,2118.0,2142.0,1927.0,2398.0,25407.0
Ahmednagar,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,6413.0,6297.0,6344.0,5859.0,6443.0,6377.0,6241.0,6389.0,6517.0,5933.0,6552.0,6783.0,76148.0
Ahmednagar,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,4495.0,4122.0,4781.0,4105.0,4256.0,4852.0,4413.0,4025.0,4872.0,4642.0,4473.0,5232.0,54268.0
Ahmednagar,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,6019.0,5475.0,5949.0,5705.0,5866.0,6289.0,5976.0,5592.0,6330.0,6792.0,6469.0,7098.0,73560.0
Ahmednagar,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,5135.0,5438.0,6054.0,5568.0,5577.0,6228.0,5630.0,5453.0,5911.0,5596.0,5456.0,6284.0,68330.0
Ahmednagar,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,106.0,123.0,180.0,113.0,82.0,101.0,260.0,73.0,163.0,85.0,64.0,96.0,1446.0
Ahmednagar,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,6.0,21.0,30.0,36.0,18.0,7.0,12.0,19.0,1.0,22.0,2.0,4.0,178.0
Ahmednagar,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,5631.0,5264.0,5696.0,5627.0,5579.0,5572.0,5867.0,5124.0,6822.0,6384.0,5927.0,8800.0,72293.0
Ahmednagar,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,235.0,184.0,210.0,202.0,197.0,40.0,67.0,67.0,115.0,47.0,59.0,40.0,1463.0
Ahmednagar,1.8,Number of pregnancy test kits used at SC level,TOTAL,290.0,242.0,263.0,224.0,223.0,,,1500.0,1861.0,2105.0,2345.0,2445.0,11498.0
Ahmednagar,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,250.0,174.0,162.0,167.0,127.0,119.0,91.0,91.0,103.0,142.0,80.0,121.0,1627.0
Ahmednagar,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,31.0,23.0,37.0,27.0,20.0,17.0,24.0,16.0,17.0,18.0,22.0,25.0,277.0
Ahmednagar,2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,281.0,197.0,199.0,194.0,147.0,136.0,115.0,107.0,120.0,160.0,102.0,146.0,1904.0
Ahmednagar,2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,117.0,71.0,82.0,84.0,93.0,75.0,50.0,52.0,49.0,49.0,50.0,47.0,819.0
Ahmednagar,2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,61.0,49.0,50.0,64.0,38.0,44.0,29.0,53.0,54.0,34.0,38.0,60.0,574.0
Ahmednagar,2.2,Deliveries conducted at Public Institutions (Including C-Sections),TOTAL,1628.0,1330.0,1803.0,2091.0,2138.0,2096.0,2107.0,2050.0,1887.0,1839.0,1484.0,1875.0,22328.0
Ahmednagar,2.2.1,"Out of 2.2, Number discharged under 48 hours of delivery",TOTAL,865.0,947.0,758.0,770.0,723.0,808.0,903.0,910.0,580.0,646.0,706.0,847.0,9463.0
Ahmednagar,2.2.2.a,Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,1154.0,928.0,1003.0,1252.0,1404.0,1127.0,1006.0,915.0,908.0,885.0,639.0,953.0,12174.0
Ahmednagar,2.2.2.b,Number of ASHAs paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,766.0,731.0,810.0,924.0,1076.0,1120.0,923.0,886.0,869.0,913.0,837.0,1182.0,11037.0
Ahmednagar,2.2.2.c,Number of cases of deliveries conducted at Public Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmednagar,2.3,Deliveries conducted at Private Institutions (Including C-Sections),TOTAL,5251.0,3848.0,4074.0,4631.0,4624.0,3876.0,4888.0,4799.0,4521.0,5342.0,4192.0,5352.0,55398.0
Ahmednagar,2.3.1.a,Number of mothers paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,209.0,154.0,165.0,138.0,151.0,2.0,544.0,540.0,588.0,490.0,399.0,795.0,4175.0
Ahmednagar,2.3.1.b,Number of ASHAs paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,19.0,6.0,16.0,10.0,16.0,5.0,70.0,47.0,57.0,43.0,61.0,70.0,420.0
Ahmednagar,2.3.1.c,Number of cases of deliveries conducted at accredited Private Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,,,,,,,,,,,,,
Ahmednagar,3.1.1,Number of Caesarean (C-Section) deliveries performed at PHCs (Primary Health Centre),TOTAL,,,,,,,0.0,,0.0,,,,0.0
Ahmednagar,3.1.2,Number of Caesarean (C-Section) deliveries performed at CHCs (Community Health Centre),TOTAL,,,,,,13.0,5.0,3.0,14.0,14.0,8.0,11.0,68.0
Ahmednagar,3.1.3,Number of Caesarean (C-Section) deliveries performed at SDHs (Sub-divisional Hospital) or DHs (District Hospital),TOTAL,215.0,179.0,178.0,192.0,200.0,210.0,215.0,238.0,224.0,209.0,202.0,207.0,2469.0
Ahmednagar,3.1.4,Number of Caesarean (C-Section) deliveries performed at other State owned public institutions,TOTAL,,,,,,,,,,,,,
Ahmednagar,3.1.5,"Total Number of Caesarean (C-Section) deliveries performed at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 3.1.1 to 3.1.4)",TOTAL,215.0,179.0,178.0,192.0,200.0,223.0,220.0,241.0,238.0,223.0,210.0,218.0,2537.0
Ahmednagar,3.2,No. of C-section deliveries performed at Private facilities,TOTAL,480.0,359.0,416.0,365.0,791.0,134.0,731.0,544.0,567.0,813.0,371.0,834.0,6405.0
Ahmednagar,4.1.1.a,Number of male live births,TOTAL,3761.0,3199.0,3140.0,3660.0,3780.0,3739.0,4456.0,4180.0,3830.0,4086.0,3343.0,3925.0,45099.0
Ahmednagar,4.1.1.b,Number of female live births,TOTAL,3400.0,2827.0,2911.0,3256.0,3360.0,3623.0,3917.0,3950.0,3559.0,3756.0,2918.0,3522.0,40999.0
Ahmednagar,4.1.1.c,Total number of male and female live births (4.1.1.a and 4.1.1.b),TOTAL,7161.0,6026.0,6051.0,6916.0,7140.0,7362.0,8373.0,8130.0,7389.0,7842.0,6261.0,7447.0,86098.0
Ahmednagar,4.1.2,Number of still births,TOTAL,91.0,86.0,99.0,82.0,97.0,113.0,90.0,92.0,79.0,72.0,51.0,79.0,1031.0
Ahmednagar,4.1.3,Number of Abortions (spontaneous or induced),TOTAL,297.0,217.0,243.0,246.0,271.0,344.0,233.0,279.0,239.0,353.0,348.0,375.0,3445.0
Ahmednagar,4.2.1,Number of Newborns weighed at birth,TOTAL,5995.0,5669.0,5554.0,5968.0,6737.0,6588.0,6818.0,7463.0,6392.0,6833.0,4521.0,5063.0,73601.0
Ahmednagar,4.2.2,Number of Newborns having weight less than 2.5 kg,TOTAL,592.0,453.0,393.0,459.0,526.0,564.0,509.0,672.0,514.0,593.0,383.0,466.0,6124.0
Ahmednagar,4.3,Number of Newborns breast fed within 1 hour of birth,TOTAL,5932.0,5555.0,5602.0,5891.0,6827.0,6625.0,6773.0,6375.0,6476.0,6883.0,4356.0,5141.0,72436.0
Ahmednagar,5.1.1,Number of cases of pregnant women with Obstetric Complications and attended at PHCs,TOTAL,10.0,4.0,15.0,11.0,19.0,23.0,14.0,21.0,19.0,9.0,24.0,12.0,181.0
Ahmednagar,5.1.2,Number of cases of pregnant women with Obstetric Complications and attended at CHCs,TOTAL,,,,,,19.0,12.0,11.0,28.0,13.0,27.0,14.0,124.0
Ahmednagar,5.1.3,Number of cases of pregnant women with Obstetric Complications and attended at SDHs or DHs,TOTAL,260.0,222.0,245.0,230.0,253.0,253.0,242.0,216.0,241.0,372.0,221.0,235.0,2990.0
Ahmednagar,5.1.4,Number of cases of pregnant women with Obstetric Complications and attended at other State owned public institutions,TOTAL,,,,,,,,,,,,,
Ahmednagar,5.1.5,"Number of cases of pregnant women with Obstetric Complications and attended at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 5.1.1 to 5.1.4)",TOTAL,270.0,226.0,260.0,241.0,272.0,295.0,268.0,248.0,288.0,394.0,272.0,261.0,3295.0
Ahmednagar,5.2,Number of cases of pregnant women with Obstetric Complications and attended at Private facilities,TOTAL,210.0,152.0,164.0,187.0,534.0,372.0,514.0,394.0,318.0,511.0,264.0,588.0,4208.0
Ahmednagar,5.3.1,Number of cases of complicated pregnancies treated with IV antibiotics,TOTAL,458.0,327.0,356.0,342.0,766.0,627.0,493.0,531.0,465.0,629.0,454.0,780.0,6228.0
Ahmednagar,5.3.2,Number of cases of complicated pregnancies treated with IV Antihypertensive/Magsulph injection,TOTAL,15.0,19.0,30.0,18.0,5.0,13.0,15.0,13.0,18.0,19.0,29.0,21.0,215.0
Ahmednagar,5.3.3,Number of cases of complicated pregnancies treated with IV Oxytocis,TOTAL,423.0,354.0,390.0,383.0,538.0,348.0,651.0,615.0,482.0,629.0,474.0,789.0,6076.0
Ahmednagar,5.3.4,Number of cases of complicated pregnancies treated with Blood Transfusion,TOTAL,41.0,51.0,70.0,61.0,60.0,34.0,75.0,44.0,20.0,68.0,93.0,105.0,722.0
Ahmednagar,6.1,Women getting post partum check-up within 48 hours after delivery,TOTAL,3812.0,3512.0,3556.0,3649.0,4294.0,4829.0,4803.0,5076.0,4477.0,4636.0,3714.0,4172.0,50530.0
Ahmednagar,6.2,Women getting a post partum check up between 48 hours and 14 days after delivery,TOTAL,3358.0,2472.0,2341.0,2578.0,3282.0,3565.0,3830.0,4716.0,3587.0,4062.0,3065.0,3479.0,40335.0
