Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,April,May,June,July,August,September,October,November,December,January,February,March,Total
District,,,,,,,,,,,,,,,,
Anjaw,1.1,Total number of pregnant women Registered for ANC,TOTAL,43.0,31.0,40.0,37.0,37.0,38.0,15.0,31.0,22.0,27.0,25.0,21.0,367.0
Anjaw,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,12.0,13.0,11.0,10.0,7.0,9.0,5.0,14.0,6.0,9.0,14.0,12.0,122.0
Anjaw,1.2,Number of Pregnant women registered under JSY,TOTAL,35.0,24.0,34.0,35.0,32.0,32.0,12.0,24.0,17.0,21.0,18.0,19.0,303.0
Anjaw,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,10.0,9.0,13.0,9.0,13.0,11.0,14.0,16.0,17.0,11.0,9.0,11.0,143.0
Anjaw,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,29.0,20.0,33.0,31.0,33.0,33.0,11.0,22.0,14.0,20.0,14.0,18.0,278.0
Anjaw,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,20.0,22.0,17.0,11.0,22.0,17.0,15.0,19.0,16.0,13.0,19.0,15.0,206.0
Anjaw,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,15.0,13.0,16.0,13.0,14.0,18.0,11.0,18.0,22.0,10.0,12.0,7.0,169.0
Anjaw,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anjaw,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anjaw,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,8.0
Anjaw,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anjaw,1.8,Number of pregnancy test kits used at SC level,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Anjaw,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,0.0,1.0,1.0,2.0,0.0,3.0,1.0,4.0,0.0,1.0,3.0,2.0,18.0
Anjaw,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,0.0,0.0,4.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0
Anjaw,2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,0.0,1.0,5.0,2.0,5.0,3.0,2.0,4.0,0.0,1.0,3.0,2.0,28.0
Anjaw,2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,0.0,0.0,3.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,3.0,2.0,14.0
Anjaw,2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,0.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Anjaw,2.2,Deliveries conducted at Public Institutions (Including C-Sections),TOTAL,4.0,11.0,6.0,10.0,11.0,13.0,17.0,11.0,10.0,8.0,10.0,9.0,120.0
Anjaw,2.2.1,"Out of 2.2, Number discharged under 48 hours of delivery",TOTAL,2.0,4.0,4.0,0.0,4.0,5.0,10.0,6.0,6.0,7.0,5.0,4.0,57.0
Anjaw,2.2.2.a,Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,2.0,3.0,6.0,0.0,6.0,12.0,7.0,2.0,5.0,17.0,2.0,4.0,66.0
Anjaw,2.2.2.b,Number of ASHAs paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,0.0,2.0,2.0,0.0,3.0,6.0,4.0,3.0,5.0,11.0,2.0,4.0,42.0
Anjaw,2.2.2.c,Number of cases of deliveries conducted at Public Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anjaw,2.3,Deliveries conducted at Private Institutions (Including C-Sections),TOTAL,,,,,,,,,,,,,
Anjaw,2.3.1.a,Number of mothers paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,,,,,,,,,,,,,
Anjaw,2.3.1.b,Number of ASHAs paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,,,,,,,,,,,,,
Anjaw,2.3.1.c,Number of cases of deliveries conducted at accredited Private Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,,,,,,,,,,,,,
