Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,April,May,June,July,August,September,October,November,December,January,February,March,Total
District,,,,,,,,,,,,,,,,
Ambala,1.1,Total number of pregnant women Registered for ANC,TOTAL,1691.0,1938.0,1382.0,1508.0,1584.0,1211.0,1003.0,1409.0,1311.0,1543.0,1691.0,1712.0,17983.0
Ambala,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,1081.0,1199.0,922.0,937.0,970.0,762.0,624.0,843.0,843.0,1081.0,1191.0,1197.0,11650.0
Ambala,1.2,Number of Pregnant women registered under JSY,TOTAL,696.0,784.0,598.0,619.0,616.0,495.0,392.0,567.0,566.0,701.0,743.0,723.0,7500.0
Ambala,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,986.0,1066.0,1021.0,1097.0,1085.0,1093.0,1033.0,1025.0,1011.0,993.0,881.0,970.0,12261.0
Ambala,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,1331.0,1316.0,987.0,1020.0,1076.0,934.0,765.0,877.0,1104.0,1116.0,1251.0,1328.0,13105.0
Ambala,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,1699.0,1636.0,1395.0,1490.0,1391.0,1233.0,1152.0,1049.0,1388.0,1356.0,1493.0,1648.0,16930.0
Ambala,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,1044.0,1104.0,1122.0,978.0,1039.0,1169.0,1098.0,1089.0,1063.0,1105.0,1075.0,1154.0,13040.0
Ambala,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,81.0,69.0,56.0,60.0,49.0,53.0,81.0,63.0,60.0,95.0,47.0,41.0,755.0
Ambala,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Ambala,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,1556.0,1857.0,1305.0,1418.0,1503.0,1106.0,943.0,1299.0,1217.0,1424.0,1478.0,1580.0,16686.0
Ambala,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,46.0,39.0,53.0,65.0,64.0,35.0,13.0,73.0,68.0,64.0,52.0,60.0,632.0
Ambala,1.8,Number of pregnancy test kits used at SC level,TOTAL,447.0,1000.0,1059.0,1197.0,1241.0,1086.0,1180.0,1773.0,1705.0,1213.0,1336.0,1531.0,14768.0
Ambala,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,0.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,9.0
Ambala,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,6.0,9.0,8.0,12.0,5.0,17.0,10.0,9.0,13.0,16.0,5.0,14.0,124.0
Ambala,2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,6.0,12.0,9.0,12.0,7.0,17.0,11.0,9.0,13.0,17.0,5.0,15.0,133.0
Ambala,2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,5.0,8.0,5.0,7.0,5.0,9.0,7.0,7.0,10.0,13.0,5.0,11.0,92.0
Ambala,2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ambala,2.2,Deliveries conducted at Public Institutions (Including C-Sections),TOTAL,743.0,708.0,757.0,973.0,1141.0,1159.0,1139.0,1015.0,1025.0,1050.0,869.0,782.0,11361.0
Ambala,2.2.1,"Out of 2.2, Number discharged under 48 hours of delivery",TOTAL,548.0,480.0,565.0,758.0,807.0,730.0,725.0,702.0,728.0,687.0,595.0,469.0,7794.0
Ambala,2.2.2.a,Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,133.0,263.0,13.0,55.0,51.0,87.0,62.0,143.0,137.0,12.0,97.0,39.0,1092.0
Ambala,2.2.2.b,Number of ASHAs paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,383.0,454.0,366.0,399.0,418.0,246.0,136.0,92.0,0.0,0.0,0.0,0.0,2494.0
Ambala,2.2.2.c,Number of cases of deliveries conducted at Public Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ambala,2.3,Deliveries conducted at Private Institutions (Including C-Sections),TOTAL,585.0,519.0,635.0,715.0,754.0,694.0,707.0,590.0,716.0,676.0,582.0,625.0,7798.0
Ambala,2.3.1.a,Number of mothers paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,,,,,,,,,,,,,
Ambala,2.3.1.b,Number of ASHAs paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,,,,,,,,,,,,,
Ambala,2.3.1.c,Number of cases of deliveries conducted at accredited Private Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,,,,,,,,,,,,,
Ambala,3.1.1,Number of Caesarean (C-Section) deliveries performed at PHCs (Primary Health Centre),TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ambala,3.1.2,Number of Caesarean (C-Section) deliveries performed at CHCs (Community Health Centre),TOTAL,15.0,28.0,26.0,33.0,30.0,28.0,29.0,41.0,23.0,22.0,21.0,20.0,316.0
Ambala,3.1.3,Number of Caesarean (C-Section) deliveries performed at SDHs (Sub-divisional Hospital) or DHs (District Hospital),TOTAL,82.0,100.0,76.0,109.0,104.0,106.0,101.0,97.0,116.0,118.0,114.0,116.0,1239.0
Ambala,3.1.4,Number of Caesarean (C-Section) deliveries performed at other State owned public institutions,TOTAL,,,,,,,,,,,,,
