Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,April,May,June,July,August,September,October,November,December,January,February,March,Total
District,,,,,,,,,,,,,,,,
East,1.1,Total number of pregnant women Registered for ANC,TOTAL,446.0,399.0,409.0,385.0,347.0,318.0,282.0,305.0,311.0,391.0,364.0,435.0,4392.0
East,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,309.0,312.0,305.0,266.0,253.0,226.0,219.0,212.0,228.0,268.0,266.0,341.0,3205.0
East,1.2,Number of Pregnant women registered under JSY,TOTAL,180.0,176.0,169.0,156.0,140.0,114.0,121.0,144.0,109.0,143.0,156.0,164.0,1772.0
East,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,249.0,332.0,340.0,342.0,333.0,374.0,345.0,346.0,301.0,312.0,299.0,321.0,3894.0
East,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,352.0,321.0,279.0,263.0,311.0,236.0,209.0,220.0,215.0,280.0,267.0,283.0,3236.0
East,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,356.0,356.0,358.0,302.0,277.0,310.0,238.0,241.0,244.0,254.0,262.0,328.0,3526.0
East,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,272.0,331.0,313.0,337.0,299.0,294.0,304.0,268.0,227.0,226.0,203.0,285.0,3359.0
East,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,7.0,21.0,42.0,25.0,4.0,3.0,30.0,29.0,22.0,26.0,6.0,27.0,242.0
East,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0
East,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,96.0,87.0,128.0,96.0,104.0,107.0,84.0,113.0,117.0,91.0,82.0,113.0,1218.0
East,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,1.0,1.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0
East,1.8,Number of pregnancy test kits used at SC level,TOTAL,117.0,191.0,185.0,173.0,143.0,95.0,79.0,54.0,59.0,63.0,71.0,70.0,1300.0
East,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,5.0,2.0,6.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,0.0,27.0
East,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,8.0,2.0,2.0,5.0,3.0,3.0,5.0,2.0,4.0,4.0,3.0,3.0,44.0
East,2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,13.0,4.0,8.0,7.0,6.0,4.0,6.0,4.0,5.0,7.0,4.0,3.0,71.0
East,2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,11.0,3.0,8.0,7.0,5.0,2.0,5.0,1.0,3.0,2.0,2.0,1.0,50.0
