Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,April,May,June,July,August,September,October,November,December,January,February,March,Total
District,,,,,,,,,,,,,,,,
Anantapur,1.1,Total number of pregnant women Registered for ANC,TOTAL,6622.0,6151.0,7298.0,7166.0,6809.0,6697.0,7069.0,6563.0,6454.0,6416.0,6460.0,6213.0,79918.0
Anantapur,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,4963.0,4625.0,5292.0,5348.0,4893.0,4835.0,5437.0,5117.0,4810.0,4777.0,4998.0,4715.0,59810.0
Anantapur,1.2,Number of Pregnant women registered under JSY,TOTAL,5665.0,5412.0,6288.0,6053.0,6095.0,5871.0,6199.0,5957.0,5609.0,5496.0,5772.0,5437.0,69854.0
Anantapur,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,6329.0,6592.0,6732.0,6687.0,6499.0,6653.0,6731.0,6594.0,6370.0,6520.0,6383.0,6388.0,78478.0
Anantapur,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,5988.0,5877.0,6524.0,6337.0,6110.0,6000.0,6472.0,6014.0,6021.0,5853.0,5841.0,5747.0,72784.0
Anantapur,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,6101.0,6129.0,6415.0,6749.0,6587.0,6262.0,6532.0,6464.0,6145.0,6350.0,5935.0,6181.0,75850.0
Anantapur,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,6678.0,7052.0,7076.0,7510.0,7216.0,7107.0,7010.0,6951.0,6676.0,6422.0,6455.0,6566.0,82719.0
Anantapur,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,78.0,89.0,65.0,68.0,100.0,76.0,121.0,38.0,57.0,42.0,37.0,43.0,814.0
Anantapur,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,0.0,7.0,3.0,6.0,2.0,10.0,0.0,4.0,2.0,1.0,2.0,3.0,40.0
Anantapur,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,4473.0,4201.0,4670.0,4736.0,5271.0,5267.0,4360.0,4665.0,4505.0,4121.0,3721.0,3888.0,53878.0
Anantapur,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,32.0,37.0,54.0,48.0,59.0,41.0,80.0,14.0,46.0,44.0,3.0,9.0,467.0
Anantapur,1.8,Number of pregnancy test kits used at SC level,TOTAL,1954.0,1911.0,1847.0,1932.0,1639.0,1698.0,2097.0,3036.0,2953.0,2769.0,2818.0,2369.0,27023.0
Anantapur,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,15.0,24.0,26.0,19.0,27.0,23.0,7.0,5.0,16.0,15.0,12.0,9.0,198.0
Anantapur,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,23.0,33.0,38.0,28.0,35.0,21.0,28.0,30.0,28.0,16.0,20.0,15.0,315.0
Anantapur,2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,38.0,57.0,64.0,47.0,62.0,44.0,35.0,35.0,44.0,31.0,32.0,24.0,513.0
Anantapur,2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,34.0,47.0,48.0,38.0,41.0,38.0,31.0,34.0,33.0,24.0,27.0,18.0,413.0
