Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,April,May,June,July,August,September,October,November,December,January,February,March,Total
District,,,,,,,,,,,,,,,,
North Goa,1.1,Total number of pregnant women Registered for ANC,TOTAL,1201.0,1099.0,1181.0,1105.0,1450.0,1203.0,1339.0,1268.0,1313.0,1241.0,1439.0,1287.0,15126.0
North Goa,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,780.0,723.0,919.0,874.0,880.0,851.0,879.0,771.0,689.0,661.0,737.0,763.0,9527.0
North Goa,1.2,Number of Pregnant women registered under JSY,TOTAL,44.0,31.0,59.0,79.0,54.0,39.0,87.0,54.0,61.0,48.0,57.0,38.0,651.0
North Goa,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,846.0,739.0,893.0,827.0,932.0,876.0,956.0,916.0,952.0,900.0,928.0,967.0,10732.0
North Goa,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,767.0,739.0,829.0,719.0,753.0,586.0,616.0,630.0,541.0,589.0,620.0,515.0,7904.0
North Goa,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,633.0,714.0,911.0,793.0,851.0,499.0,539.0,581.0,578.0,551.0,604.0,542.0,7796.0
North Goa,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,1123.0,849.0,1024.0,1000.0,1152.0,848.0,799.0,728.0,828.0,772.0,688.0,828.0,10639.0
North Goa,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,16.0,21.0,19.0,12.0,15.0,15.0,26.0,43.0,51.0,36.0,61.0,82.0,397.0
North Goa,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,16.0,11.0,4.0,7.0,4.0,11.0,9.0,5.0,7.0,23.0,15.0,25.0,137.0
