Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,April,May,June,July,August,September,October,November,December,January,February,March,Total
District,,,,,,,,,,,,,,,,
Adilabad,1.1,Total number of pregnant women Registered for ANC,TOTAL,4918.0,4822.0,4744.0,4250.0,4409.0,3797.0,3410.0,4014.0,4106.0,4405.0,4464.0,4272.0,51611.0
Adilabad,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,3682.0,3467.0,3415.0,3125.0,3161.0,2691.0,2507.0,2787.0,2735.0,3052.0,3247.0,3090.0,36959.0
Adilabad,1.2,Number of Pregnant women registered under JSY,TOTAL,3252.0,3038.0,3150.0,2698.0,3011.0,2489.0,2365.0,2803.0,2962.0,3052.0,3096.0,3098.0,35014.0
Adilabad,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,4040.0,3794.0,4608.0,4519.0,4508.0,4258.0,3996.0,4069.0,3692.0,4197.0,3915.0,4095.0,49691.0
Adilabad,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,4909.0,4818.0,4702.0,4216.0,4354.0,3748.0,3353.0,3988.0,3952.0,4306.0,4436.0,4249.0,51031.0
Adilabad,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,3890.0,4701.0,4766.0,4495.0,4032.0,3971.0,3554.0,3566.0,3791.0,3807.0,4066.0,4185.0,48824.0
Adilabad,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,4579.0,4558.0,4828.0,4483.0,4407.0,4300.0,3906.0,4160.0,4207.0,4327.0,4169.0,4296.0,52220.0
Adilabad,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,296.0,295.0,256.0,206.0,164.0,140.0,136.0,187.0,182.0,214.0,173.0,226.0,2475.0
Adilabad,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,19.0,8.0,16.0,13.0,16.0,7.0,16.0,21.0,27.0,28.0,14.0,14.0,199.0
Adilabad,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,1743.0,2014.0,1295.0,1033.0,1306.0,2064.0,1003.0,1394.0,1510.0,1565.0,1664.0,1652.0,18243.0
Adilabad,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,360.0,367.0,102.0,107.0,252.0,502.0,172.0,170.0,267.0,242.0,232.0,212.0,2985.0
Adilabad,1.8,Number of pregnancy test kits used at SC level,TOTAL,694.0,707.0,710.0,818.0,877.0,835.0,825.0,990.0,1041.0,1123.0,1138.0,1147.0,10905.0
Adilabad,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,155.0,160.0,208.0,210.0,254.0,205.0,174.0,280.0,161.0,139.0,98.0,82.0,2126.0
Adilabad,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,167.0,145.0,143.0,116.0,134.0,212.0,238.0,237.0,157.0,162.0,104.0,87.0,1902.0
Adilabad,2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,322.0,305.0,351.0,326.0,388.0,417.0,412.0,517.0,318.0,301.0,202.0,169.0,4028.0
Adilabad,2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,178.0,191.0,171.0,178.0,203.0,254.0,262.0,234.0,220.0,209.0,143.0,124.0,2367.0
Adilabad,2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,26.0,44.0,42.0,42.0,58.0,21.0,42.0,16.0,36.0,35.0,17.0,19.0,398.0
Adilabad,2.2,Deliveries conducted at Public Institutions (Including C-Sections),TOTAL,1347.0,1469.0,1368.0,1384.0,1691.0,1420.0,1570.0,1518.0,1481.0,1371.0,1189.0,1310.0,17118.0
Adilabad,2.2.1,"Out of 2.2, Number discharged under 48 hours of delivery",TOTAL,698.0,762.0,737.0,612.0,892.0,749.0,902.0,708.0,880.0,813.0,867.0,418.0,9038.0
Adilabad,2.2.2.a,Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,37.0,15.0,30.0,21.0,20.0,12.0,6.0,11.0,9.0,14.0,16.0,1.0,192.0
Adilabad,2.2.2.b,Number of ASHAs paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,26.0,69.0,119.0,63.0,61.0,39.0,2.0,8.0,5.0,27.0,17.0,9.0,445.0
Adilabad,2.2.2.c,Number of cases of deliveries conducted at Public Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,17.0,31.0,2.0,7.0,34.0,8.0,3.0,2.0,0.0,9.0,1.0,0.0,114.0
Adilabad,2.3,Deliveries conducted at Private Institutions (Including C-Sections),TOTAL,1830.0,1858.0,1746.0,1743.0,2000.0,1998.0,2033.0,2220.0,2100.0,2012.0,2120.0,2040.0,23700.0
Adilabad,2.3.1.a,Number of mothers paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,,,,,,,,,,,,,
