Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,April,May,June,July,August,September,October,November,December,January,February,March,Total
District,,,,,,,,,,,,,,,,
Nicobar,1.1,Total number of pregnant women Registered for ANC,TOTAL,58.0,45.0,50.0,49.0,55.0,37.0,33.0,55.0,45.0,42.0,49.0,58.0,576.0
Nicobar,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,37.0,16.0,17.0,23.0,33.0,17.0,24.0,35.0,30.0,36.0,27.0,38.0,333.0
Nicobar,1.2,Number of Pregnant women registered under JSY,TOTAL,45.0,20.0,41.0,35.0,48.0,27.0,25.0,47.0,32.0,35.0,42.0,45.0,442.0
Nicobar,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,47.0,48.0,52.0,40.0,52.0,36.0,40.0,39.0,36.0,38.0,32.0,50.0,510.0
Nicobar,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,38.0,32.0,29.0,26.0,28.0,21.0,24.0,29.0,24.0,34.0,21.0,39.0,345.0
Nicobar,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,38.0,40.0,32.0,36.0,36.0,17.0,40.0,37.0,37.0,33.0,42.0,38.0,426.0
Nicobar,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,50.0,152.0,57.0,35.0,60.0,27.0,38.0,39.0,30.0,45.0,36.0,40.0,609.0
Nicobar,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,2.0,0.0,12.0,2.0,1.0,2.0,3.0,4.0,2.0,1.0,2.0,0.0,31.0
Nicobar,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicobar,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,155.0,130.0,138.0,145.0,163.0,143.0,126.0,165.0,113.0,144.0,143.0,150.0,1715.0
Nicobar,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,0.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Nicobar,1.8,Number of pregnancy test kits used at SC level,TOTAL,,,,,,,,,,,,,
Nicobar,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,1.0,2.0,0.0,2.0,4.0,2.0,1.0,3.0,2.0,3.0,4.0,1.0,25.0
Nicobar,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,2.0,0.0,4.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,16.0
Nicobar,2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,3.0,2.0,4.0,4.0,5.0,5.0,2.0,4.0,2.0,4.0,5.0,1.0,41.0
Nicobar,2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,1.0,2.0,1.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,1.0,28.0
Nicobar,2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,2.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,11.0
Nicobar,2.2,Deliveries conducted at Public Institutions (Including C-Sections),TOTAL,35.0,34.0,21.0,29.0,50.0,34.0,38.0,31.0,29.0,32.0,14.0,37.0,384.0
Nicobar,2.2.1,"Out of 2.2, Number discharged under 48 hours of delivery",TOTAL,32.0,31.0,18.0,27.0,43.0,35.0,35.0,28.0,23.0,31.0,12.0,25.0,340.0
Nicobar,2.2.2.a,Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,39.0,25.0,23.0,30.0,28.0,12.0,30.0,25.0,11.0,25.0,15.0,22.0,285.0
Nicobar,2.2.2.b,Number of ASHAs paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,20.0,11.0,11.0,17.0,16.0,14.0,14.0,15.0,11.0,18.0,12.0,13.0,172.0
Nicobar,2.2.2.c,Number of cases of deliveries conducted at Public Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
Nicobar,2.3,Deliveries conducted at Private Institutions (Including C-Sections),TOTAL,,,,,,,,,,,,,
Nicobar,2.3.1.a,Number of mothers paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,,,,,,,,,,,,,
