Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,April,May,June,July,August,September,October,November,December,January,February,March,Total
District,,,,,,,,,,,,,,,,
Dimapur,1.1,Total number of pregnant women Registered for ANC,TOTAL,1986.0,2042.0,2064.0,2184.0,2203.0,2063.0,2026.0,1677.0,1479.0,1811.0,1632.0,2148.0,23315.0
Dimapur,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,804.0,921.0,907.0,901.0,709.0,730.0,713.0,629.0,548.0,631.0,651.0,816.0,8960.0
Dimapur,1.2,Number of Pregnant women registered under JSY,TOTAL,219.0,193.0,174.0,246.0,220.0,178.0,180.0,126.0,94.0,182.0,202.0,370.0,2384.0
Dimapur,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,559.0,569.0,626.0,692.0,639.0,608.0,670.0,485.0,499.0,513.0,505.0,591.0,6956.0
Dimapur,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,765.0,673.0,795.0,635.0,583.0,617.0,616.0,528.0,465.0,611.0,552.0,741.0,7581.0
Dimapur,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,454.0,474.0,577.0,532.0,532.0,539.0,445.0,360.0,365.0,455.0,368.0,426.0,5527.0
Dimapur,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,646.0,615.0,456.0,335.0,409.0,309.0,343.0,243.0,225.0,221.0,151.0,368.0,4321.0
Dimapur,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,30.0,32.0,30.0,32.0,31.0,33.0,28.0,40.0,30.0,38.0,20.0,14.0,358.0
Dimapur,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,3.0,1.0,4.0,2.0,1.0,2.0,4.0,5.0,8.0,4.0,1.0,3.0,38.0
Dimapur,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,345.0,308.0,457.0,372.0,451.0,414.0,393.0,369.0,261.0,360.0,357.0,429.0,4516.0
Dimapur,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,19.0,14.0,19.0,16.0,18.0,20.0,22.0,13.0,10.0,11.0,13.0,15.0,190.0
Dimapur,1.8,Number of pregnancy test kits used at SC level,TOTAL,3.0,14.0,9.0,29.0,22.0,18.0,24.0,17.0,23.0,14.0,16.0,28.0,217.0
Dimapur,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,50.0,54.0,56.0,51.0,45.0,38.0,51.0,51.0,35.0,46.0,43.0,44.0,564.0
Dimapur,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,13.0,17.0,6.0,10.0,20.0,25.0,22.0,11.0,10.0,15.0,16.0,14.0,179.0
Dimapur,2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,63.0,71.0,62.0,61.0,65.0,63.0,73.0,62.0,45.0,61.0,59.0,58.0,743.0
Dimapur,2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,45.0,52.0,45.0,36.0,32.0,39.0,49.0,47.0,39.0,34.0,49.0,51.0,518.0
Dimapur,2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dimapur,2.2,Deliveries conducted at Public Institutions (Including C-Sections),TOTAL,322.0,311.0,291.0,278.0,366.0,412.0,404.0,387.0,345.0,386.0,300.0,337.0,4139.0
Dimapur,2.2.1,"Out of 2.2, Number discharged under 48 hours of delivery",TOTAL,283.0,254.0,260.0,237.0,309.0,352.0,342.0,318.0,285.0,319.0,242.0,285.0,3486.0
Dimapur,2.2.2.a,Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,300.0,299.0,268.0,303.0,372.0,467.0,393.0,368.0,340.0,384.0,292.0,326.0,4112.0
Dimapur,2.2.2.b,Number of ASHAs paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,74.0,73.0,65.0,115.0,117.0,173.0,94.0,111.0,103.0,102.0,93.0,102.0,1222.0
Dimapur,2.2.2.c,Number of cases of deliveries conducted at Public Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dimapur,2.3,Deliveries conducted at Private Institutions (Including C-Sections),TOTAL,210.0,212.0,226.0,240.0,282.0,339.0,382.0,288.0,272.0,251.0,201.0,228.0,3131.0
Dimapur,2.3.1.a,Number of mothers paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,52.0,48.0,1.0,66.0,149.0,236.0,186.0,70.0,104.0,75.0,78.0,88.0,1153.0
Dimapur,2.3.1.b,Number of ASHAs paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,0.0,1.0,2.0,0.0,12.0
Dimapur,2.3.1.c,Number of cases of deliveries conducted at accredited Private Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dimapur,3.1.1,Number of Caesarean (C-Section) deliveries performed at PHCs (Primary Health Centre),TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0
Dimapur,3.1.2,Number of Caesarean (C-Section) deliveries performed at CHCs (Community Health Centre),TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dimapur,3.1.3,Number of Caesarean (C-Section) deliveries performed at SDHs (Sub-divisional Hospital) or DHs (District Hospital),TOTAL,41.0,52.0,32.0,41.0,54.0,60.0,61.0,69.0,60.0,67.0,58.0,52.0,647.0
Dimapur,3.1.4,Number of Caesarean (C-Section) deliveries performed at other State owned public institutions,TOTAL,,,,,,,,,,,,,
Dimapur,3.1.5,"Total Number of Caesarean (C-Section) deliveries performed at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 3.1.1 to 3.1.4)",TOTAL,41.0,52.0,32.0,41.0,54.0,60.0,61.0,69.0,65.0,67.0,58.0,52.0,652.0
Dimapur,3.2,No. of C-section deliveries performed at Private facilities,TOTAL,79.0,82.0,80.0,82.0,105.0,119.0,116.0,128.0,118.0,104.0,84.0,84.0,1181.0
Dimapur,4.1.1.a,Number of male live births,TOTAL,324.0,319.0,289.0,294.0,340.0,415.0,434.0,385.0,347.0,378.0,283.0,326.0,4134.0
Dimapur,4.1.1.b,Number of female live births,TOTAL,258.0,264.0,284.0,283.0,367.0,396.0,406.0,341.0,306.0,304.0,273.0,290.0,3772.0
Dimapur,4.1.1.c,Total number of male and female live births (4.1.1.a and 4.1.1.b),TOTAL,582.0,583.0,573.0,577.0,707.0,811.0,840.0,726.0,653.0,682.0,556.0,616.0,7906.0
Dimapur,4.1.2,Number of still births,TOTAL,16.0,17.0,9.0,10.0,14.0,11.0,24.0,17.0,17.0,23.0,9.0,10.0,177.0
Dimapur,4.1.3,Number of Abortions (spontaneous or induced),TOTAL,138.0,118.0,121.0,127.0,108.0,105.0,91.0,64.0,94.0,91.0,94.0,88.0,1239.0
Dimapur,4.2.1,Number of Newborns weighed at birth,TOTAL,574.0,579.0,572.0,575.0,706.0,795.0,843.0,731.0,666.0,689.0,551.0,602.0,7883.0
Dimapur,4.2.2,Number of Newborns having weight less than 2.5 kg,TOTAL,39.0,57.0,47.0,45.0,63.0,56.0,65.0,38.0,48.0,55.0,40.0,41.0,594.0
Dimapur,4.3,Number of Newborns breast fed within 1 hour of birth,TOTAL,465.0,458.0,472.0,442.0,540.0,607.0,664.0,553.0,515.0,514.0,455.0,501.0,6186.0
Dimapur,5.1.1,Number of cases of pregnant women with Obstetric Complications and attended at PHCs,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dimapur,5.1.2,Number of cases of pregnant women with Obstetric Complications and attended at CHCs,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dimapur,5.1.3,Number of cases of pregnant women with Obstetric Complications and attended at SDHs or DHs,TOTAL,8.0,4.0,7.0,3.0,5.0,5.0,5.0,4.0,2.0,5.0,4.0,4.0,56.0
Dimapur,5.1.4,Number of cases of pregnant women with Obstetric Complications and attended at other State owned public institutions,TOTAL,,,,,,,,,,,,,
Dimapur,5.1.5,"Number of cases of pregnant women with Obstetric Complications and attended at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 5.1.1 to 5.1.4)",TOTAL,8.0,4.0,7.0,3.0,5.0,5.0,5.0,4.0,2.0,5.0,4.0,4.0,56.0
Dimapur,5.2,Number of cases of pregnant women with Obstetric Complications and attended at Private facilities,TOTAL,7.0,30.0,32.0,36.0,43.0,23.0,20.0,40.0,35.0,34.0,40.0,6.0,346.0
Dimapur,5.3.1,Number of cases of complicated pregnancies treated with IV antibiotics,TOTAL,15.0,34.0,39.0,39.0,48.0,28.0,20.0,44.0,31.0,39.0,44.0,10.0,391.0
Dimapur,5.3.2,Number of cases of complicated pregnancies treated with IV Antihypertensive/Magsulph injection,TOTAL,8.0,4.0,7.0,5.0,6.0,6.0,7.0,4.0,3.0,6.0,6.0,5.0,67.0
Dimapur,5.3.3,Number of cases of complicated pregnancies treated with IV Oxytocis,TOTAL,7.0,30.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,6.0,50.0
