Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,April,May,June,July,August,September,October,November,December,January,February,March,Total
District,,,,,,,,,,,,,,,,
Ajmer,1.1,Total number of pregnant women Registered for ANC,TOTAL,6437.0,6783.0,6448.0,6079.0,5251.0,5576.0,5516.0,5600.0,6118.0,6640.0,6932.0,5944.0,73324.0
Ajmer,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,3427.0,3623.0,3548.0,3427.0,2957.0,3411.0,3281.0,2893.0,3839.0,4141.0,4103.0,3635.0,42285.0
Ajmer,1.2,Number of Pregnant women registered under JSY,TOTAL,6437.0,6783.0,6448.0,6079.0,5251.0,5576.0,5516.0,5600.0,6118.0,6640.0,6932.0,5944.0,73324.0
Ajmer,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,3580.0,3953.0,4167.0,3973.0,4223.0,4361.0,4283.0,4214.0,4736.0,4933.0,4046.0,3968.0,50437.0
Ajmer,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,3141.0,3157.0,3037.0,2880.0,2529.0,2699.0,2473.0,2622.0,2948.0,3283.0,3135.0,2920.0,34824.0
Ajmer,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,4576.0,4726.0,5382.0,4833.0,4351.0,4436.0,4116.0,4293.0,4697.0,4915.0,5128.0,4791.0,56244.0
Ajmer,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,5763.0,6613.0,6270.0,5628.0,5269.0,5522.0,5672.0,5396.0,5920.0,7878.0,6571.0,5632.0,72134.0
Ajmer,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,92.0,125.0,141.0,175.0,118.0,118.0,102.0,111.0,161.0,173.0,100.0,117.0,1533.0
Ajmer,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,20.0,31.0,51.0,55.0,28.0,15.0,19.0,36.0,44.0,39.0,16.0,24.0,378.0
Ajmer,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,5799.0,6810.0,4506.0,5168.0,3751.0,3950.0,3888.0,3705.0,4251.0,5232.0,5679.0,4548.0,57287.0
Ajmer,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,480.0,544.0,509.0,473.0,366.0,406.0,359.0,462.0,332.0,281.0,379.0,429.0,5020.0
Ajmer,1.8,Number of pregnancy test kits used at SC level,TOTAL,621.0,703.0,585.0,597.0,552.0,538.0,500.0,590.0,498.0,637.0,512.0,448.0,6781.0
Ajmer,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,5.0,9.0,5.0,2.0,3.0,5.0,1.0,1.0,4.0,3.0,3.0,0.0,41.0
Ajmer,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,24.0,24.0,67.0,29.0,39.0,39.0,60.0,38.0,39.0,32.0,20.0,28.0,439.0
Ajmer,2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,29.0,33.0,72.0,31.0,42.0,44.0,61.0,39.0,43.0,35.0,23.0,28.0,480.0
Ajmer,2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,27.0,23.0,40.0,21.0,36.0,30.0,54.0,24.0,30.0,25.0,15.0,25.0,350.0
Ajmer,2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0
Ajmer,2.2,Deliveries conducted at Public Institutions (Including C-Sections),TOTAL,3367.0,3712.0,3886.0,4422.0,4730.0,4445.0,4426.0,4039.0,4118.0,4179.0,3557.0,3533.0,48414.0
Ajmer,2.2.1,"Out of 2.2, Number discharged under 48 hours of delivery",TOTAL,704.0,797.0,799.0,773.0,931.0,885.0,855.0,1165.0,723.0,783.0,577.0,559.0,9551.0
Ajmer,2.2.2.a,Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,2914.0,3584.0,3641.0,4050.0,4190.0,3643.0,4156.0,3905.0,3599.0,4259.0,3905.0,3402.0,45248.0
Ajmer,2.2.2.b,Number of ASHAs paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,121.0,106.0,163.0,214.0,187.0,121.0,123.0,132.0,198.0,215.0,222.0,164.0,1966.0
Ajmer,2.2.2.c,Number of cases of deliveries conducted at Public Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ajmer,2.3,Deliveries conducted at Private Institutions (Including C-Sections),TOTAL,634.0,579.0,622.0,658.0,659.0,710.0,723.0,642.0,968.0,534.0,557.0,3795.0,11081.0
Ajmer,2.3.1.a,Number of mothers paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,90.0,103.0,99.0,131.0,140.0,105.0,80.0,94.0,242.0,127.0,81.0,87.0,1379.0
