Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,April,May,June,July,August,September,October,November,December,January,February,March,Total
District,,,,,,,,,,,,,,,,
Ariyalur,1.1,Total number of pregnant women Registered for ANC,TOTAL,939.0,939.0,935.0,850.0,873.0,911.0,910.0,1133.0,1062.0,985.0,976.0,1033.0,11546.0
Ariyalur,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,842.0,848.0,845.0,771.0,801.0,846.0,836.0,1005.0,952.0,872.0,849.0,917.0,10384.0
Ariyalur,1.2,Number of Pregnant women registered under JSY,TOTAL,896.0,891.0,896.0,828.0,835.0,823.0,845.0,1022.0,983.0,870.0,894.0,958.0,10741.0
Ariyalur,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,1076.0,1051.0,1047.0,942.0,1001.0,1035.0,1018.0,1169.0,1134.0,1061.0,1013.0,878.0,12425.0
Ariyalur,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,665.0,681.0,729.0,596.0,641.0,590.0,716.0,863.0,840.0,682.0,652.0,706.0,8361.0
Ariyalur,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,826.0,888.0,884.0,741.0,821.0,800.0,946.0,1065.0,1065.0,899.0,906.0,952.0,10793.0
Ariyalur,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,614.0,689.0,634.0,704.0,841.0,894.0,820.0,867.0,840.0,864.0,786.0,883.0,9436.0
Ariyalur,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,7.0,5.0,26.0,32.0,15.0,28.0,30.0,102.0,8.0,36.0,49.0,21.0,359.0
Ariyalur,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,2.0,7.0,6.0,5.0,4.0,5.0,2.0,6.0,3.0,10.0,2.0,0.0,52.0
Ariyalur,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,2020.0,2271.0,2343.0,2047.0,2437.0,2346.0,1881.0,2212.0,2375.0,2281.0,2175.0,2534.0,26922.0
Ariyalur,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,52.0,11.0,9.0,20.0,18.0,41.0,31.0,44.0,16.0,36.0,12.0,19.0,309.0
Ariyalur,1.8,Number of pregnancy test kits used at SC level,TOTAL,20.0,19.0,14.0,26.0,35.0,47.0,64.0,62.0,49.0,28.0,26.0,42.0,432.0
Ariyalur,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Ariyalur,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ariyalur,2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Ariyalur,2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Ariyalur,2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Ariyalur,2.2,Deliveries conducted at Public Institutions (Including C-Sections),TOTAL,330.0,449.0,425.0,451.0,453.0,450.0,448.0,413.0,375.0,305.0,271.0,396.0,4766.0
Ariyalur,2.2.1,"Out of 2.2, Number discharged under 48 hours of delivery",TOTAL,3.0,3.0,1.0,5.0,4.0,7.0,10.0,6.0,10.0,10.0,8.0,8.0,75.0
Ariyalur,2.2.2.a,Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,330.0,449.0,425.0,451.0,453.0,450.0,448.0,413.0,375.0,305.0,271.0,396.0,4766.0
Ariyalur,2.2.2.b,Number of ASHAs paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ariyalur,2.2.2.c,Number of cases of deliveries conducted at Public Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ariyalur,2.3,Deliveries conducted at Private Institutions (Including C-Sections),TOTAL,227.0,297.0,283.0,304.0,280.0,305.0,338.0,321.0,232.0,167.0,208.0,254.0,3216.0
Ariyalur,2.3.1.a,Number of mothers paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,,,,,,,,,,,,,
Ariyalur,2.3.1.b,Number of ASHAs paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,,,,,,,,,,,,,
Ariyalur,2.3.1.c,Number of cases of deliveries conducted at accredited Private Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,,,,,,,,,,,,,
Ariyalur,3.1.1,Number of Caesarean (C-Section) deliveries performed at PHCs (Primary Health Centre),TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ariyalur,3.1.2,Number of Caesarean (C-Section) deliveries performed at CHCs (Community Health Centre),TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ariyalur,3.1.3,Number of Caesarean (C-Section) deliveries performed at SDHs (Sub-divisional Hospital) or DHs (District Hospital),TOTAL,154.0,187.0,199.0,213.0,232.0,215.0,224.0,183.0,194.0,130.0,135.0,202.0,2268.0
Ariyalur,3.1.4,Number of Caesarean (C-Section) deliveries performed at other State owned public institutions,TOTAL,,,,,,,,,,,,,
Ariyalur,3.1.5,"Total Number of Caesarean (C-Section) deliveries performed at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 3.1.1 to 3.1.4)",TOTAL,154.0,187.0,199.0,213.0,232.0,215.0,224.0,183.0,194.0,130.0,135.0,202.0,2268.0
Ariyalur,3.2,No. of C-section deliveries performed at Private facilities,TOTAL,163.0,200.0,195.0,183.0,192.0,162.0,245.0,226.0,146.0,129.0,148.0,205.0,2194.0
Ariyalur,4.1.1.a,Number of male live births,TOTAL,294.0,390.0,384.0,376.0,386.0,383.0,394.0,357.0,286.0,237.0,249.0,351.0,4087.0
Ariyalur,4.1.1.b,Number of female live births,TOTAL,261.0,357.0,326.0,381.0,349.0,375.0,391.0,379.0,320.0,235.0,231.0,299.0,3904.0
Ariyalur,4.1.1.c,Total number of male and female live births (4.1.1.a and 4.1.1.b),TOTAL,555.0,747.0,710.0,757.0,735.0,758.0,785.0,736.0,606.0,472.0,480.0,650.0,7991.0
Ariyalur,4.1.2,Number of still births,TOTAL,5.0,2.0,5.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,4.0,33.0
Ariyalur,4.1.3,Number of Abortions (spontaneous or induced),TOTAL,23.0,51.0,70.0,63.0,84.0,94.0,84.0,74.0,63.0,54.0,57.0,65.0,782.0
Ariyalur,4.2.1,Number of Newborns weighed at birth,TOTAL,555.0,747.0,710.0,757.0,735.0,758.0,785.0,736.0,606.0,472.0,480.0,650.0,7991.0
Ariyalur,4.2.2,Number of Newborns having weight less than 2.5 kg,TOTAL,79.0,124.0,88.0,106.0,45.0,77.0,185.0,229.0,170.0,88.0,88.0,123.0,1402.0
Ariyalur,4.3,Number of Newborns breast fed within 1 hour of birth,TOTAL,239.0,359.0,314.0,359.0,309.0,378.0,316.0,324.0,265.0,213.0,196.0,243.0,3515.0
Ariyalur,5.1.1,Number of cases of pregnant women with Obstetric Complications and attended at PHCs,TOTAL,0.0,42.0,7.0,10.0,128.0,27.0,16.0,20.0,114.0,28.0,38.0,24.0,454.0
Ariyalur,5.1.2,Number of cases of pregnant women with Obstetric Complications and attended at CHCs,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,44.0,45.0
Ariyalur,5.1.3,Number of cases of pregnant women with Obstetric Complications and attended at SDHs or DHs,TOTAL,222.0,240.0,399.0,253.0,364.0,356.0,304.0,298.0,254.0,216.0,183.0,248.0,3337.0
Ariyalur,5.1.4,Number of cases of pregnant women with Obstetric Complications and attended at other State owned public institutions,TOTAL,,,,,,,,,,,,,
Ariyalur,5.1.5,"Number of cases of pregnant women with Obstetric Complications and attended at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 5.1.1 to 5.1.4)",TOTAL,222.0,282.0,406.0,263.0,492.0,383.0,320.0,318.0,369.0,244.0,221.0,316.0,3836.0
Ariyalur,5.2,Number of cases of pregnant women with Obstetric Complications and attended at Private facilities,TOTAL,,,,,,,,,,,,,
Ariyalur,5.3.1,Number of cases of complicated pregnancies treated with IV antibiotics,TOTAL,132.0,255.0,137.0,144.0,156.0,258.0,305.0,249.0,114.0,167.0,172.0,115.0,2204.0
Ariyalur,5.3.2,Number of cases of complicated pregnancies treated with IV Antihypertensive/Magsulph injection,TOTAL,2.0,22.0,7.0,10.0,4.0,4.0,4.0,6.0,8.0,10.0,12.0,31.0,120.0
Ariyalur,5.3.3,Number of cases of complicated pregnancies treated with IV Oxytocis,TOTAL,147.0,211.0,228.0,232.0,228.0,305.0,56.0,197.0,111.0,149.0,142.0,162.0,2168.0
Ariyalur,5.3.4,Number of cases of complicated pregnancies treated with Blood Transfusion,TOTAL,66.0,81.0,43.0,57.0,65.0,63.0,40.0,28.0,2.0,29.0,25.0,56.0,555.0
Ariyalur,6.1,Women getting post partum check-up within 48 hours after delivery,TOTAL,557.0,746.0,708.0,755.0,733.0,755.0,786.0,734.0,607.0,472.0,479.0,651.0,7983.0
Ariyalur,6.2,Women getting a post partum check up between 48 hours and 14 days after delivery,TOTAL,486.0,600.0,632.0,623.0,649.0,690.0,681.0,736.0,722.0,648.0,567.0,582.0,7616.0
Ariyalur,6.3,PNC maternal complications attended,TOTAL,4.0,9.0,6.0,9.0,10.0,4.0,2.0,23.0,27.0,17.0,1.0,13.0,125.0
Ariyalur,7.1.1,Number of MTPs conducted at Public Institutions up to 12 weeks of pregnancy,TOTAL,19.0,29.0,22.0,24.0,23.0,23.0,26.0,25.0,23.0,22.0,23.0,28.0,287.0
Ariyalur,7.1.2,Number of MTPs conducted at Public Institutions for more than 12 weeks of pregnancy,TOTAL,0.0,2.0,1.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0
Ariyalur,7.1.3,Total number of MTPs conducted at Public Institutions (sum of items 7.1.1 and 7.1.2),TOTAL,19.0,31.0,23.0,27.0,26.0,24.0,26.0,26.0,24.0,22.0,23.0,28.0,299.0
Ariyalur,7.2,Number of MTPs conducted at Private Facilities,TOTAL,3.0,5.0,3.0,6.0,8.0,7.0,4.0,9.0,2.0,5.0,6.0,4.0,62.0
Ariyalur,8.1.a,Number of new cases of RTI/STI in males for which treatment was initiated,TOTAL,134.0,92.0,96.0,51.0,58.0,45.0,30.0,36.0,188.0,33.0,61.0,409.0,1233.0
Ariyalur,8.1.b,Number of new cases of RTI/STI in females for which treatment was initiated,TOTAL,448.0,258.0,328.0,292.0,297.0,232.0,185.0,204.0,300.0,192.0,248.0,508.0,3492.0
Ariyalur,8.1.c,Total number of new cases of RTI/STI in males and females for which treatment was initiated (sum of items 8.1.a and 8.1.b),TOTAL,582.0,350.0,424.0,343.0,355.0,277.0,215.0,240.0,488.0,225.0,309.0,917.0,4725.0
Ariyalur,8.2,Number of suspected RTI/STI cases for whom wet mount test was conducted,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0
