Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,April,May,June,July,August,September,October,November,December,January,February,March,Total
District,,,,,,,,,,,,,,,,
Almora,1.1,Total number of pregnant women Registered for ANC,TOTAL,992.0,1025.0,1047.0,1133.0,894.0,937.0,713.0,660.0,801.0,775.0,906.0,978.0,10861.0
Almora,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,531.0,651.0,493.0,576.0,492.0,475.0,410.0,350.0,487.0,508.0,604.0,551.0,6128.0
Almora,1.2,Number of Pregnant women registered under JSY,TOTAL,990.0,1022.0,1044.0,1133.0,900.0,938.0,711.0,658.0,803.0,771.0,905.0,976.0,10851.0
Almora,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,574.0,564.0,710.0,728.0,524.0,639.0,619.0,594.0,621.0,548.0,486.0,551.0,7158.0
Almora,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,706.0,750.0,613.0,724.0,632.0,701.0,543.0,452.0,529.0,516.0,664.0,658.0,7488.0
Almora,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,684.0,763.0,806.0,670.0,621.0,756.0,699.0,597.0,525.0,549.0,605.0,734.0,8009.0
Almora,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,705.0,925.0,825.0,826.0,608.0,591.0,616.0,469.0,657.0,663.0,830.0,615.0,8330.0
Almora,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,6.0,10.0,7.0,52.0,31.0,49.0,10.0,4.0,30.0,30.0,38.0,22.0,289.0
Almora,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Almora,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,337.0,391.0,625.0,606.0,491.0,544.0,550.0,434.0,485.0,455.0,426.0,690.0,6034.0
