Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,April,May,June,July,August,September,October,November,December,January,February,March,Total
District,,,,,,,,,,,,,,,,
Alipurduar,1.1,Total number of pregnant women Registered for ANC,TOTAL,2605.0,2417.0,2155.0,2168.0,1922.0,1845.0,1496.0,1663.0,1703.0,2005.0,2010.0,2370.0,24359.0
Alipurduar,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,1956.0,2032.0,1800.0,1840.0,1606.0,1520.0,1265.0,1402.0,1467.0,1784.0,1807.0,2123.0,20602.0
Alipurduar,1.2,Number of Pregnant women registered under JSY,TOTAL,1925.0,1896.0,1685.0,1720.0,1638.0,1585.0,1262.0,1428.0,1358.0,1585.0,1643.0,1987.0,19712.0
Alipurduar,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,1360.0,1484.0,1580.0,1665.0,2005.0,1960.0,1970.0,2027.0,1712.0,1749.0,1576.0,1802.0,20890.0
Alipurduar,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,1928.0,2026.0,1911.0,1939.0,1730.0,1629.0,1401.0,1384.0,1523.0,1749.0,1719.0,2181.0,21120.0
Alipurduar,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,1622.0,1976.0,1905.0,1996.0,1865.0,1805.0,1713.0,1411.0,1379.0,1622.0,1693.0,2003.0,20990.0
Alipurduar,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,1392.0,1544.0,1477.0,1637.0,1753.0,1751.0,1675.0,1486.0,1738.0,1740.0,1746.0,1881.0,19820.0
Alipurduar,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,61.0,45.0,77.0,94.0,53.0,38.0,66.0,71.0,55.0,83.0,74.0,100.0,817.0
Alipurduar,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,24.0,13.0,8.0,9.0,28.0,46.0,40.0,9.0,13.0,11.0,4.0,2.0,207.0
Alipurduar,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,2201.0,2369.0,2227.0,2000.0,2277.0,2230.0,2022.0,2243.0,1650.0,1842.0,1903.0,2193.0,25157.0
Alipurduar,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,19.0,14.0,14.0,15.0,10.0,21.0,16.0,26.0,26.0,21.0,13.0,25.0,220.0
Alipurduar,1.8,Number of pregnancy test kits used at SC level,TOTAL,837.0,1408.0,1453.0,1918.0,1596.0,1408.0,1354.0,1560.0,1696.0,2012.0,1990.0,2315.0,19547.0
Alipurduar,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,6.0
Alipurduar,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,101.0,120.0,129.0,142.0,170.0,163.0,194.0,180.0,169.0,140.0,128.0,87.0,1723.0
Alipurduar,2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,101.0,120.0,129.0,142.0,170.0,165.0,194.0,180.0,169.0,143.0,128.0,88.0,1729.0
Alipurduar,2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,97.0,114.0,126.0,137.0,162.0,151.0,186.0,164.0,166.0,130.0,124.0,83.0,1640.0
Alipurduar,2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,135.0,70.0,68.0,45.0,72.0,59.0,63.0,97.0,76.0,36.0,61.0,64.0,846.0
Alipurduar,2.2,Deliveries conducted at Public Institutions (Including C-Sections),TOTAL,1686.0,963.0,1116.0,1250.0,1441.0,1428.0,1640.0,1657.0,1858.0,1605.0,1480.0,1409.0,17533.0
Alipurduar,2.2.1,"Out of 2.2, Number discharged under 48 hours of delivery",TOTAL,284.0,238.0,296.0,348.0,371.0,385.0,294.0,321.0,178.0,120.0,152.0,201.0,3188.0
Alipurduar,2.2.2.a,Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,1035.0,728.0,780.0,833.0,836.0,740.0,908.0,1180.0,992.0,967.0,1126.0,1162.0,11287.0
Alipurduar,2.2.2.b,Number of ASHAs paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0
Alipurduar,2.2.2.c,Number of cases of deliveries conducted at Public Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alipurduar,2.3,Deliveries conducted at Private Institutions (Including C-Sections),TOTAL,195.0,208.0,174.0,226.0,277.0,290.0,252.0,253.0,206.0,210.0,196.0,191.0,2678.0
Alipurduar,2.3.1.a,Number of mothers paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Alipurduar,2.3.1.b,Number of ASHAs paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alipurduar,2.3.1.c,Number of cases of deliveries conducted at accredited Private Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alipurduar,3.1.1,Number of Caesarean (C-Section) deliveries performed at PHCs (Primary Health Centre),TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alipurduar,3.1.2,Number of Caesarean (C-Section) deliveries performed at CHCs (Community Health Centre),TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alipurduar,3.1.3,Number of Caesarean (C-Section) deliveries performed at SDHs (Sub-divisional Hospital) or DHs (District Hospital),TOTAL,434.0,197.0,236.0,217.0,247.0,274.0,276.0,272.0,395.0,297.0,296.0,313.0,3454.0
