Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,April,April,April,April,April,May,May,May,May,May,June,June,June,June,June,July,July,July,July,July,August,August,August,August,August,September,September,September,September,September,October,October,October,October,October,November,November,November,November,November,December,December,December,December,December,January,January,January,January,January,February,February,February,February,February,March,March,March,March,March,Total,Total,Total,Total,Total
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D]
District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicobar,1.1,Total number of pregnant women registered for ANC,TOTAL,50.0,50.0,,,50.0,35.0,35.0,,,35.0,69.0,69.0,,,69.0,71.0,71.0,,,71.0,52.0,52.0,,,52.0,55.0,55.0,,,55.0,48.0,48.0,,,48.0,62.0,62.0,,,62.0,43.0,43.0,,,43.0,66.0,66.0,,,66.0,79.0,79.0,,,79.0,54.0,54.0,,,54.0,684.0,684.0,,,684.0
Nicobar,1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,31.0,31.0,,,31.0,19.0,19.0,,,19.0,25.0,25.0,,,25.0,34.0,34.0,,,34.0,18.0,18.0,,,18.0,32.0,32.0,,,32.0,24.0,24.0,,,24.0,26.0,26.0,,,26.0,22.0,22.0,,,22.0,30.0,30.0,,,30.0,29.0,29.0,,,29.0,20.0,20.0,,,20.0,310.0,310.0,,,310.0
Nicobar,1.2.1,Number of PW given TT1,TOTAL,31.0,31.0,,,31.0,28.0,28.0,,,28.0,33.0,33.0,,,33.0,42.0,42.0,,,42.0,23.0,23.0,,,23.0,31.0,31.0,,,31.0,17.0,17.0,,,17.0,27.0,27.0,,,27.0,26.0,26.0,,,26.0,30.0,30.0,,,30.0,38.0,38.0,,,38.0,26.0,26.0,,,26.0,352.0,352.0,,,352.0
Nicobar,1.2.2,Number of PW given TT2,TOTAL,29.0,29.0,,,29.0,30.0,30.0,,,30.0,17.0,17.0,,,17.0,23.0,23.0,,,23.0,37.0,37.0,,,37.0,21.0,21.0,,,21.0,18.0,18.0,,,18.0,22.0,22.0,,,22.0,17.0,17.0,,,17.0,25.0,25.0,,,25.0,18.0,18.0,,,18.0,28.0,28.0,,,28.0,285.0,285.0,,,285.0
Nicobar,1.2.3,Number of PW given TT Booster,TOTAL,16.0,16.0,,,16.0,7.0,7.0,,,7.0,13.0,13.0,,,13.0,18.0,18.0,,,18.0,18.0,18.0,,,18.0,19.0,19.0,,,19.0,27.0,27.0,,,27.0,22.0,22.0,,,22.0,12.0,12.0,,,12.0,20.0,20.0,,,20.0,18.0,18.0,,,18.0,14.0,14.0,,,14.0,204.0,204.0,,,204.0
Nicobar,1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,29.0,29.0,,,29.0,37.0,37.0,,,37.0,23.0,23.0,,,23.0,19.0,19.0,,,19.0,21.0,21.0,,,21.0,14.0,14.0,,,14.0,12.0,12.0,,,12.0,18.0,18.0,,,18.0,16.0,16.0,,,16.0,20.0,20.0,,,20.0,26.0,26.0,,,26.0,25.0,25.0,,,25.0,260.0,260.0,,,260.0
Nicobar,1.2.5,Number of PW given 360 Calcium tablets,TOTAL,3.0,3.0,,,3.0,11.0,11.0,,,11.0,14.0,14.0,,,14.0,11.0,11.0,,,11.0,11.0,11.0,,,11.0,10.0,10.0,,,10.0,3.0,3.0,,,3.0,5.0,5.0,,,5.0,7.0,7.0,,,7.0,7.0,7.0,,,7.0,215.0,215.0,,,215.0,25.0,25.0,,,25.0,322.0,322.0,,,322.0
Nicobar,1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,16.0,16.0,,,16.0,20.0,20.0,,,20.0,49.0,49.0,,,49.0,48.0,48.0,,,48.0,38.0,38.0,,,38.0,23.0,23.0,,,23.0,23.0,23.0,,,23.0,35.0,35.0,,,35.0,24.0,24.0,,,24.0,37.0,37.0,,,37.0,26.0,26.0,,,26.0,30.0,30.0,,,30.0,369.0,369.0,,,369.0
