Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,April,April,April,April,April,May,May,May,May,May,June,June,June,June,June,July,July,July,July,July,August,August,August,August,August,September,September,September,September,September,October,October,October,October,October,November,November,November,November,November,December,December,December,December,December,January,January,January,January,January,February,February,February,February,February,March,March,March,March,March,Total,Total,Total,Total,Total
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D]
District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anantapur,1.1,Total number of pregnant women registered for ANC,TOTAL,8020.0,8020.0,,1544.0,6476.0,6736.0,6736.0,,1575.0,5161.0,6885.0,6885.0,,1582.0,5303.0,6861.0,6861.0,,1552.0,5309.0,6082.0,6082.0,,1331.0,4751.0,7010.0,7010.0,,1624.0,5386.0,6844.0,6844.0,,1642.0,5202.0,7174.0,7174.0,,1587.0,5587.0,7102.0,7102.0,,1505.0,5597.0,6741.0,6741.0,,1593.0,5148.0,7462.0,7462.0,,1437.0,6025.0,6707.0,6707.0,,1685.0,5022.0,83624.0,83624.0,,18657.0,64967.0
Anantapur,1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,5454.0,5454.0,,1214.0,4240.0,5167.0,5167.0,,1212.0,3955.0,5249.0,5249.0,,1235.0,4014.0,5113.0,5113.0,,1253.0,3860.0,4734.0,4734.0,,1147.0,3587.0,5355.0,5355.0,,1321.0,4034.0,5206.0,5206.0,,1297.0,3909.0,5391.0,5391.0,,1249.0,4142.0,5513.0,5513.0,,1228.0,4285.0,5383.0,5383.0,,1293.0,4090.0,6023.0,6023.0,,1182.0,4841.0,5202.0,5202.0,,1292.0,3910.0,63790.0,63790.0,,14923.0,48867.0
Anantapur,1.2.1,Number of PW given TT1,TOTAL,5959.0,5959.0,,1365.0,4594.0,5846.0,5846.0,,1454.0,4392.0,5936.0,5936.0,,1349.0,4587.0,5727.0,5727.0,,1321.0,4406.0,5405.0,5405.0,,1194.0,4211.0,6027.0,6027.0,,1338.0,4689.0,5906.0,5906.0,,1385.0,4521.0,5973.0,5973.0,,1353.0,4620.0,6190.0,6190.0,,1278.0,4912.0,6079.0,6079.0,,1396.0,4683.0,6674.0,6674.0,,1320.0,5354.0,6056.0,6056.0,,1518.0,4538.0,71778.0,71778.0,,16271.0,55507.0
Anantapur,1.2.2,Number of PW given TT2,TOTAL,5260.0,5260.0,,1029.0,4231.0,5568.0,5568.0,,1270.0,4298.0,5795.0,5795.0,,1119.0,4676.0,5966.0,5966.0,,1171.0,4795.0,5414.0,5414.0,,1074.0,4340.0,5685.0,5685.0,,1093.0,4592.0,5955.0,5955.0,,1216.0,4739.0,6136.0,6136.0,,1295.0,4841.0,6204.0,6204.0,,1208.0,4996.0,6363.0,6363.0,,1376.0,4987.0,6635.0,6635.0,,1280.0,5355.0,6305.0,6305.0,,1487.0,4818.0,71286.0,71286.0,,14618.0,56668.0
Anantapur,1.2.3,Number of PW given TT Booster,TOTAL,377.0,377.0,,123.0,254.0,575.0,575.0,,243.0,332.0,607.0,607.0,,191.0,416.0,526.0,526.0,,203.0,323.0,359.0,359.0,,86.0,273.0,451.0,451.0,,81.0,370.0,456.0,456.0,,71.0,385.0,685.0,685.0,,158.0,527.0,615.0,615.0,,183.0,432.0,676.0,676.0,,172.0,504.0,979.0,979.0,,196.0,783.0,432.0,432.0,,147.0,285.0,6738.0,6738.0,,1854.0,4884.0
Anantapur,1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,4587.0,4587.0,,804.0,3783.0,4451.0,4451.0,,844.0,3607.0,5313.0,5313.0,,963.0,4350.0,5648.0,5648.0,,1070.0,4578.0,5153.0,5153.0,,933.0,4220.0,5453.0,5453.0,,993.0,4460.0,5757.0,5757.0,,1244.0,4513.0,5943.0,5943.0,,1187.0,4756.0,6099.0,6099.0,,1134.0,4965.0,5826.0,5826.0,,1293.0,4533.0,6414.0,6414.0,,1232.0,5182.0,5574.0,5574.0,,1335.0,4239.0,66218.0,66218.0,,13032.0,53186.0
Anantapur,1.2.5,Number of PW given 360 Calcium tablets,TOTAL,3365.0,3365.0,,795.0,2570.0,3455.0,3455.0,,794.0,2661.0,4243.0,4243.0,,888.0,3355.0,4500.0,4500.0,,925.0,3575.0,4320.0,4320.0,,892.0,3428.0,4512.0,4512.0,,927.0,3585.0,4709.0,4709.0,,1130.0,3579.0,5017.0,5017.0,,1146.0,3871.0,5322.0,5322.0,,1145.0,4177.0,5037.0,5037.0,,1181.0,3856.0,5481.0,5481.0,,1053.0,4428.0,4720.0,4720.0,,1141.0,3579.0,54681.0,54681.0,,12017.0,42664.0
Anantapur,1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,1782.0,1782.0,,245.0,1537.0,1866.0,1866.0,,313.0,1553.0,2160.0,2160.0,,375.0,1785.0,2112.0,2112.0,,373.0,1739.0,1674.0,1674.0,,304.0,1370.0,2004.0,2004.0,,367.0,1637.0,2135.0,2135.0,,485.0,1650.0,2056.0,2056.0,,450.0,1606.0,2214.0,2214.0,,405.0,1809.0,2423.0,2423.0,,517.0,1906.0,2748.0,2748.0,,400.0,2348.0,2371.0,2371.0,,531.0,1840.0,25545.0,25545.0,,4765.0,20780.0
