Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,April,April,April,April,April,May,May,May,May,May,June,June,June,June,June,July,July,July,July,July,August,August,August,August,August,September,September,September,September,September,October,October,October,October,October,November,November,November,November,November,December,December,December,December,December,January,January,January,January,January,February,February,February,February,February,March,March,March,March,March,Total,Total,Total,Total,Total
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D]
District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandigarh,1.1,Total number of pregnant women registered for ANC,TOTAL,3533.0,3533.0,,1499.0,2034.0,4051.0,4051.0,,1793.0,2258.0,3438.0,3438.0,,1480.0,1958.0,3602.0,3602.0,,1637.0,1965.0,3239.0,3239.0,,1421.0,1818.0,3241.0,3241.0,,1404.0,1837.0,3029.0,3029.0,,1307.0,1722.0,3301.0,3301.0,,1415.0,1886.0,3276.0,3276.0,,1386.0,1890.0,3500.0,3500.0,,1515.0,1985.0,3843.0,3843.0,,1781.0,2062.0,3841.0,3841.0,,1633.0,2208.0,41894.0,41894.0,,18271.0,23623.0
Chandigarh,1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,2224.0,2224.0,,1160.0,1064.0,2748.0,2748.0,,1421.0,1327.0,2247.0,2247.0,,1174.0,1073.0,2624.0,2624.0,,1253.0,1371.0,2069.0,2069.0,,1124.0,945.0,2128.0,2128.0,,1114.0,1014.0,2047.0,2047.0,,1015.0,1032.0,2000.0,2000.0,,1113.0,887.0,2130.0,2130.0,,1097.0,1033.0,2426.0,2426.0,,1253.0,1173.0,2637.0,2637.0,,1503.0,1134.0,2514.0,2514.0,,1337.0,1177.0,27794.0,27794.0,,14564.0,13230.0
Chandigarh,1.2.1,Number of PW given TT1,TOTAL,1716.0,1716.0,,993.0,723.0,1914.0,1914.0,,1142.0,772.0,1559.0,1559.0,,898.0,661.0,1692.0,1692.0,,1031.0,661.0,1473.0,1473.0,,871.0,602.0,1548.0,1548.0,,889.0,659.0,1442.0,1442.0,,828.0,614.0,1545.0,1545.0,,856.0,689.0,1556.0,1556.0,,917.0,639.0,1733.0,1733.0,,967.0,766.0,1774.0,1774.0,,1222.0,552.0,1999.0,1999.0,,1178.0,821.0,19951.0,19951.0,,11792.0,8159.0
Chandigarh,1.2.2,Number of PW given TT2,TOTAL,1096.0,1096.0,,720.0,376.0,1274.0,1274.0,,872.0,402.0,1106.0,1106.0,,783.0,323.0,1145.0,1145.0,,823.0,322.0,1192.0,1192.0,,840.0,352.0,1022.0,1022.0,,703.0,319.0,1077.0,1077.0,,751.0,326.0,1025.0,1025.0,,708.0,317.0,1113.0,1113.0,,742.0,371.0,1022.0,1022.0,,727.0,295.0,1172.0,1172.0,,838.0,334.0,1244.0,1244.0,,852.0,392.0,13488.0,13488.0,,9359.0,4129.0
Chandigarh,1.2.3,Number of PW given TT Booster,TOTAL,363.0,363.0,,250.0,113.0,423.0,423.0,,294.0,129.0,396.0,396.0,,289.0,107.0,380.0,380.0,,283.0,97.0,294.0,294.0,,218.0,76.0,341.0,341.0,,236.0,105.0,333.0,333.0,,228.0,105.0,330.0,330.0,,211.0,119.0,346.0,346.0,,235.0,111.0,354.0,354.0,,254.0,100.0,428.0,428.0,,295.0,133.0,365.0,365.0,,250.0,115.0,4353.0,4353.0,,3043.0,1310.0
Chandigarh,1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,2225.0,2225.0,,1514.0,711.0,3745.0,3745.0,,2879.0,866.0,2646.0,2646.0,,1739.0,907.0,2578.0,2578.0,,1702.0,876.0,2843.0,2843.0,,1970.0,873.0,2807.0,2807.0,,2070.0,737.0,2586.0,2586.0,,1807.0,779.0,2108.0,2108.0,,1310.0,798.0,2123.0,2123.0,,1285.0,838.0,2285.0,2285.0,,1496.0,789.0,2050.0,2050.0,,1229.0,821.0,2296.0,2296.0,,1508.0,788.0,30292.0,30292.0,,20509.0,9783.0
Chandigarh,1.2.5,Number of PW given 360 Calcium tablets,TOTAL,1899.0,1899.0,,1263.0,636.0,3562.0,3562.0,,2729.0,833.0,2557.0,2557.0,,1649.0,908.0,2670.0,2670.0,,1774.0,896.0,2514.0,2514.0,,1672.0,842.0,2125.0,2125.0,,1380.0,745.0,2433.0,2433.0,,1632.0,801.0,2110.0,2110.0,,1317.0,793.0,2228.0,2228.0,,1394.0,834.0,2037.0,2037.0,,1256.0,781.0,2071.0,2071.0,,1263.0,808.0,2645.0,2645.0,,1859.0,786.0,28851.0,28851.0,,19188.0,9663.0
Chandigarh,1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,1279.0,1279.0,,978.0,301.0,1642.0,1642.0,,1258.0,384.0,1554.0,1554.0,,1265.0,289.0,1639.0,1639.0,,1274.0,365.0,1390.0,1390.0,,937.0,453.0,1350.0,1350.0,,973.0,377.0,1358.0,1358.0,,940.0,418.0,1118.0,1118.0,,818.0,300.0,1346.0,1346.0,,987.0,359.0,1284.0,1284.0,,915.0,369.0,1548.0,1548.0,,1094.0,454.0,1474.0,1474.0,,1070.0,404.0,16982.0,16982.0,,12509.0,4473.0
