Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,April,April,April,April,April,May,May,May,May,May,June,June,June,June,June,July,July,July,July,July,August,August,August,August,August,September,September,September,September,September,October,October,October,October,October,November,November,November,November,November,December,December,December,December,December,January,January,January,January,January,February,February,February,February,February,March,March,March,March,March,Total,Total,Total,Total,Total
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D]
District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambala,1.1,Total number of pregnant women registered for ANC,TOTAL,1763.0,1763.0,,336.0,1427.0,1752.0,1752.0,,445.0,1307.0,1556.0,1556.0,,360.0,1196.0,1582.0,1582.0,,353.0,1229.0,1435.0,1435.0,,390.0,1045.0,1346.0,1346.0,,344.0,1002.0,1082.0,1082.0,,282.0,800.0,1252.0,1252.0,,312.0,940.0,1310.0,1310.0,,268.0,1042.0,1398.0,1398.0,,297.0,1101.0,1780.0,1780.0,,306.0,1474.0,1630.0,1630.0,,269.0,1361.0,17886.0,17886.0,,3962.0,13924.0
Ambala,1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,1337.0,1337.0,,148.0,1189.0,1314.0,1314.0,,234.0,1080.0,1129.0,1129.0,,164.0,965.0,1162.0,1162.0,,155.0,1007.0,1028.0,1028.0,,185.0,843.0,906.0,906.0,,140.0,766.0,763.0,763.0,,131.0,632.0,951.0,951.0,,162.0,789.0,1020.0,1020.0,,155.0,865.0,1135.0,1135.0,,199.0,936.0,1422.0,1422.0,,208.0,1214.0,1297.0,1297.0,,177.0,1120.0,13464.0,13464.0,,2058.0,11406.0
Ambala,1.2.1,Number of PW given TT1,TOTAL,1576.0,1546.0,30.0,429.0,1147.0,1406.0,1390.0,16.0,428.0,978.0,1278.0,1253.0,25.0,370.0,908.0,1339.0,1324.0,15.0,436.0,903.0,1229.0,1214.0,15.0,374.0,855.0,1214.0,1194.0,20.0,385.0,829.0,963.0,949.0,14.0,325.0,638.0,1062.0,1051.0,11.0,332.0,730.0,978.0,973.0,5.0,269.0,709.0,972.0,957.0,15.0,285.0,687.0,1452.0,1442.0,10.0,399.0,1053.0,1479.0,1479.0,,277.0,1202.0,14948.0,14772.0,176.0,4309.0,10639.0
Ambala,1.2.2,Number of PW given TT2,TOTAL,1242.0,1227.0,15.0,304.0,938.0,1279.0,1265.0,14.0,333.0,946.0,1216.0,1191.0,25.0,392.0,824.0,1224.0,1194.0,30.0,360.0,864.0,1301.0,1298.0,3.0,354.0,947.0,1220.0,1208.0,12.0,390.0,830.0,1038.0,1033.0,5.0,356.0,682.0,931.0,882.0,49.0,354.0,577.0,904.0,860.0,44.0,319.0,585.0,924.0,889.0,35.0,326.0,598.0,1099.0,1097.0,2.0,351.0,748.0,1394.0,1394.0,,303.0,1091.0,13772.0,13538.0,234.0,4142.0,9630.0
Ambala,1.2.3,Number of PW given TT Booster,TOTAL,558.0,558.0,,120.0,438.0,466.0,466.0,,115.0,351.0,404.0,404.0,0.0,86.0,318.0,435.0,430.0,5.0,86.0,349.0,346.0,346.0,,91.0,255.0,404.0,404.0,,115.0,289.0,373.0,373.0,,98.0,275.0,375.0,375.0,,97.0,278.0,474.0,474.0,,118.0,356.0,422.0,417.0,5.0,117.0,305.0,447.0,447.0,,109.0,338.0,592.0,592.0,,77.0,515.0,5296.0,5286.0,10.0,1229.0,4067.0
Ambala,1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,1309.0,1309.0,,293.0,1016.0,1459.0,1459.0,,393.0,1066.0,1392.0,1392.0,,310.0,1082.0,1303.0,1303.0,,286.0,1017.0,1331.0,1331.0,,285.0,1046.0,1128.0,1128.0,,244.0,884.0,1178.0,1178.0,,294.0,884.0,1353.0,1353.0,,323.0,1030.0,1267.0,1267.0,,323.0,944.0,1313.0,1313.0,,348.0,965.0,1511.0,1511.0,,337.0,1174.0,1638.0,1638.0,,419.0,1219.0,16182.0,16182.0,,3855.0,12327.0
Ambala,1.2.5,Number of PW given 360 Calcium tablets,TOTAL,1851.0,1851.0,,291.0,1560.0,1897.0,1897.0,,507.0,1390.0,1717.0,1717.0,,319.0,1398.0,1717.0,1717.0,,328.0,1389.0,1854.0,1854.0,,362.0,1492.0,1320.0,1320.0,,194.0,1126.0,1729.0,1729.0,,125.0,1604.0,1793.0,1793.0,,345.0,1448.0,1607.0,1607.0,,396.0,1211.0,1727.0,1727.0,,413.0,1314.0,1500.0,1500.0,,383.0,1117.0,1581.0,1581.0,,438.0,1143.0,20293.0,20293.0,,4101.0,16192.0
Ambala,1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,1170.0,1170.0,,247.0,923.0,1108.0,1108.0,,365.0,743.0,1106.0,1106.0,,276.0,830.0,1134.0,1134.0,,236.0,898.0,1348.0,1348.0,,235.0,1113.0,1099.0,1099.0,,246.0,853.0,1478.0,1478.0,,217.0,1261.0,1325.0,1325.0,,192.0,1133.0,1219.0,1219.0,,229.0,990.0,1149.0,1149.0,,241.0,908.0,1415.0,1415.0,,152.0,1263.0,1680.0,1680.0,,208.0,1472.0,15231.0,15231.0,,2844.0,12387.0
