Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,April,April,April,April,April,May,May,May,May,May,June,June,June,June,June,July,July,July,July,July,August,August,August,August,August,September,September,September,September,September,October,October,October,October,October,November,November,November,November,November,December,December,December,December,December,January,January,January,January,January,February,February,February,February,February,March,March,March,March,March,Total,Total,Total,Total,Total
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D]
District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alappuzha,1.1,Total number of pregnant women registered for ANC,TOTAL,2619.0,2619.0,0.0,276.0,2343.0,2424.0,2424.0,0.0,232.0,2192.0,2536.0,2500.0,36.0,244.0,2292.0,2482.0,2449.0,33.0,231.0,2251.0,2384.0,2384.0,0.0,212.0,2172.0,2375.0,2375.0,0.0,240.0,2135.0,2821.0,2821.0,0.0,200.0,2621.0,2221.0,2162.0,59.0,277.0,1944.0,2110.0,2060.0,50.0,306.0,1804.0,2322.0,2230.0,92.0,295.0,2027.0,2247.0,2115.0,132.0,319.0,1928.0,2523.0,2116.0,407.0,294.0,2229.0,29064.0,28255.0,809.0,3126.0,25938.0
Alappuzha,1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,2282.0,2282.0,0.0,221.0,2061.0,2053.0,2053.0,0.0,176.0,1877.0,2125.0,2095.0,30.0,191.0,1934.0,2106.0,2077.0,29.0,179.0,1927.0,2083.0,2083.0,0.0,161.0,1922.0,2146.0,2146.0,0.0,212.0,1934.0,2488.0,2488.0,0.0,160.0,2328.0,1875.0,1875.0,0.0,213.0,1662.0,1724.0,1724.0,0.0,212.0,1512.0,1881.0,1881.0,0.0,219.0,1662.0,1801.0,1801.0,0.0,244.0,1557.0,1774.0,1774.0,0.0,235.0,1539.0,24338.0,24279.0,59.0,2423.0,21915.0
Alappuzha,1.2.1,Number of PW given TT1,TOTAL,1835.0,1251.0,584.0,193.0,1642.0,1904.0,1305.0,599.0,269.0,1635.0,2023.0,1387.0,636.0,330.0,1693.0,2008.0,1338.0,670.0,309.0,1699.0,1779.0,1241.0,538.0,214.0,1565.0,2133.0,1421.0,712.0,283.0,1850.0,1917.0,1382.0,535.0,221.0,1696.0,1325.0,1024.0,301.0,40.0,1285.0,1401.0,1004.0,397.0,83.0,1318.0,1612.0,1062.0,550.0,76.0,1536.0,1505.0,1043.0,462.0,92.0,1413.0,1679.0,1136.0,543.0,95.0,1584.0,21121.0,14594.0,6527.0,2205.0,18916.0
Alappuzha,1.2.2,Number of PW given TT2,TOTAL,761.0,635.0,126.0,72.0,689.0,1082.0,887.0,195.0,69.0,1013.0,1261.0,1068.0,193.0,77.0,1184.0,1490.0,1091.0,399.0,87.0,1403.0,1735.0,1239.0,496.0,189.0,1546.0,1945.0,1349.0,596.0,251.0,1694.0,1744.0,1235.0,509.0,215.0,1529.0,1246.0,955.0,291.0,53.0,1193.0,1438.0,1055.0,383.0,87.0,1351.0,1493.0,1046.0,447.0,72.0,1421.0,1384.0,993.0,391.0,69.0,1315.0,1544.0,1113.0,431.0,74.0,1470.0,17123.0,12666.0,4457.0,1315.0,15808.0
Alappuzha,1.2.3,Number of PW given TT Booster,TOTAL,15.0,15.0,0.0,12.0,3.0,14.0,14.0,0.0,0.0,14.0,43.0,43.0,0.0,8.0,35.0,48.0,48.0,0.0,8.0,40.0,39.0,37.0,2.0,17.0,22.0,15.0,15.0,0.0,2.0,13.0,35.0,33.0,2.0,3.0,32.0,17.0,17.0,0.0,0.0,17.0,32.0,32.0,0.0,5.0,27.0,52.0,49.0,3.0,10.0,42.0,33.0,33.0,0.0,9.0,24.0,26.0,26.0,0.0,6.0,20.0,369.0,362.0,7.0,80.0,289.0
Alappuzha,1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,776.0,460.0,316.0,422.0,354.0,1345.0,1036.0,309.0,435.0,910.0,1708.0,1381.0,327.0,460.0,1248.0,1838.0,1467.0,371.0,470.0,1368.0,2536.0,2099.0,437.0,550.0,1986.0,2999.0,2481.0,518.0,656.0,2343.0,3422.0,2918.0,504.0,637.0,2785.0,1442.0,1384.0,58.0,139.0,1303.0,1429.0,1252.0,177.0,149.0,1280.0,1479.0,1305.0,174.0,163.0,1316.0,1410.0,1236.0,174.0,202.0,1208.0,2225.0,1592.0,633.0,879.0,1346.0,22609.0,18611.0,3998.0,5162.0,17447.0
Alappuzha,1.2.5,Number of PW given 360 Calcium tablets,TOTAL,140.0,125.0,15.0,73.0,67.0,133.0,123.0,10.0,64.0,69.0,407.0,390.0,17.0,98.0,309.0,476.0,456.0,20.0,97.0,379.0,851.0,705.0,146.0,171.0,680.0,1136.0,979.0,157.0,261.0,875.0,1448.0,1277.0,171.0,220.0,1228.0,360.0,302.0,58.0,61.0,299.0,460.0,288.0,172.0,73.0,387.0,556.0,382.0,174.0,83.0,473.0,419.0,237.0,182.0,84.0,335.0,684.0,295.0,389.0,290.0,394.0,7070.0,5559.0,1511.0,1575.0,5495.0
Alappuzha,1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,52.0,42.0,10.0,11.0,41.0,19.0,9.0,10.0,10.0,9.0,119.0,109.0,10.0,15.0,104.0,52.0,27.0,25.0,28.0,24.0,79.0,64.0,15.0,17.0,62.0,39.0,26.0,13.0,16.0,23.0,291.0,276.0,15.0,15.0,276.0,63.0,35.0,28.0,0.0,63.0,59.0,49.0,10.0,14.0,45.0,134.0,110.0,24.0,9.0,125.0,147.0,111.0,36.0,6.0,141.0,117.0,82.0,35.0,10.0,107.0,1171.0,940.0,231.0,151.0,1020.0
