Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,April,April,April,April,April,May,May,May,May,May,June,June,June,June,June,July,July,July,July,July,August,August,August,August,August,September,September,September,September,September,October,October,October,October,October,November,November,November,November,November,December,December,December,December,December,January,January,January,January,January,February,February,February,February,February,March,March,March,March,March,Total,Total,Total,Total,Total
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D]
District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimapur,1.1,Total number of pregnant women registered for ANC,TOTAL,1955.0,712.0,1243.0,1069.0,886.0,2168.0,877.0,1291.0,1145.0,1023.0,1850.0,681.0,1169.0,1029.0,821.0,1944.0,684.0,1260.0,1082.0,862.0,1969.0,766.0,1203.0,1049.0,920.0,2033.0,762.0,1271.0,1122.0,911.0,1720.0,658.0,1062.0,961.0,759.0,1534.0,623.0,911.0,777.0,757.0,1278.0,399.0,879.0,778.0,500.0,1507.0,593.0,914.0,797.0,710.0,1321.0,569.0,752.0,651.0,670.0,1685.0,794.0,891.0,777.0,908.0,20964.0,8118.0,12846.0,11237.0,9727.0
Dimapur,1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,731.0,188.0,543.0,489.0,242.0,799.0,249.0,550.0,505.0,294.0,666.0,168.0,498.0,442.0,224.0,769.0,154.0,615.0,544.0,225.0,587.0,164.0,423.0,361.0,226.0,616.0,173.0,443.0,382.0,234.0,508.0,108.0,400.0,350.0,158.0,469.0,124.0,345.0,284.0,185.0,399.0,70.0,329.0,291.0,108.0,429.0,118.0,311.0,259.0,170.0,458.0,154.0,304.0,265.0,193.0,587.0,177.0,410.0,373.0,214.0,7018.0,1847.0,5171.0,4545.0,2473.0
Dimapur,1.2.1,Number of PW given TT1,TOTAL,624.0,308.0,316.0,309.0,315.0,669.0,325.0,344.0,336.0,333.0,617.0,273.0,344.0,328.0,289.0,650.0,279.0,371.0,327.0,323.0,590.0,306.0,284.0,268.0,322.0,585.0,334.0,251.0,247.0,338.0,533.0,321.0,212.0,231.0,302.0,526.0,302.0,224.0,201.0,325.0,373.0,183.0,190.0,194.0,179.0,473.0,258.0,215.0,194.0,279.0,447.0,235.0,212.0,211.0,236.0,535.0,276.0,259.0,236.0,299.0,6622.0,3400.0,3222.0,3082.0,3540.0
Dimapur,1.2.2,Number of PW given TT2,TOTAL,473.0,204.0,269.0,258.0,215.0,503.0,202.0,301.0,300.0,203.0,380.0,145.0,235.0,203.0,177.0,417.0,144.0,273.0,226.0,191.0,415.0,195.0,220.0,187.0,228.0,435.0,191.0,244.0,205.0,230.0,422.0,203.0,219.0,201.0,221.0,395.0,203.0,192.0,188.0,207.0,298.0,136.0,162.0,152.0,146.0,283.0,126.0,157.0,128.0,155.0,256.0,105.0,151.0,119.0,137.0,287.0,114.0,173.0,138.0,149.0,4564.0,1968.0,2596.0,2305.0,2259.0
Dimapur,1.2.3,Number of PW given TT Booster,TOTAL,15.0,15.0,0.0,0.0,15.0,46.0,27.0,19.0,31.0,15.0,64.0,43.0,21.0,33.0,31.0,101.0,35.0,66.0,66.0,35.0,70.0,34.0,36.0,48.0,22.0,99.0,45.0,54.0,64.0,35.0,78.0,51.0,27.0,37.0,41.0,143.0,43.0,100.0,37.0,106.0,110.0,36.0,74.0,39.0,71.0,91.0,26.0,65.0,30.0,61.0,108.0,33.0,75.0,38.0,70.0,109.0,28.0,81.0,33.0,76.0,1034.0,416.0,618.0,456.0,578.0
Dimapur,1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,41.0,0.0,41.0,41.0,0.0,30.0,0.0,30.0,30.0,0.0,44.0,0.0,44.0,44.0,0.0,211.0,4.0,207.0,207.0,4.0,214.0,4.0,210.0,210.0,4.0,315.0,0.0,315.0,315.0,0.0,181.0,0.0,181.0,181.0,0.0,215.0,6.0,209.0,209.0,6.0,127.0,17.0,110.0,110.0,17.0,113.0,4.0,109.0,109.0,4.0,102.0,12.0,90.0,90.0,12.0,119.0,25.0,94.0,94.0,25.0,1712.0,72.0,1640.0,1640.0,72.0
Dimapur,1.2.5,Number of PW given 360 Calcium tablets,TOTAL,4.0,0.0,4.0,4.0,0.0,3.0,0.0,3.0,3.0,0.0,8.0,0.0,8.0,8.0,0.0,162.0,0.0,162.0,162.0,0.0,182.0,0.0,182.0,182.0,0.0,295.0,0.0,295.0,295.0,0.0,173.0,0.0,173.0,173.0,0.0,163.0,0.0,163.0,163.0,0.0,25.0,0.0,25.0,25.0,0.0,76.0,0.0,76.0,76.0,0.0,17.0,0.0,17.0,17.0,0.0,55.0,0.0,55.0,55.0,0.0,1163.0,0.0,1163.0,1163.0,0.0
Dimapur,1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,1.0,5.0,0.0,5.0,5.0,0.0,9.0,3.0,6.0,6.0,3.0,19.0,3.0,16.0,16.0,3.0,7.0,7.0,0.0,0.0,7.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0,17.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,74.0,30.0,44.0,44.0,30.0
