Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,April,April,April,April,April,May,May,May,May,May,June,June,June,June,June,July,July,July,July,July,August,August,August,August,August,September,September,September,September,September,October,October,October,October,October,November,November,November,November,November,December,December,December,December,December,January,January,January,January,January,February,February,February,February,February,March,March,March,March,March,Total,Total,Total,Total,Total
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D]
District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karaikal,1.1,Total number of pregnant women registered for ANC,TOTAL,540.0,520.0,20.0,70.0,470.0,602.0,582.0,20.0,96.0,506.0,537.0,510.0,27.0,93.0,444.0,509.0,493.0,16.0,78.0,431.0,465.0,440.0,25.0,95.0,370.0,371.0,347.0,24.0,68.0,303.0,426.0,396.0,30.0,99.0,327.0,487.0,472.0,15.0,84.0,403.0,528.0,506.0,22.0,99.0,429.0,558.0,533.0,25.0,120.0,438.0,538.0,513.0,25.0,78.0,460.0,620.0,603.0,17.0,110.0,510.0,6181.0,5915.0,266.0,1090.0,5091.0
Karaikal,1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,270.0,251.0,19.0,48.0,222.0,369.0,349.0,20.0,63.0,306.0,226.0,199.0,27.0,63.0,163.0,224.0,216.0,8.0,50.0,174.0,188.0,163.0,25.0,58.0,130.0,159.0,138.0,21.0,44.0,115.0,233.0,207.0,26.0,63.0,170.0,287.0,277.0,10.0,54.0,233.0,260.0,238.0,22.0,68.0,192.0,265.0,265.0,0.0,61.0,204.0,233.0,217.0,16.0,53.0,180.0,290.0,273.0,17.0,65.0,225.0,3004.0,2793.0,211.0,690.0,2314.0
Karaikal,1.2.1,Number of PW given TT1,TOTAL,179.0,160.0,19.0,41.0,138.0,222.0,202.0,20.0,64.0,158.0,204.0,184.0,20.0,79.0,125.0,167.0,152.0,15.0,44.0,123.0,166.0,146.0,20.0,44.0,122.0,128.0,107.0,21.0,48.0,80.0,165.0,139.0,26.0,58.0,107.0,174.0,164.0,10.0,47.0,127.0,194.0,172.0,22.0,60.0,134.0,196.0,171.0,25.0,59.0,137.0,191.0,175.0,16.0,48.0,143.0,240.0,223.0,17.0,60.0,180.0,2226.0,1995.0,231.0,652.0,1574.0
Karaikal,1.2.2,Number of PW given TT2,TOTAL,117.0,117.0,0.0,26.0,91.0,186.0,186.0,0.0,50.0,136.0,268.0,248.0,20.0,98.0,170.0,147.0,132.0,15.0,45.0,102.0,172.0,152.0,20.0,62.0,110.0,134.0,113.0,21.0,49.0,85.0,147.0,121.0,26.0,50.0,97.0,144.0,134.0,10.0,43.0,101.0,186.0,164.0,22.0,59.0,127.0,199.0,174.0,25.0,77.0,122.0,158.0,142.0,16.0,55.0,103.0,239.0,222.0,17.0,66.0,173.0,2097.0,1905.0,192.0,680.0,1417.0
Karaikal,1.2.3,Number of PW given TT Booster,TOTAL,9.0,9.0,0.0,0.0,9.0,3.0,3.0,0.0,0.0,3.0,28.0,6.0,22.0,23.0,5.0,7.0,2.0,5.0,5.0,2.0,14.0,4.0,10.0,10.0,4.0,2.0,2.0,0.0,0.0,2.0,15.0,5.0,10.0,10.0,5.0,12.0,9.0,3.0,3.0,9.0,8.0,2.0,6.0,6.0,2.0,7.0,3.0,4.0,4.0,3.0,10.0,4.0,6.0,6.0,4.0,8.0,3.0,5.0,5.0,3.0,123.0,52.0,71.0,72.0,51.0
Karaikal,1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,261.0,261.0,0.0,53.0,208.0,271.0,271.0,0.0,53.0,218.0,263.0,263.0,0.0,65.0,198.0,251.0,251.0,0.0,65.0,186.0,221.0,221.0,0.0,52.0,169.0,201.0,201.0,0.0,55.0,146.0,253.0,253.0,0.0,61.0,192.0,288.0,288.0,0.0,56.0,232.0,301.0,301.0,0.0,55.0,246.0,324.0,324.0,0.0,42.0,282.0,366.0,366.0,0.0,64.0,302.0,401.0,401.0,0.0,79.0,322.0,3401.0,3401.0,0.0,700.0,2701.0
Karaikal,1.2.5,Number of PW given 360 Calcium tablets,TOTAL,196.0,196.0,0.0,30.0,166.0,216.0,216.0,0.0,36.0,180.0,160.0,160.0,0.0,0.0,160.0,170.0,170.0,0.0,0.0,170.0,163.0,163.0,0.0,0.0,163.0,149.0,149.0,0.0,3.0,146.0,232.0,232.0,0.0,46.0,186.0,265.0,265.0,0.0,36.0,229.0,264.0,264.0,0.0,31.0,233.0,293.0,293.0,0.0,32.0,261.0,274.0,274.0,0.0,32.0,242.0,348.0,348.0,0.0,79.0,269.0,2730.0,2730.0,0.0,325.0,2405.0
Karaikal,1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,56.0,56.0,0.0,13.0,43.0,101.0,101.0,0.0,0.0,101.0,130.0,130.0,0.0,29.0,101.0,106.0,106.0,0.0,9.0,97.0,104.0,104.0,0.0,17.0,87.0,73.0,73.0,0.0,27.0,46.0,86.0,86.0,0.0,26.0,60.0,103.0,103.0,0.0,34.0,69.0,109.0,109.0,0.0,34.0,75.0,119.0,119.0,0.0,49.0,70.0,101.0,97.0,4.0,41.0,60.0,137.0,137.0,0.0,54.0,83.0,1225.0,1221.0,4.0,333.0,892.0
