Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,April,April,April,April,April,May,May,May,May,May,June,June,June,June,June,July,July,July,July,July,August,August,August,August,August,September,September,September,September,September,October,October,October,October,October,November,November,November,November,November,December,December,December,December,December,January,January,January,January,January,February,February,February,February,February,March,March,March,March,March,Total,Total,Total,Total,Total
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D]
District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anjaw,1.1,Total number of pregnant women registered for ANC,TOTAL,42.0,42.0,,,42.0,48.0,48.0,,,48.0,39.0,39.0,,,39.0,52.0,52.0,,,52.0,44.0,44.0,,,44.0,45.0,45.0,,,45.0,23.0,23.0,,,23.0,33.0,33.0,,,33.0,21.0,21.0,,,21.0,32.0,32.0,,,32.0,21.0,21.0,,,21.0,37.0,37.0,,,37.0,437.0,437.0,,,437.0
Anjaw,1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,10.0,10.0,,,10.0,15.0,15.0,,,15.0,18.0,18.0,,,18.0,8.0,8.0,,,8.0,11.0,11.0,,,11.0,8.0,8.0,,,8.0,6.0,6.0,,,6.0,4.0,4.0,,,4.0,7.0,7.0,,,7.0,13.0,13.0,,,13.0,12.0,12.0,,,12.0,8.0,8.0,,,8.0,120.0,120.0,,,120.0
Anjaw,1.2.1,Number of PW given TT1,TOTAL,35.0,35.0,,,35.0,37.0,37.0,,,37.0,26.0,26.0,,,26.0,32.0,32.0,,,32.0,22.0,22.0,,,22.0,36.0,36.0,,,36.0,17.0,17.0,,,17.0,25.0,25.0,,,25.0,14.0,14.0,,,14.0,29.0,29.0,,,29.0,16.0,16.0,,,16.0,27.0,27.0,,,27.0,316.0,316.0,,,316.0
Anjaw,1.2.2,Number of PW given TT2,TOTAL,9.0,9.0,,,9.0,12.0,12.0,,,12.0,22.0,22.0,,,22.0,20.0,20.0,,,20.0,24.0,24.0,,,24.0,15.0,15.0,,,15.0,17.0,17.0,,,17.0,14.0,14.0,,,14.0,10.0,10.0,,,10.0,15.0,15.0,,,15.0,14.0,14.0,,,14.0,22.0,22.0,,,22.0,194.0,194.0,,,194.0
Anjaw,1.2.3,Number of PW given TT Booster,TOTAL,1.0,1.0,,,1.0,3.0,3.0,,,3.0,4.0,4.0,,,4.0,2.0,2.0,,,2.0,0.0,0.0,,,0.0,1.0,1.0,,,1.0,1.0,1.0,,,1.0,3.0,3.0,,,3.0,1.0,1.0,,,1.0,1.0,1.0,,,1.0,0.0,0.0,,,0.0,3.0,3.0,,,3.0,20.0,20.0,,,20.0
Anjaw,1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,2.0,2.0,,,2.0,41.0,41.0,,,41.0,6.0,6.0,,,6.0,11.0,11.0,,,11.0,22.0,22.0,,,22.0,11.0,11.0,,,11.0,6.0,6.0,,,6.0,7.0,7.0,,,7.0,6.0,6.0,,,6.0,3.0,3.0,,,3.0,2.0,2.0,,,2.0,22.0,22.0,,,22.0,139.0,139.0,,,139.0
Anjaw,1.2.5,Number of PW given 360 Calcium tablets,TOTAL,1.0,1.0,,,1.0,5.0,5.0,,,5.0,5.0,5.0,,,5.0,5.0,5.0,,,5.0,16.0,16.0,,,16.0,1.0,1.0,,,1.0,1.0,1.0,,,1.0,6.0,6.0,,,6.0,5.0,5.0,,,5.0,1.0,1.0,,,1.0,2.0,2.0,,,2.0,2.0,2.0,,,2.0,50.0,50.0,,,50.0
Anjaw,1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,0.0,0.0,,,0.0,2.0,2.0,,,2.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,3.0,3.0,,,3.0,0.0,0.0,,,0.0,2.0,2.0,,,2.0,10.0,10.0,,,10.0,0.0,0.0,,,0.0,1.0,1.0,,,1.0,0.0,0.0,,,0.0,4.0,4.0,,,4.0,22.0,22.0,,,22.0
