Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,April,April,April,April,April,May,May,May,May,May,June,June,June,June,June,July,July,July,July,July,August,August,August,August,August,September,September,September,September,September,October,October,October,October,October,November,November,November,November,November,December,December,December,December,December,January,January,January,January,January,February,February,February,February,February,March,March,March,March,March,Total,Total,Total,Total,Total
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D]
District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dadra and Nagar Haveli,1.1,Total number of pregnant women registered for ANC,TOTAL,815.0,815.0,,200.0,615.0,673.0,673.0,,176.0,497.0,735.0,735.0,,158.0,577.0,683.0,683.0,,184.0,499.0,697.0,697.0,,157.0,540.0,686.0,686.0,,145.0,541.0,732.0,732.0,,212.0,520.0,699.0,699.0,,175.0,524.0,687.0,687.0,,167.0,520.0,624.0,624.0,,166.0,458.0,697.0,697.0,,183.0,514.0,666.0,666.0,,175.0,491.0,8394.0,8394.0,,2098.0,6296.0
Dadra and Nagar Haveli,1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,762.0,762.0,,195.0,567.0,640.0,640.0,,151.0,489.0,725.0,725.0,,158.0,567.0,635.0,635.0,,184.0,451.0,651.0,651.0,,152.0,499.0,654.0,654.0,,145.0,509.0,700.0,700.0,,212.0,488.0,691.0,691.0,,175.0,516.0,669.0,669.0,,167.0,502.0,614.0,614.0,,165.0,449.0,686.0,686.0,,183.0,503.0,660.0,660.0,,175.0,485.0,8087.0,8087.0,,2062.0,6025.0
Dadra and Nagar Haveli,1.2.1,Number of PW given TT1,TOTAL,564.0,564.0,,166.0,398.0,495.0,495.0,,144.0,351.0,540.0,540.0,,117.0,423.0,512.0,512.0,,146.0,366.0,510.0,510.0,,134.0,376.0,519.0,519.0,,115.0,404.0,543.0,543.0,,172.0,371.0,527.0,527.0,,143.0,384.0,523.0,523.0,,143.0,380.0,458.0,458.0,,127.0,331.0,519.0,519.0,,132.0,387.0,497.0,497.0,,132.0,365.0,6207.0,6207.0,,1671.0,4536.0
Dadra and Nagar Haveli,1.2.2,Number of PW given TT2,TOTAL,492.0,492.0,,161.0,331.0,528.0,528.0,,162.0,366.0,511.0,511.0,,144.0,367.0,516.0,516.0,,118.0,398.0,484.0,484.0,,148.0,336.0,497.0,497.0,,134.0,363.0,466.0,466.0,,115.0,351.0,516.0,516.0,,168.0,348.0,494.0,494.0,,146.0,348.0,483.0,483.0,,140.0,343.0,452.0,452.0,,129.0,323.0,480.0,480.0,,133.0,347.0,5919.0,5919.0,,1698.0,4221.0
Dadra and Nagar Haveli,1.2.3,Number of PW given TT Booster,TOTAL,239.0,239.0,,36.0,203.0,208.0,208.0,,38.0,170.0,276.0,276.0,,41.0,235.0,192.0,192.0,,37.0,155.0,228.0,228.0,,23.0,205.0,237.0,237.0,,29.0,208.0,222.0,222.0,,40.0,182.0,213.0,213.0,,32.0,181.0,194.0,194.0,,24.0,170.0,205.0,205.0,,40.0,165.0,217.0,217.0,,48.0,169.0,213.0,213.0,,43.0,170.0,2644.0,2644.0,,431.0,2213.0
Dadra and Nagar Haveli,1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,557.0,557.0,,152.0,405.0,529.0,529.0,,121.0,408.0,520.0,520.0,,149.0,371.0,552.0,552.0,,164.0,388.0,578.0,578.0,,149.0,429.0,573.0,573.0,,160.0,413.0,675.0,675.0,,180.0,495.0,691.0,691.0,,158.0,533.0,625.0,625.0,,161.0,464.0,609.0,609.0,,178.0,431.0,582.0,582.0,,161.0,421.0,717.0,717.0,,212.0,505.0,7208.0,7208.0,,1945.0,5263.0
Dadra and Nagar Haveli,1.2.5,Number of PW given 360 Calcium tablets,TOTAL,483.0,483.0,,152.0,331.0,477.0,477.0,,121.0,356.0,484.0,484.0,,149.0,335.0,508.0,508.0,,164.0,344.0,534.0,534.0,,149.0,385.0,521.0,521.0,,160.0,361.0,621.0,621.0,,180.0,441.0,694.0,694.0,,158.0,536.0,628.0,628.0,,161.0,467.0,593.0,593.0,,178.0,415.0,553.0,553.0,,161.0,392.0,653.0,653.0,,212.0,441.0,6749.0,6749.0,,1945.0,4804.0
Dadra and Nagar Haveli,1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,499.0,499.0,,130.0,369.0,487.0,487.0,,90.0,397.0,561.0,561.0,,143.0,418.0,595.0,595.0,,168.0,427.0,591.0,591.0,,152.0,439.0,575.0,575.0,,155.0,420.0,568.0,568.0,,166.0,402.0,565.0,565.0,,150.0,415.0,592.0,592.0,,179.0,413.0,568.0,568.0,,180.0,388.0,550.0,550.0,,157.0,393.0,582.0,582.0,,217.0,365.0,6733.0,6733.0,,1887.0,4846.0
