Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,April,April,April,April,April,May,May,May,May,May,June,June,June,June,June,July,July,July,July,July,August,August,August,August,August,September,September,September,September,September,October,October,October,October,October,November,November,November,November,November,December,December,December,December,December,January,January,January,January,January,February,February,February,February,February,March,March,March,March,March,Total,Total,Total,Total,Total
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D]
District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daman,1.1,Total number of pregnant women registered for ANC,TOTAL,532.0,532.0,0.0,134.0,398.0,588.0,588.0,0.0,123.0,465.0,556.0,556.0,0.0,135.0,421.0,440.0,440.0,0.0,87.0,353.0,500.0,500.0,0.0,106.0,394.0,424.0,424.0,0.0,113.0,311.0,444.0,444.0,0.0,111.0,333.0,379.0,379.0,0.0,104.0,275.0,429.0,429.0,0.0,96.0,333.0,474.0,474.0,0.0,140.0,334.0,515.0,515.0,0.0,140.0,375.0,493.0,493.0,0.0,189.0,304.0,5774.0,5774.0,0.0,1478.0,4296.0
Daman,1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,485.0,485.0,0.0,132.0,353.0,470.0,470.0,0.0,121.0,349.0,495.0,495.0,0.0,131.0,364.0,420.0,420.0,0.0,87.0,333.0,464.0,464.0,0.0,102.0,362.0,418.0,418.0,0.0,113.0,305.0,431.0,431.0,0.0,111.0,320.0,378.0,378.0,0.0,104.0,274.0,433.0,433.0,0.0,96.0,337.0,517.0,517.0,0.0,135.0,382.0,518.0,518.0,0.0,134.0,384.0,521.0,521.0,0.0,187.0,334.0,5550.0,5550.0,0.0,1453.0,4097.0
Daman,1.2.1,Number of PW given TT1,TOTAL,495.0,495.0,0.0,179.0,316.0,423.0,423.0,0.0,103.0,320.0,460.0,460.0,0.0,104.0,356.0,433.0,433.0,0.0,141.0,292.0,455.0,455.0,0.0,133.0,322.0,352.0,352.0,0.0,121.0,231.0,397.0,397.0,0.0,137.0,260.0,376.0,376.0,0.0,123.0,253.0,419.0,419.0,0.0,125.0,294.0,467.0,467.0,0.0,200.0,267.0,487.0,487.0,0.0,178.0,309.0,484.0,484.0,0.0,203.0,281.0,5248.0,5248.0,0.0,1747.0,3501.0
Daman,1.2.2,Number of PW given TT2,TOTAL,391.0,391.0,0.0,89.0,302.0,443.0,443.0,0.0,129.0,314.0,352.0,352.0,0.0,87.0,265.0,397.0,397.0,0.0,72.0,325.0,402.0,402.0,0.0,73.0,329.0,347.0,347.0,0.0,59.0,288.0,362.0,362.0,0.0,75.0,287.0,330.0,330.0,0.0,77.0,253.0,360.0,360.0,0.0,91.0,269.0,370.0,370.0,0.0,79.0,291.0,417.0,417.0,0.0,127.0,290.0,349.0,349.0,0.0,115.0,234.0,4520.0,4520.0,0.0,1073.0,3447.0
Daman,1.2.3,Number of PW given TT Booster,TOTAL,101.0,101.0,0.0,26.0,75.0,151.0,151.0,0.0,37.0,114.0,96.0,96.0,0.0,30.0,66.0,121.0,121.0,0.0,30.0,91.0,120.0,120.0,0.0,38.0,82.0,78.0,78.0,0.0,28.0,50.0,93.0,93.0,0.0,22.0,71.0,72.0,72.0,0.0,18.0,54.0,84.0,84.0,0.0,18.0,66.0,83.0,83.0,0.0,50.0,33.0,67.0,67.0,0.0,36.0,31.0,83.0,83.0,0.0,47.0,36.0,1149.0,1149.0,0.0,380.0,769.0
Daman,1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,584.0,584.0,0.0,159.0,425.0,542.0,542.0,0.0,158.0,384.0,553.0,553.0,0.0,179.0,374.0,625.0,625.0,0.0,235.0,390.0,673.0,673.0,0.0,238.0,435.0,650.0,650.0,0.0,217.0,433.0,605.0,605.0,0.0,221.0,384.0,630.0,630.0,0.0,243.0,387.0,638.0,638.0,0.0,240.0,398.0,629.0,629.0,0.0,245.0,384.0,655.0,655.0,0.0,155.0,500.0,544.0,544.0,0.0,174.0,370.0,7328.0,7328.0,0.0,2464.0,4864.0
Daman,1.2.5,Number of PW given 360 Calcium tablets,TOTAL,595.0,595.0,0.0,178.0,417.0,588.0,588.0,0.0,233.0,355.0,600.0,600.0,0.0,257.0,343.0,594.0,594.0,0.0,219.0,375.0,697.0,697.0,0.0,238.0,459.0,659.0,659.0,0.0,190.0,469.0,645.0,645.0,0.0,227.0,418.0,628.0,628.0,0.0,243.0,385.0,662.0,662.0,0.0,240.0,422.0,642.0,642.0,0.0,245.0,397.0,678.0,678.0,0.0,155.0,523.0,557.0,557.0,0.0,174.0,383.0,7545.0,7545.0,0.0,2599.0,4946.0
Daman,1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,176.0,176.0,0.0,38.0,138.0,189.0,189.0,0.0,75.0,114.0,208.0,208.0,0.0,70.0,138.0,250.0,250.0,0.0,51.0,199.0,304.0,304.0,0.0,94.0,210.0,285.0,285.0,0.0,70.0,215.0,328.0,328.0,0.0,90.0,238.0,308.0,308.0,0.0,137.0,171.0,296.0,296.0,0.0,77.0,219.0,325.0,325.0,0.0,79.0,246.0,391.0,391.0,0.0,70.0,321.0,406.0,406.0,0.0,45.0,361.0,3466.0,3466.0,0.0,896.0,2570.0
