Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,April,April,April,April,April,May,May,May,May,May,June,June,June,June,June,July,July,July,July,July,August,August,August,August,August,September,September,September,September,September,October,October,October,October,October,November,November,November,November,November,December,December,December,December,December,January,January,January,January,January,February,February,February,February,February,March,March,March,March,March,Total,Total,Total,Total,Total
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D]
District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central,1.1,Total number of pregnant women registered for ANC,TOTAL,11460.0,9846.0,1614.0,3560.0,7900.0,12046.0,10525.0,1521.0,3479.0,8567.0,10122.0,8576.0,1546.0,2719.0,7403.0,12864.0,11310.0,1554.0,3481.0,9383.0,11623.0,9982.0,1641.0,2790.0,8833.0,10562.0,9112.0,1450.0,2694.0,7868.0,10302.0,8574.0,1728.0,2902.0,7400.0,9077.0,7762.0,1315.0,2458.0,6619.0,9476.0,8265.0,1211.0,2674.0,6802.0,10286.0,8947.0,1339.0,3148.0,7138.0,10211.0,9040.0,1171.0,3245.0,6966.0,10349.0,9071.0,1278.0,3123.0,7226.0,128378.0,111010.0,17368.0,36273.0,92105.0
Central,1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,3199.0,2698.0,501.0,1670.0,1529.0,3100.0,2631.0,469.0,1686.0,1414.0,2736.0,2252.0,484.0,1277.0,1459.0,3053.0,2618.0,435.0,1528.0,1525.0,2874.0,2424.0,450.0,1165.0,1709.0,2255.0,1841.0,414.0,1051.0,1204.0,2208.0,1810.0,398.0,1054.0,1154.0,2086.0,1781.0,305.0,1008.0,1078.0,2405.0,2072.0,333.0,1294.0,1111.0,3000.0,2644.0,356.0,1562.0,1438.0,3154.0,2834.0,320.0,1537.0,1617.0,3098.0,2718.0,380.0,1553.0,1545.0,33168.0,28323.0,4845.0,16385.0,16783.0
Central,1.2.1,Number of PW given TT1,TOTAL,3211.0,2791.0,420.0,1971.0,1240.0,3192.0,2784.0,408.0,1957.0,1235.0,2608.0,2221.0,387.0,1471.0,1137.0,3360.0,2883.0,477.0,1848.0,1512.0,2701.0,2320.0,381.0,1540.0,1161.0,2689.0,2377.0,312.0,1526.0,1163.0,2298.0,1958.0,340.0,1328.0,970.0,2226.0,1858.0,368.0,1219.0,1007.0,2030.0,1690.0,340.0,1273.0,757.0,2401.0,2067.0,334.0,1489.0,912.0,2586.0,2247.0,339.0,1605.0,981.0,2564.0,2231.0,333.0,1705.0,859.0,31866.0,27427.0,4439.0,18932.0,12934.0
Central,1.2.2,Number of PW given TT2,TOTAL,2744.0,2245.0,499.0,1643.0,1101.0,3031.0,2383.0,648.0,1681.0,1350.0,2700.0,2083.0,617.0,1376.0,1324.0,2960.0,2295.0,665.0,1476.0,1484.0,2651.0,2123.0,528.0,1418.0,1233.0,2562.0,2034.0,528.0,1344.0,1218.0,2380.0,1882.0,498.0,1340.0,1040.0,2233.0,1697.0,536.0,1223.0,1010.0,1943.0,1435.0,508.0,1026.0,917.0,1993.0,1468.0,525.0,1052.0,941.0,1991.0,1506.0,485.0,1099.0,892.0,2298.0,1769.0,529.0,1365.0,933.0,29486.0,22920.0,6566.0,16043.0,13443.0
Central,1.2.3,Number of PW given TT Booster,TOTAL,288.0,205.0,83.0,261.0,27.0,293.0,222.0,71.0,272.0,21.0,227.0,126.0,101.0,169.0,58.0,270.0,156.0,114.0,195.0,75.0,303.0,144.0,159.0,192.0,111.0,223.0,139.0,84.0,204.0,19.0,263.0,135.0,128.0,190.0,73.0,203.0,119.0,84.0,166.0,37.0,247.0,147.0,100.0,175.0,72.0,248.0,153.0,95.0,175.0,73.0,327.0,211.0,116.0,237.0,90.0,243.0,149.0,94.0,181.0,62.0,3135.0,1906.0,1229.0,2417.0,718.0
Central,1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,4556.0,4375.0,181.0,1309.0,3247.0,3010.0,2832.0,178.0,1277.0,1733.0,2230.0,2104.0,126.0,976.0,1254.0,2964.0,2885.0,79.0,1111.0,1853.0,3655.0,3603.0,52.0,1295.0,2360.0,3601.0,3545.0,56.0,1374.0,2227.0,3256.0,3155.0,101.0,1335.0,1921.0,2691.0,2590.0,101.0,1140.0,1551.0,2554.0,2427.0,127.0,1186.0,1368.0,2628.0,2508.0,120.0,1170.0,1458.0,2936.0,2788.0,148.0,1136.0,1800.0,3551.0,3457.0,94.0,1164.0,2387.0,37632.0,36269.0,1363.0,14473.0,23159.0
Central,1.2.5,Number of PW given 360 Calcium tablets,TOTAL,4647.0,4506.0,141.0,1100.0,3547.0,2845.0,2684.0,161.0,1048.0,1797.0,2132.0,2004.0,128.0,778.0,1354.0,2883.0,2809.0,74.0,830.0,2053.0,3621.0,3574.0,47.0,1061.0,2560.0,3425.0,3390.0,35.0,1098.0,2327.0,3103.0,3033.0,70.0,982.0,2121.0,2555.0,2487.0,68.0,904.0,1651.0,2656.0,2538.0,118.0,988.0,1668.0,2647.0,2533.0,114.0,989.0,1658.0,2909.0,2833.0,76.0,909.0,2000.0,3276.0,3203.0,73.0,1009.0,2267.0,36699.0,35594.0,1105.0,11696.0,25003.0
Central,1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,1237.0,1202.0,35.0,906.0,331.0,1111.0,1092.0,19.0,725.0,386.0,777.0,770.0,7.0,524.0,253.0,1349.0,1338.0,11.0,523.0,826.0,1261.0,1248.0,13.0,446.0,815.0,976.0,947.0,29.0,712.0,264.0,861.0,852.0,9.0,587.0,274.0,641.0,636.0,5.0,451.0,190.0,802.0,795.0,7.0,531.0,271.0,950.0,942.0,8.0,653.0,297.0,971.0,964.0,7.0,725.0,246.0,1009.0,1002.0,7.0,684.0,325.0,11945.0,11788.0,157.0,7467.0,4478.0
