Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,April,April,April,April,April,May,May,May,May,May,June,June,June,June,June,July,July,July,July,July,August,August,August,August,August,September,September,September,September,September,October,October,October,October,October,November,November,November,November,November,December,December,December,December,December,January,January,January,January,January,February,February,February,February,February,March,March,March,March,March,Total,Total,Total,Total,Total
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D]
District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilaspur,1.1,Total number of pregnant women registered for ANC,TOTAL,644.0,644.0,0.0,,644.0,598.0,598.0,0.0,,598.0,544.0,544.0,0.0,,544.0,548.0,548.0,0.0,,548.0,478.0,478.0,0.0,,478.0,499.0,499.0,0.0,,499.0,447.0,447.0,0.0,,447.0,484.0,484.0,0.0,,484.0,553.0,553.0,0.0,,553.0,555.0,555.0,0.0,,555.0,538.0,538.0,0.0,,538.0,472.0,472.0,0.0,,472.0,6360.0,6360.0,0.0,,6360.0
Bilaspur,1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,604.0,604.0,0.0,,604.0,565.0,565.0,0.0,,565.0,520.0,520.0,0.0,,520.0,513.0,513.0,0.0,,513.0,456.0,456.0,0.0,,456.0,464.0,464.0,0.0,,464.0,418.0,418.0,0.0,,418.0,455.0,455.0,0.0,,455.0,521.0,521.0,0.0,,521.0,528.0,528.0,0.0,,528.0,517.0,517.0,0.0,,517.0,444.0,444.0,0.0,,444.0,6005.0,6005.0,0.0,,6005.0
Bilaspur,1.2.1,Number of PW given TT1,TOTAL,409.0,409.0,0.0,,409.0,416.0,416.0,0.0,,416.0,357.0,357.0,0.0,,357.0,338.0,338.0,0.0,,338.0,313.0,313.0,0.0,,313.0,348.0,348.0,0.0,,348.0,335.0,335.0,0.0,,335.0,324.0,324.0,0.0,,324.0,330.0,330.0,0.0,,330.0,343.0,343.0,0.0,,343.0,394.0,394.0,0.0,,394.0,310.0,310.0,0.0,,310.0,4217.0,4217.0,0.0,,4217.0
Bilaspur,1.2.2,Number of PW given TT2,TOTAL,364.0,364.0,0.0,,364.0,375.0,375.0,0.0,,375.0,398.0,398.0,0.0,,398.0,349.0,349.0,0.0,,349.0,309.0,309.0,0.0,,309.0,313.0,313.0,0.0,,313.0,336.0,336.0,0.0,,336.0,292.0,292.0,0.0,,292.0,302.0,302.0,0.0,,302.0,341.0,341.0,0.0,,341.0,315.0,315.0,0.0,,315.0,375.0,375.0,0.0,,375.0,4069.0,4069.0,0.0,,4069.0
Bilaspur,1.2.3,Number of PW given TT Booster,TOTAL,198.0,198.0,0.0,,198.0,150.0,150.0,0.0,,150.0,184.0,184.0,0.0,,184.0,172.0,172.0,0.0,,172.0,157.0,157.0,0.0,,157.0,137.0,137.0,0.0,,137.0,155.0,155.0,0.0,,155.0,140.0,140.0,0.0,,140.0,160.0,160.0,0.0,,160.0,204.0,204.0,0.0,,204.0,168.0,168.0,0.0,,168.0,147.0,147.0,0.0,,147.0,1972.0,1972.0,0.0,,1972.0
Bilaspur,1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,559.0,559.0,0.0,,559.0,567.0,567.0,0.0,,567.0,579.0,579.0,0.0,,579.0,632.0,632.0,0.0,,632.0,501.0,501.0,0.0,,501.0,503.0,503.0,0.0,,503.0,494.0,494.0,0.0,,494.0,493.0,493.0,0.0,,493.0,506.0,506.0,0.0,,506.0,525.0,525.0,0.0,,525.0,510.0,510.0,0.0,,510.0,492.0,492.0,0.0,,492.0,6361.0,6361.0,0.0,,6361.0
Bilaspur,1.2.5,Number of PW given 360 Calcium tablets,TOTAL,556.0,556.0,0.0,,556.0,561.0,561.0,0.0,,561.0,579.0,579.0,0.0,,579.0,632.0,632.0,0.0,,632.0,501.0,501.0,0.0,,501.0,502.0,502.0,0.0,,502.0,500.0,500.0,0.0,,500.0,484.0,484.0,0.0,,484.0,509.0,509.0,0.0,,509.0,521.0,521.0,0.0,,521.0,504.0,504.0,0.0,,504.0,492.0,492.0,0.0,,492.0,6341.0,6341.0,0.0,,6341.0
Bilaspur,1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,438.0,438.0,0.0,,438.0,449.0,449.0,0.0,,449.0,465.0,465.0,0.0,,465.0,439.0,439.0,0.0,,439.0,417.0,417.0,0.0,,417.0,411.0,411.0,0.0,,411.0,428.0,428.0,0.0,,428.0,374.0,374.0,0.0,,374.0,425.0,425.0,0.0,,425.0,397.0,397.0,0.0,,397.0,422.0,422.0,0.0,,422.0,406.0,406.0,0.0,,406.0,5071.0,5071.0,0.0,,5071.0
