Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,April,April,April,April,April,May,May,May,May,May,June,June,June,June,June,July,July,July,July,July,August,August,August,August,August,September,September,September,September,September,October,October,October,October,October,November,November,November,November,November,December,December,December,December,December,January,January,January,January,January,February,February,February,February,February,March,March,March,March,March,Total,Total,Total,Total,Total
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D]
District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anantnag,1.1,Total number of pregnant women registered for ANC,TOTAL,1873.0,1851.0,22.0,65.0,1808.0,2574.0,2542.0,32.0,72.0,2502.0,2200.0,2157.0,43.0,78.0,2122.0,2821.0,2770.0,51.0,92.0,2729.0,2543.0,2505.0,38.0,79.0,2464.0,2567.0,2536.0,31.0,65.0,2502.0,2313.0,2281.0,32.0,61.0,2252.0,2440.0,2417.0,23.0,60.0,2380.0,2512.0,2496.0,16.0,57.0,2455.0,2665.0,2626.0,39.0,81.0,2584.0,1789.0,1772.0,17.0,28.0,1761.0,2621.0,2601.0,20.0,55.0,2566.0,28918.0,28554.0,364.0,793.0,28125.0
Anantnag,1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,1403.0,1388.0,15.0,38.0,1365.0,2069.0,2055.0,14.0,42.0,2027.0,1878.0,1843.0,35.0,59.0,1819.0,2527.0,2506.0,21.0,54.0,2473.0,2343.0,2325.0,18.0,51.0,2292.0,2037.0,2021.0,16.0,42.0,1995.0,2071.0,2052.0,19.0,44.0,2027.0,2061.0,2049.0,12.0,36.0,2025.0,2099.0,2088.0,11.0,35.0,2064.0,2310.0,2276.0,34.0,66.0,2244.0,1621.0,1607.0,14.0,24.0,1597.0,2272.0,2260.0,12.0,39.0,2233.0,24691.0,24470.0,221.0,530.0,24161.0
Anantnag,1.2.1,Number of PW given TT1,TOTAL,1437.0,1415.0,22.0,65.0,1372.0,1585.0,1567.0,18.0,56.0,1529.0,1533.0,1505.0,28.0,62.0,1471.0,2015.0,1994.0,21.0,60.0,1955.0,1682.0,1654.0,28.0,65.0,1617.0,1888.0,1866.0,22.0,52.0,1836.0,1667.0,1660.0,7.0,35.0,1632.0,1797.0,1774.0,23.0,59.0,1738.0,1882.0,1866.0,16.0,54.0,1828.0,1986.0,1959.0,27.0,64.0,1922.0,1350.0,1333.0,17.0,26.0,1324.0,1955.0,1940.0,15.0,49.0,1906.0,20777.0,20533.0,244.0,647.0,20130.0
Anantnag,1.2.2,Number of PW given TT2,TOTAL,1188.0,1173.0,15.0,61.0,1127.0,1891.0,1880.0,11.0,56.0,1835.0,1414.0,1400.0,14.0,51.0,1363.0,1841.0,1828.0,13.0,44.0,1797.0,1791.0,1775.0,16.0,55.0,1736.0,1628.0,1608.0,20.0,55.0,1573.0,1459.0,1449.0,10.0,40.0,1419.0,2073.0,2049.0,24.0,52.0,2021.0,1585.0,1576.0,9.0,43.0,1542.0,2761.0,2752.0,9.0,46.0,2715.0,1785.0,1769.0,16.0,36.0,1749.0,1100.0,1084.0,16.0,35.0,1065.0,20516.0,20343.0,173.0,574.0,19942.0
Anantnag,1.2.3,Number of PW given TT Booster,TOTAL,263.0,263.0,0.0,0.0,263.0,619.0,619.0,0.0,2.0,617.0,511.0,511.0,0.0,1.0,510.0,638.0,638.0,0.0,2.0,636.0,573.0,573.0,0.0,4.0,569.0,539.0,539.0,0.0,4.0,535.0,465.0,465.0,0.0,1.0,464.0,489.0,489.0,0.0,1.0,488.0,509.0,509.0,0.0,3.0,506.0,523.0,523.0,0.0,5.0,518.0,350.0,350.0,0.0,2.0,348.0,546.0,546.0,0.0,1.0,545.0,6025.0,6025.0,0.0,26.0,5999.0
Anantnag,1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,1223.0,1223.0,0.0,32.0,1191.0,783.0,783.0,0.0,37.0,746.0,662.0,662.0,0.0,20.0,642.0,541.0,541.0,0.0,12.0,529.0,414.0,414.0,0.0,0.0,414.0,420.0,420.0,0.0,0.0,420.0,513.0,513.0,0.0,0.0,513.0,591.0,591.0,0.0,0.0,591.0,742.0,742.0,0.0,0.0,742.0,1063.0,1063.0,0.0,0.0,1063.0,365.0,365.0,0.0,0.0,365.0,692.0,692.0,0.0,0.0,692.0,8009.0,8009.0,0.0,101.0,7908.0
Anantnag,1.2.5,Number of PW given 360 Calcium tablets,TOTAL,436.0,436.0,0.0,7.0,429.0,368.0,368.0,0.0,11.0,357.0,391.0,391.0,0.0,9.0,382.0,427.0,427.0,0.0,12.0,415.0,335.0,335.0,0.0,0.0,335.0,229.0,229.0,0.0,0.0,229.0,182.0,182.0,0.0,0.0,182.0,312.0,312.0,0.0,0.0,312.0,195.0,195.0,0.0,0.0,195.0,591.0,591.0,0.0,0.0,591.0,2151.0,2151.0,0.0,0.0,2151.0,1508.0,1508.0,0.0,0.0,1508.0,7125.0,7125.0,0.0,39.0,7086.0
Anantnag,1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,47.0,47.0,0.0,0.0,47.0,82.0,82.0,0.0,0.0,82.0,82.0,82.0,0.0,0.0,82.0,108.0,108.0,0.0,0.0,108.0,58.0,58.0,0.0,0.0,58.0,42.0,42.0,0.0,4.0,38.0,70.0,70.0,0.0,3.0,67.0,126.0,126.0,0.0,0.0,126.0,123.0,123.0,0.0,3.0,120.0,48.0,48.0,0.0,3.0,45.0,22.0,22.0,0.0,0.0,22.0,117.0,117.0,0.0,0.0,117.0,925.0,925.0,0.0,13.0,912.0
