Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,April,April,April,April,April,May,May,May,May,May,June,June,June,June,June,July,July,July,July,July,August,August,August,August,August,September,September,September,September,September,October,October,October,October,October,November,November,November,November,November,December,December,December,December,December,January,January,January,January,January,February,February,February,February,February,March,March,March,March,March,Total,Total,Total,Total,Total
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D]
District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakshadweep,1.1,Total number of pregnant women registered for ANC,TOTAL,94.0,94.0,,,94.0,113.0,113.0,,,113.0,102.0,102.0,,,102.0,101.0,101.0,,,101.0,119.0,119.0,,,119.0,92.0,92.0,,,92.0,110.0,110.0,,,110.0,91.0,91.0,,,91.0,105.0,105.0,,,105.0,121.0,121.0,,,121.0,110.0,110.0,,,110.0,108.0,108.0,,,108.0,1266.0,1266.0,,,1266.0
Lakshadweep,1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,87.0,87.0,,,87.0,91.0,91.0,,,91.0,87.0,87.0,,,87.0,81.0,81.0,,,81.0,102.0,102.0,,,102.0,82.0,82.0,,,82.0,94.0,94.0,,,94.0,80.0,80.0,,,80.0,88.0,88.0,,,88.0,110.0,110.0,,,110.0,100.0,100.0,,,100.0,100.0,100.0,,,100.0,1102.0,1102.0,,,1102.0
Lakshadweep,1.2.1,Number of PW given TT1,TOTAL,74.0,74.0,,,74.0,72.0,72.0,,,72.0,69.0,69.0,,,69.0,77.0,77.0,,,77.0,89.0,89.0,,,89.0,71.0,71.0,,,71.0,76.0,76.0,,,76.0,59.0,59.0,,,59.0,82.0,82.0,,,82.0,74.0,74.0,,,74.0,66.0,66.0,,,66.0,74.0,74.0,,,74.0,883.0,883.0,,,883.0
Lakshadweep,1.2.2,Number of PW given TT2,TOTAL,61.0,61.0,,,61.0,78.0,78.0,,,78.0,61.0,61.0,,,61.0,62.0,62.0,,,62.0,75.0,75.0,,,75.0,67.0,67.0,,,67.0,69.0,69.0,,,69.0,69.0,69.0,,,69.0,64.0,64.0,,,64.0,67.0,67.0,,,67.0,57.0,57.0,,,57.0,64.0,64.0,,,64.0,794.0,794.0,,,794.0
Lakshadweep,1.2.3,Number of PW given TT Booster,TOTAL,13.0,13.0,,,13.0,7.0,7.0,,,7.0,16.0,16.0,,,16.0,15.0,15.0,,,15.0,13.0,13.0,,,13.0,8.0,8.0,,,8.0,12.0,12.0,,,12.0,12.0,12.0,,,12.0,20.0,20.0,,,20.0,11.0,11.0,,,11.0,29.0,29.0,,,29.0,22.0,22.0,,,22.0,178.0,178.0,,,178.0
Lakshadweep,1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,122.0,122.0,,,122.0,131.0,131.0,,,131.0,82.0,82.0,,,82.0,102.0,102.0,,,102.0,98.0,98.0,,,98.0,106.0,106.0,,,106.0,104.0,104.0,,,104.0,84.0,84.0,,,84.0,77.0,77.0,,,77.0,153.0,153.0,,,153.0,108.0,108.0,,,108.0,89.0,89.0,,,89.0,1256.0,1256.0,,,1256.0
Lakshadweep,1.2.5,Number of PW given 360 Calcium tablets,TOTAL,129.0,129.0,,,129.0,130.0,130.0,,,130.0,82.0,82.0,,,82.0,94.0,94.0,,,94.0,89.0,89.0,,,89.0,96.0,96.0,,,96.0,96.0,96.0,,,96.0,80.0,80.0,,,80.0,83.0,83.0,,,83.0,137.0,137.0,,,137.0,130.0,130.0,,,130.0,91.0,91.0,,,91.0,1237.0,1237.0,,,1237.0
Lakshadweep,1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,8.0,8.0,,,8.0,12.0,12.0,,,12.0,5.0,5.0,,,5.0,4.0,4.0,,,4.0,10.0,10.0,,,10.0,20.0,20.0,,,20.0,19.0,19.0,,,19.0,11.0,11.0,,,11.0,6.0,6.0,,,6.0,22.0,22.0,,,22.0,18.0,18.0,,,18.0,10.0,10.0,,,10.0,145.0,145.0,,,145.0
