Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,April,April,April,April,April,May,May,May,May,May,June,June,June,June,June,July,July,July,July,July,August,August,August,August,August,September,September,September,September,September,October,October,October,October,October,November,November,November,November,November,December,December,December,December,December,January,January,January,January,January,February,February,February,February,February,March,March,March,March,March,Total,Total,Total,Total,Total
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D]
District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Garo Hills,1.1,Total number of pregnant women registered for ANC,TOTAL,586.0,586.0,,,586.0,450.0,450.0,,,450.0,343.0,343.0,,,343.0,310.0,310.0,,,310.0,427.0,427.0,,,427.0,418.0,418.0,,,418.0,408.0,408.0,,,408.0,631.0,631.0,,,631.0,406.0,406.0,,,406.0,416.0,416.0,,,416.0,510.0,510.0,,,510.0,602.0,602.0,,,602.0,5507.0,5507.0,,,5507.0
East Garo Hills,1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,142.0,142.0,,,142.0,179.0,179.0,,,179.0,135.0,135.0,,,135.0,145.0,145.0,,,145.0,128.0,128.0,,,128.0,117.0,117.0,,,117.0,134.0,134.0,,,134.0,154.0,154.0,,,154.0,82.0,82.0,,,82.0,115.0,115.0,,,115.0,122.0,122.0,,,122.0,206.0,206.0,,,206.0,1659.0,1659.0,,,1659.0
East Garo Hills,1.2.1,Number of PW given TT1,TOTAL,284.0,284.0,,,284.0,257.0,257.0,,,257.0,272.0,272.0,,,272.0,211.0,211.0,,,211.0,237.0,237.0,,,237.0,238.0,238.0,,,238.0,272.0,272.0,,,272.0,371.0,371.0,,,371.0,260.0,260.0,,,260.0,259.0,259.0,,,259.0,299.0,299.0,,,299.0,383.0,383.0,,,383.0,3343.0,3343.0,,,3343.0
East Garo Hills,1.2.2,Number of PW given TT2,TOTAL,223.0,223.0,,,223.0,165.0,165.0,,,165.0,189.0,189.0,,,189.0,158.0,158.0,,,158.0,183.0,183.0,,,183.0,165.0,165.0,,,165.0,192.0,192.0,,,192.0,224.0,224.0,,,224.0,214.0,214.0,,,214.0,224.0,224.0,,,224.0,187.0,187.0,,,187.0,246.0,246.0,,,246.0,2370.0,2370.0,,,2370.0
East Garo Hills,1.2.3,Number of PW given TT Booster,TOTAL,121.0,121.0,,,121.0,95.0,95.0,,,95.0,87.0,87.0,,,87.0,93.0,93.0,,,93.0,103.0,103.0,,,103.0,104.0,104.0,,,104.0,104.0,104.0,,,104.0,177.0,177.0,,,177.0,103.0,103.0,,,103.0,133.0,133.0,,,133.0,155.0,155.0,,,155.0,143.0,143.0,,,143.0,1418.0,1418.0,,,1418.0
East Garo Hills,1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,387.0,387.0,,,387.0,341.0,341.0,,,341.0,200.0,200.0,,,200.0,186.0,186.0,,,186.0,341.0,341.0,,,341.0,266.0,266.0,,,266.0,262.0,262.0,,,262.0,352.0,352.0,,,352.0,356.0,356.0,,,356.0,304.0,304.0,,,304.0,339.0,339.0,,,339.0,371.0,371.0,,,371.0,3705.0,3705.0,,,3705.0
East Garo Hills,1.2.5,Number of PW given 360 Calcium tablets,TOTAL,259.0,259.0,,,259.0,292.0,292.0,,,292.0,141.0,141.0,,,141.0,124.0,124.0,,,124.0,285.0,285.0,,,285.0,179.0,179.0,,,179.0,202.0,202.0,,,202.0,243.0,243.0,,,243.0,249.0,249.0,,,249.0,87.0,87.0,,,87.0,226.0,226.0,,,226.0,232.0,232.0,,,232.0,2519.0,2519.0,,,2519.0
East Garo Hills,1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,158.0,158.0,,,158.0,207.0,207.0,,,207.0,139.0,139.0,,,139.0,122.0,122.0,,,122.0,165.0,165.0,,,165.0,117.0,117.0,,,117.0,112.0,112.0,,,112.0,155.0,155.0,,,155.0,143.0,143.0,,,143.0,125.0,125.0,,,125.0,139.0,139.0,,,139.0,129.0,129.0,,,129.0,1711.0,1711.0,,,1711.0
