Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,April,April,April,April,April,May,May,May,May,May,June,June,June,June,June,July,July,July,July,July,August,August,August,August,August,September,September,September,September,September,October,October,October,October,October,November,November,November,November,November,December,December,December,December,December,January,January,January,January,January,February,February,February,February,February,March,March,March,March,March,Total,Total,Total,Total,Total
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D]
District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aizawl East,1.1,Total number of pregnant women registered for ANC,TOTAL,388.0,388.0,0.0,293.0,95.0,401.0,401.0,0.0,260.0,141.0,442.0,442.0,0.0,309.0,133.0,407.0,407.0,0.0,295.0,112.0,414.0,414.0,,282.0,132.0,391.0,391.0,,268.0,123.0,342.0,342.0,,219.0,123.0,384.0,384.0,,257.0,127.0,307.0,307.0,,206.0,101.0,286.0,286.0,,191.0,95.0,519.0,519.0,,330.0,189.0,350.0,350.0,,241.0,109.0,4631.0,4631.0,0.0,3151.0,1480.0
Aizawl East,1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,285.0,285.0,0.0,205.0,80.0,288.0,288.0,0.0,174.0,114.0,341.0,341.0,0.0,224.0,117.0,312.0,312.0,0.0,213.0,99.0,338.0,338.0,,224.0,114.0,311.0,311.0,,202.0,109.0,261.0,261.0,,155.0,106.0,307.0,307.0,,192.0,115.0,244.0,244.0,,156.0,88.0,222.0,222.0,,144.0,78.0,415.0,415.0,,249.0,166.0,262.0,262.0,,170.0,92.0,3586.0,3586.0,0.0,2308.0,1278.0
Aizawl East,1.2.1,Number of PW given TT1,TOTAL,275.0,252.0,23.0,201.0,74.0,245.0,245.0,0.0,170.0,75.0,294.0,286.0,8.0,226.0,68.0,266.0,255.0,11.0,185.0,81.0,264.0,246.0,18.0,189.0,75.0,265.0,248.0,17.0,187.0,78.0,251.0,238.0,13.0,156.0,95.0,223.0,217.0,6.0,152.0,71.0,227.0,209.0,18.0,181.0,46.0,213.0,203.0,10.0,121.0,92.0,138.0,129.0,9.0,108.0,30.0,240.0,221.0,19.0,134.0,106.0,2901.0,2749.0,152.0,2010.0,891.0
Aizawl East,1.2.2,Number of PW given TT2,TOTAL,258.0,239.0,19.0,174.0,84.0,248.0,233.0,15.0,173.0,75.0,256.0,245.0,11.0,181.0,75.0,288.0,273.0,15.0,215.0,73.0,251.0,240.0,11.0,173.0,78.0,270.0,255.0,15.0,185.0,85.0,229.0,215.0,14.0,161.0,68.0,251.0,239.0,12.0,159.0,92.0,187.0,176.0,11.0,154.0,33.0,203.0,183.0,20.0,145.0,58.0,131.0,121.0,10.0,93.0,38.0,208.0,187.0,21.0,128.0,80.0,2780.0,2606.0,174.0,1941.0,839.0
Aizawl East,1.2.3,Number of PW given TT Booster,TOTAL,94.0,92.0,2.0,59.0,35.0,93.0,86.0,7.0,67.0,26.0,83.0,80.0,3.0,40.0,43.0,94.0,90.0,4.0,57.0,37.0,103.0,96.0,7.0,70.0,33.0,96.0,91.0,5.0,53.0,43.0,83.0,75.0,8.0,52.0,31.0,70.0,69.0,1.0,45.0,25.0,68.0,61.0,7.0,51.0,17.0,89.0,81.0,8.0,52.0,37.0,52.0,44.0,8.0,41.0,11.0,74.0,70.0,4.0,32.0,42.0,999.0,935.0,64.0,619.0,380.0
Aizawl East,1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,135.0,135.0,0.0,63.0,72.0,242.0,151.0,91.0,154.0,88.0,140.0,140.0,,66.0,74.0,223.0,223.0,,153.0,70.0,246.0,246.0,,169.0,77.0,370.0,370.0,,275.0,95.0,287.0,287.0,,184.0,103.0,268.0,268.0,,182.0,86.0,261.0,261.0,,166.0,95.0,245.0,245.0,,146.0,99.0,287.0,287.0,,163.0,124.0,220.0,220.0,,101.0,119.0,2924.0,2833.0,91.0,1822.0,1102.0
Aizawl East,1.2.5,Number of PW given 360 Calcium tablets,TOTAL,60.0,60.0,0.0,23.0,37.0,66.0,66.0,0.0,23.0,43.0,48.0,48.0,,22.0,26.0,197.0,197.0,,159.0,38.0,155.0,155.0,,113.0,42.0,273.0,273.0,,216.0,57.0,196.0,196.0,,131.0,65.0,170.0,170.0,,115.0,55.0,202.0,202.0,,142.0,60.0,211.0,211.0,,131.0,80.0,381.0,381.0,,280.0,101.0,335.0,223.0,112.0,239.0,96.0,2294.0,2182.0,112.0,1594.0,700.0
Aizawl East,1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,60.0,60.0,0.0,31.0,29.0,48.0,48.0,0.0,18.0,30.0,36.0,36.0,,16.0,20.0,87.0,87.0,,71.0,16.0,147.0,117.0,30.0,101.0,46.0,150.0,150.0,,105.0,45.0,120.0,120.0,,86.0,34.0,166.0,114.0,52.0,137.0,29.0,123.0,93.0,30.0,82.0,41.0,95.0,95.0,,73.0,22.0,186.0,186.0,,139.0,47.0,310.0,84.0,226.0,277.0,33.0,1528.0,1190.0,338.0,1136.0,392.0
