Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,April,April,April,April,April,May,May,May,May,May,June,June,June,June,June,July,July,July,July,July,August,August,August,August,August,September,September,September,September,September,October,October,October,October,October,November,November,November,November,November,December,December,December,December,December,January,January,January,January,January,February,February,February,February,February,March,March,March,March,March,Total,Total,Total,Total,Total
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D]
District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhalai,1.1,Total number of pregnant women registered for ANC,TOTAL,667.0,667.0,,19.0,648.0,713.0,713.0,,28.0,685.0,739.0,739.0,,22.0,717.0,799.0,799.0,,21.0,778.0,695.0,695.0,,15.0,680.0,589.0,589.0,,19.0,570.0,609.0,609.0,,15.0,594.0,605.0,605.0,,14.0,591.0,602.0,602.0,,23.0,579.0,737.0,737.0,,22.0,715.0,612.0,612.0,,25.0,587.0,669.0,669.0,,28.0,641.0,8036.0,8036.0,,251.0,7785.0
Dhalai,1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,451.0,451.0,,12.0,439.0,463.0,463.0,,12.0,451.0,472.0,472.0,,11.0,461.0,520.0,520.0,,10.0,510.0,470.0,470.0,,6.0,464.0,376.0,376.0,,7.0,369.0,364.0,364.0,,5.0,359.0,397.0,397.0,,8.0,389.0,395.0,395.0,,12.0,383.0,515.0,515.0,,8.0,507.0,388.0,388.0,,15.0,373.0,426.0,426.0,,16.0,410.0,5237.0,5237.0,,122.0,5115.0
Dhalai,1.2.1,Number of PW given TT1,TOTAL,609.0,609.0,,18.0,591.0,637.0,637.0,,20.0,617.0,679.0,679.0,,12.0,667.0,724.0,724.0,,19.0,705.0,668.0,668.0,,15.0,653.0,539.0,539.0,,12.0,527.0,562.0,562.0,,13.0,549.0,539.0,539.0,,10.0,529.0,517.0,517.0,,16.0,501.0,646.0,646.0,,14.0,632.0,544.0,544.0,,20.0,524.0,618.0,618.0,,23.0,595.0,7282.0,7282.0,,192.0,7090.0
Dhalai,1.2.2,Number of PW given TT2,TOTAL,515.0,515.0,,18.0,497.0,507.0,507.0,,14.0,493.0,497.0,497.0,,18.0,479.0,559.0,559.0,,12.0,547.0,587.0,587.0,,15.0,572.0,472.0,472.0,,14.0,458.0,464.0,464.0,,10.0,454.0,464.0,464.0,,8.0,456.0,480.0,480.0,,8.0,472.0,483.0,483.0,,9.0,474.0,435.0,435.0,,17.0,418.0,548.0,548.0,,18.0,530.0,6011.0,6011.0,,161.0,5850.0
Dhalai,1.2.3,Number of PW given TT Booster,TOTAL,64.0,64.0,,,64.0,82.0,82.0,,2.0,80.0,50.0,50.0,,1.0,49.0,55.0,55.0,,,55.0,44.0,44.0,,,44.0,28.0,28.0,,0.0,28.0,32.0,32.0,,1.0,31.0,33.0,33.0,,,33.0,38.0,38.0,,0.0,38.0,39.0,39.0,,1.0,38.0,56.0,56.0,,1.0,55.0,42.0,42.0,,2.0,40.0,563.0,563.0,,8.0,555.0
Dhalai,1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,552.0,552.0,,17.0,535.0,559.0,559.0,,,559.0,601.0,601.0,,6.0,595.0,572.0,572.0,,5.0,567.0,544.0,544.0,,16.0,528.0,497.0,497.0,,14.0,483.0,470.0,470.0,,14.0,456.0,476.0,476.0,,10.0,466.0,470.0,470.0,,11.0,459.0,571.0,571.0,,16.0,555.0,449.0,449.0,,19.0,430.0,468.0,468.0,,28.0,440.0,6229.0,6229.0,,156.0,6073.0
Dhalai,1.2.5,Number of PW given 360 Calcium tablets,TOTAL,9.0,9.0,,,9.0,40.0,40.0,,,40.0,74.0,74.0,,,74.0,157.0,157.0,,,157.0,124.0,124.0,,,124.0,105.0,105.0,,10.0,95.0,106.0,106.0,,,106.0,101.0,101.0,,7.0,94.0,173.0,173.0,,7.0,166.0,163.0,163.0,,12.0,151.0,199.0,199.0,,14.0,185.0,176.0,176.0,,9.0,167.0,1427.0,1427.0,,59.0,1368.0
Dhalai,1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,61.0,61.0,,,61.0,50.0,50.0,,,50.0,97.0,97.0,,,97.0,100.0,100.0,,,100.0,44.0,44.0,,,44.0,42.0,42.0,,,42.0,47.0,47.0,,,47.0,60.0,60.0,,,60.0,43.0,43.0,,,43.0,77.0,77.0,,,77.0,52.0,52.0,,,52.0,58.0,58.0,,,58.0,731.0,731.0,,,731.0
