Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,April,April,April,April,April,May,May,May,May,May,June,June,June,June,June,July,July,July,July,July,August,August,August,August,August,September,September,September,September,September,October,October,October,October,October,November,November,November,November,November,December,December,December,December,December,January,January,January,January,January,February,February,February,February,February,March,March,March,March,March,Total,Total,Total,Total,Total
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D]
District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baksa,'1.1',Total number of pregnant women registered for ANC,TOTAL,1432.0,1430.0,2.0,,1432.0,1706.0,1706.0,0.0,,1706.0,1539.0,1539.0,0.0,,1539.0,1587.0,1586.0,1.0,,1587.0,1426.0,1424.0,2.0,,1426.0,1172.0,1171.0,1.0,,1172.0,974.0,974.0,0.0,,974.0,1179.0,1177.0,2.0,,1179.0,1109.0,1108.0,1.0,,1109.0,1294.0,1290.0,4.0,,1294.0,1482.0,1482.0,0.0,,1482.0,1357.0,1351.0,6.0,,1357.0,16257.0,16238.0,19.0,,16257.0
Baksa,'1.1.1',"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,1264.0,1264.0,0.0,,1264.0,1473.0,1473.0,0.0,,1473.0,1360.0,1360.0,0.0,,1360.0,1387.0,1386.0,1.0,,1387.0,1245.0,1243.0,2.0,,1245.0,1013.0,1012.0,1.0,,1013.0,831.0,831.0,0.0,,831.0,1026.0,1025.0,1.0,,1026.0,970.0,969.0,1.0,,970.0,1145.0,1145.0,0.0,,1145.0,1312.0,1312.0,0.0,,1312.0,1218.0,1212.0,6.0,,1218.0,14244.0,14232.0,12.0,,14244.0
Baksa,'1.2.1',Number of PW given TT1,TOTAL,1077.0,1076.0,1.0,,1077.0,1431.0,1431.0,0.0,,1431.0,1484.0,1484.0,0.0,,1484.0,1446.0,1445.0,1.0,,1446.0,1477.0,1477.0,0.0,,1477.0,1169.0,1169.0,0.0,,1169.0,1003.0,1003.0,0.0,,1003.0,1064.0,1062.0,2.0,,1064.0,962.0,960.0,2.0,,962.0,1085.0,1085.0,0.0,,1085.0,1342.0,1335.0,7.0,,1342.0,984.0,984.0,0.0,,984.0,14524.0,14511.0,13.0,,14524.0
Baksa,'1.2.2',Number of PW given TT2,TOTAL,931.0,930.0,1.0,,931.0,1084.0,1084.0,0.0,,1084.0,1232.0,1232.0,0.0,,1232.0,1628.0,1626.0,2.0,,1628.0,1438.0,1438.0,0.0,,1438.0,1341.0,1341.0,0.0,,1341.0,1206.0,1206.0,0.0,,1206.0,1002.0,1001.0,1.0,,1002.0,934.0,932.0,2.0,,934.0,940.0,940.0,0.0,,940.0,1017.0,1010.0,7.0,,1017.0,981.0,981.0,0.0,,981.0,13734.0,13721.0,13.0,,13734.0
Baksa,'1.2.3',Number of PW given TT Booster,TOTAL,16.0,16.0,0.0,,16.0,51.0,51.0,0.0,,51.0,55.0,55.0,0.0,,55.0,67.0,67.0,0.0,,67.0,54.0,54.0,0.0,,54.0,57.0,57.0,0.0,,57.0,49.0,49.0,0.0,,49.0,58.0,58.0,0.0,,58.0,24.0,24.0,0.0,,24.0,51.0,51.0,0.0,,51.0,49.0,49.0,0.0,,49.0,32.0,32.0,0.0,,32.0,563.0,563.0,0.0,,563.0
Baksa,'1.2.4',Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,1195.0,1195.0,0.0,,1195.0,1326.0,1326.0,0.0,,1326.0,1320.0,1320.0,0.0,,1320.0,1425.0,1425.0,0.0,,1425.0,1367.0,1367.0,0.0,,1367.0,1231.0,1231.0,0.0,,1231.0,1285.0,1285.0,0.0,,1285.0,1252.0,1252.0,0.0,,1252.0,1259.0,1259.0,0.0,,1259.0,1267.0,1267.0,0.0,,1267.0,1301.0,1301.0,0.0,,1301.0,1213.0,1213.0,0.0,,1213.0,15441.0,15441.0,0.0,,15441.0
Baksa,'1.2.5',Number of PW given 360 Calcium tablets,TOTAL,1038.0,1038.0,0.0,,1038.0,1166.0,1166.0,0.0,,1166.0,1292.0,1292.0,0.0,,1292.0,1340.0,1340.0,0.0,,1340.0,1292.0,1292.0,0.0,,1292.0,1227.0,1227.0,0.0,,1227.0,1147.0,1147.0,0.0,,1147.0,1207.0,1207.0,0.0,,1207.0,1292.0,1292.0,0.0,,1292.0,1136.0,1136.0,0.0,,1136.0,1162.0,1162.0,0.0,,1162.0,1113.0,1113.0,0.0,,1113.0,14412.0,14412.0,0.0,,14412.0
Baksa,'1.2.6',Number of PW given one Albendazole tablet after 1st trimester,TOTAL,898.0,898.0,0.0,,898.0,1078.0,1078.0,0.0,,1078.0,1094.0,1094.0,0.0,,1094.0,1242.0,1242.0,0.0,,1242.0,1197.0,1197.0,0.0,,1197.0,1066.0,1066.0,0.0,,1066.0,928.0,928.0,0.0,,928.0,911.0,911.0,0.0,,911.0,829.0,829.0,0.0,,829.0,919.0,919.0,0.0,,919.0,966.0,966.0,0.0,,966.0,944.0,944.0,0.0,,944.0,12072.0,12072.0,0.0,,12072.0
