Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,April,April,April,April,April,May,May,May,May,May,June,June,June,June,June,July,July,July,July,July,August,August,August,August,August,September,September,September,September,September,October,October,October,October,October,November,November,November,November,November,December,December,December,December,December,January,January,January,January,January,February,February,February,February,February,March,March,March,March,March,Total,Total,Total,Total,Total
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D]
District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balod,'1.1',Total number of pregnant women registered for ANC,TOTAL,1109.0,1109.0,0.0,,1109.0,1121.0,1121.0,,,1121.0,1218.0,1218.0,,,1218.0,1369.0,1369.0,0.0,,1369.0,1167.0,1167.0,0.0,,1167.0,1082.0,1082.0,0.0,,1082.0,976.0,976.0,,,976.0,1007.0,1007.0,,,1007.0,992.0,992.0,,,992.0,1025.0,1025.0,,,1025.0,1032.0,1032.0,,,1032.0,1125.0,1125.0,,,1125.0,13223.0,13223.0,0.0,,13223.0
Balod,'1.1.1',"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,1005.0,1005.0,0.0,,1005.0,1016.0,1016.0,,,1016.0,1155.0,1155.0,,,1155.0,1296.0,1296.0,0.0,,1296.0,1078.0,1078.0,0.0,,1078.0,989.0,989.0,0.0,,989.0,890.0,890.0,,,890.0,941.0,941.0,,,941.0,943.0,943.0,,,943.0,1002.0,1002.0,,,1002.0,980.0,980.0,,,980.0,1041.0,1041.0,,,1041.0,12336.0,12336.0,0.0,,12336.0
Balod,'1.2.1',Number of PW given TT1,TOTAL,952.0,952.0,0.0,,952.0,979.0,979.0,,,979.0,1050.0,1050.0,,,1050.0,1250.0,1250.0,0.0,,1250.0,1057.0,1057.0,0.0,,1057.0,958.0,958.0,0.0,,958.0,876.0,876.0,,,876.0,903.0,903.0,,,903.0,886.0,886.0,,,886.0,949.0,949.0,,,949.0,927.0,927.0,,,927.0,976.0,976.0,,,976.0,11763.0,11763.0,0.0,,11763.0
Balod,'1.2.2',Number of PW given TT2,TOTAL,908.0,908.0,0.0,,908.0,906.0,906.0,,,906.0,916.0,916.0,,,916.0,1080.0,1080.0,0.0,,1080.0,1225.0,1225.0,0.0,,1225.0,1011.0,1011.0,0.0,,1011.0,951.0,951.0,,,951.0,881.0,881.0,,,881.0,843.0,843.0,,,843.0,820.0,820.0,,,820.0,939.0,939.0,,,939.0,927.0,927.0,,,927.0,11407.0,11407.0,0.0,,11407.0
Balod,'1.2.3',Number of PW given TT Booster,TOTAL,114.0,114.0,0.0,,114.0,94.0,94.0,,,94.0,97.0,97.0,,,97.0,123.0,123.0,0.0,,123.0,85.0,85.0,0.0,,85.0,87.0,87.0,0.0,,87.0,77.0,77.0,,,77.0,105.0,105.0,,,105.0,110.0,110.0,,,110.0,78.0,78.0,,,78.0,83.0,83.0,,,83.0,136.0,136.0,,,136.0,1189.0,1189.0,0.0,,1189.0
Balod,'1.2.4',Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,1065.0,1065.0,0.0,,1065.0,1052.0,1052.0,,,1052.0,1113.0,1113.0,,,1113.0,1305.0,1305.0,0.0,,1305.0,1176.0,1176.0,0.0,,1176.0,1090.0,1090.0,0.0,,1090.0,1022.0,1022.0,,,1022.0,1034.0,1034.0,,,1034.0,957.0,957.0,,,957.0,1007.0,1007.0,,,1007.0,1027.0,1027.0,,,1027.0,1046.0,1046.0,,,1046.0,12894.0,12894.0,0.0,,12894.0
Balod,'1.2.5',Number of PW given 360 Calcium tablets,TOTAL,916.0,916.0,0.0,,916.0,807.0,807.0,,,807.0,815.0,815.0,,,815.0,983.0,983.0,0.0,,983.0,807.0,807.0,0.0,,807.0,803.0,803.0,0.0,,803.0,700.0,700.0,,,700.0,713.0,713.0,,,713.0,673.0,673.0,,,673.0,696.0,696.0,,,696.0,742.0,742.0,,,742.0,774.0,774.0,,,774.0,9429.0,9429.0,0.0,,9429.0
Balod,'1.2.6',Number of PW given one Albendazole tablet after 1st trimester,TOTAL,848.0,848.0,0.0,,848.0,920.0,920.0,,,920.0,861.0,861.0,,,861.0,1050.0,1050.0,0.0,,1050.0,1083.0,1083.0,0.0,,1083.0,961.0,961.0,0.0,,961.0,914.0,914.0,,,914.0,885.0,885.0,,,885.0,865.0,865.0,,,865.0,862.0,862.0,,,862.0,888.0,888.0,,,888.0,880.0,880.0,,,880.0,11017.0,11017.0,0.0,,11017.0
