Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,April,April,April,April,April,May,May,May,May,May,June,June,June,June,June,July,July,July,July,July,August,August,August,August,August,September,September,September,September,September,October,October,October,October,October,November,November,November,November,November,December,December,December,December,December,January,January,January,January,January,February,February,February,February,February,March,March,March,March,March,Total,Total,Total,Total,Total
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D]
District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Goa,'1.1',Total number of pregnant women registered for ANC,TOTAL,1198.0,1039.0,159.0,128.0,1070.0,1183.0,943.0,240.0,182.0,1001.0,1224.0,1019.0,205.0,229.0,995.0,1242.0,996.0,246.0,196.0,1046.0,1016.0,833.0,183.0,181.0,835.0,1260.0,1032.0,228.0,214.0,1046.0,1175.0,915.0,260.0,256.0,919.0,1165.0,945.0,220.0,227.0,938.0,1232.0,986.0,246.0,244.0,988.0,1235.0,990.0,245.0,203.0,1032.0,1193.0,955.0,238.0,254.0,939.0,869.0,767.0,102.0,94.0,775.0,13992.0,11420.0,2572.0,2408.0,11584.0
North Goa,'1.1.1',"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,647.0,536.0,111.0,66.0,581.0,634.0,484.0,150.0,84.0,550.0,649.0,515.0,134.0,110.0,539.0,595.0,454.0,141.0,91.0,504.0,507.0,394.0,113.0,84.0,423.0,636.0,492.0,144.0,93.0,543.0,588.0,455.0,133.0,102.0,486.0,600.0,464.0,136.0,102.0,498.0,670.0,521.0,149.0,116.0,554.0,707.0,507.0,200.0,168.0,539.0,765.0,561.0,204.0,221.0,544.0,478.0,411.0,67.0,90.0,388.0,7476.0,5794.0,1682.0,1327.0,6149.0
North Goa,'1.2.1',Number of PW given TT1,TOTAL,457.0,362.0,95.0,73.0,384.0,569.0,446.0,123.0,89.0,480.0,572.0,432.0,140.0,139.0,433.0,615.0,449.0,166.0,142.0,473.0,477.0,352.0,125.0,129.0,348.0,524.0,386.0,138.0,125.0,399.0,514.0,376.0,138.0,122.0,392.0,505.0,372.0,133.0,128.0,377.0,542.0,380.0,162.0,159.0,383.0,544.0,387.0,157.0,159.0,385.0,554.0,407.0,147.0,171.0,383.0,391.0,334.0,57.0,63.0,328.0,6264.0,4683.0,1581.0,1499.0,4765.0
North Goa,'1.2.2',Number of PW given TT2,TOTAL,378.0,295.0,83.0,64.0,314.0,381.0,290.0,91.0,64.0,317.0,436.0,337.0,99.0,89.0,347.0,539.0,393.0,146.0,106.0,433.0,449.0,325.0,124.0,101.0,348.0,437.0,318.0,119.0,101.0,336.0,420.0,305.0,115.0,73.0,347.0,435.0,326.0,109.0,96.0,339.0,444.0,306.0,138.0,122.0,322.0,523.0,374.0,149.0,163.0,360.0,468.0,354.0,114.0,150.0,318.0,370.0,322.0,48.0,65.0,305.0,5280.0,3945.0,1335.0,1194.0,4086.0
North Goa,'1.2.3',Number of PW given TT Booster,TOTAL,70.0,34.0,36.0,34.0,36.0,54.0,29.0,25.0,24.0,30.0,54.0,41.0,13.0,10.0,44.0,71.0,52.0,19.0,17.0,54.0,73.0,53.0,20.0,20.0,53.0,64.0,51.0,13.0,11.0,53.0,83.0,60.0,23.0,24.0,59.0,68.0,40.0,28.0,25.0,43.0,82.0,49.0,33.0,38.0,44.0,62.0,44.0,18.0,16.0,46.0,57.0,45.0,12.0,10.0,47.0,52.0,48.0,4.0,3.0,49.0,790.0,546.0,244.0,232.0,558.0
North Goa,'1.2.4',Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,688.0,547.0,141.0,128.0,560.0,741.0,522.0,219.0,182.0,559.0,730.0,531.0,199.0,229.0,501.0,816.0,586.0,230.0,196.0,620.0,743.0,565.0,178.0,181.0,562.0,840.0,634.0,206.0,214.0,626.0,843.0,592.0,251.0,256.0,587.0,810.0,595.0,215.0,227.0,583.0,802.0,571.0,231.0,244.0,558.0,797.0,590.0,207.0,203.0,594.0,937.0,706.0,231.0,254.0,683.0,599.0,508.0,91.0,93.0,506.0,9346.0,6947.0,2399.0,2407.0,6939.0
North Goa,'1.2.5',Number of PW given 360 Calcium tablets,TOTAL,681.0,540.0,141.0,128.0,553.0,735.0,516.0,219.0,182.0,553.0,728.0,529.0,199.0,229.0,499.0,757.0,532.0,225.0,196.0,561.0,713.0,536.0,177.0,181.0,532.0,837.0,631.0,206.0,214.0,623.0,840.0,590.0,250.0,256.0,584.0,811.0,596.0,215.0,227.0,584.0,809.0,582.0,227.0,244.0,565.0,798.0,590.0,208.0,203.0,595.0,938.0,707.0,231.0,254.0,684.0,599.0,508.0,91.0,93.0,506.0,9246.0,6857.0,2389.0,2407.0,6839.0
North Goa,'1.2.6',Number of PW given one Albendazole tablet after 1st trimester,TOTAL,354.0,346.0,8.0,4.0,350.0,274.0,264.0,10.0,0.0,274.0,366.0,365.0,1.0,0.0,366.0,449.0,436.0,13.0,3.0,446.0,382.0,368.0,14.0,8.0,374.0,463.0,457.0,6.0,0.0,463.0,370.0,356.0,14.0,30.0,340.0,421.0,396.0,25.0,20.0,401.0,478.0,450.0,28.0,22.0,456.0,464.0,447.0,17.0,51.0,413.0,449.0,431.0,18.0,72.0,377.0,322.0,314.0,8.0,39.0,283.0,4792.0,4630.0,162.0,249.0,4543.0
