Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,April,April,April,April,April,May,May,May,May,May,June,June,June,June,June,July,July,July,July,July,August,August,August,August,August,September,September,September,September,September,October,October,October,October,October,November,November,November,November,November,December,December,December,December,December,January,January,January,January,January,February,February,February,February,February,March,March,March,March,March,Total,Total,Total,Total,Total
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D]
District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bokaro,'1.1',Total number of pregnant women registered for ANC,TOTAL,4534.0,3607.0,927.0,1050.0,3484.0,4618.0,3679.0,939.0,1012.0,3606.0,4667.0,3666.0,1001.0,1019.0,3648.0,4912.0,3778.0,1134.0,1181.0,3731.0,4570.0,3518.0,1052.0,1063.0,3507.0,4044.0,3084.0,960.0,701.0,3343.0,4253.0,3430.0,823.0,738.0,3515.0,4428.0,3603.0,825.0,800.0,3628.0,4440.0,3631.0,809.0,710.0,3730.0,4530.0,3520.0,1010.0,944.0,3586.0,4568.0,3736.0,832.0,857.0,3711.0,3440.0,2876.0,564.0,436.0,3004.0,53004.0,42128.0,10876.0,10511.0,42493.0
Bokaro,'1.1.1',"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,3092.0,2238.0,854.0,721.0,2371.0,3081.0,2191.0,890.0,717.0,2364.0,3620.0,2354.0,1266.0,1183.0,2437.0,3525.0,2421.0,1104.0,976.0,2549.0,3113.0,2195.0,918.0,658.0,2455.0,2701.0,1938.0,763.0,440.0,2261.0,2438.0,2103.0,335.0,163.0,2275.0,2496.0,2165.0,331.0,290.0,2206.0,2375.0,2088.0,287.0,204.0,2171.0,2834.0,2184.0,650.0,639.0,2195.0,2939.0,2356.0,583.0,490.0,2449.0,2295.0,1967.0,328.0,244.0,2051.0,34509.0,26200.0,8309.0,6725.0,27784.0
Bokaro,'1.2.1',Number of PW given TT1,TOTAL,3346.0,2833.0,513.0,551.0,2795.0,3675.0,3036.0,639.0,695.0,2980.0,3635.0,2873.0,762.0,758.0,2877.0,3728.0,2930.0,798.0,775.0,2953.0,3546.0,2787.0,759.0,835.0,2711.0,3051.0,2434.0,617.0,564.0,2487.0,3134.0,2678.0,456.0,423.0,2711.0,3295.0,2838.0,457.0,465.0,2830.0,3269.0,2759.0,510.0,485.0,2784.0,3553.0,2918.0,635.0,719.0,2834.0,3450.0,2939.0,511.0,636.0,2814.0,2512.0,2199.0,313.0,321.0,2191.0,40194.0,33224.0,6970.0,7227.0,32967.0
Bokaro,'1.2.2',Number of PW given TT2,TOTAL,2392.0,2159.0,233.0,290.0,2102.0,2764.0,2531.0,233.0,375.0,2389.0,2653.0,2426.0,227.0,330.0,2323.0,2502.0,2309.0,193.0,357.0,2145.0,2756.0,2471.0,285.0,357.0,2399.0,2574.0,2196.0,378.0,315.0,2259.0,2465.0,2271.0,194.0,292.0,2173.0,2519.0,2287.0,232.0,318.0,2201.0,2628.0,2394.0,234.0,313.0,2315.0,2734.0,2413.0,321.0,397.0,2337.0,2615.0,2415.0,200.0,271.0,2344.0,2097.0,1909.0,188.0,178.0,1919.0,30699.0,27781.0,2918.0,3793.0,26906.0
Bokaro,'1.2.3',Number of PW given TT Booster,TOTAL,959.0,612.0,347.0,379.0,580.0,930.0,642.0,288.0,326.0,604.0,969.0,793.0,176.0,263.0,706.0,978.0,693.0,285.0,352.0,626.0,871.0,651.0,220.0,227.0,644.0,742.0,578.0,164.0,132.0,610.0,788.0,669.0,119.0,133.0,655.0,863.0,656.0,207.0,227.0,636.0,854.0,629.0,225.0,216.0,638.0,786.0,566.0,220.0,223.0,563.0,820.0,676.0,144.0,122.0,698.0,665.0,550.0,115.0,113.0,552.0,10225.0,7715.0,2510.0,2713.0,7512.0
Bokaro,'1.2.4',Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,3261.0,3013.0,248.0,307.0,2954.0,3501.0,3196.0,305.0,442.0,3059.0,3549.0,3207.0,342.0,358.0,3191.0,3567.0,3229.0,338.0,357.0,3210.0,3248.0,3002.0,246.0,334.0,2914.0,3008.0,2657.0,351.0,239.0,2769.0,3148.0,2840.0,308.0,264.0,2884.0,3052.0,2844.0,208.0,109.0,2943.0,3015.0,2801.0,214.0,216.0,2799.0,3110.0,2929.0,181.0,266.0,2844.0,3402.0,3187.0,215.0,309.0,3093.0,2790.0,2555.0,235.0,220.0,2570.0,38651.0,35460.0,3191.0,3421.0,35230.0
Bokaro,'1.2.5',Number of PW given 360 Calcium tablets,TOTAL,3098.0,2850.0,248.0,297.0,2801.0,3397.0,3092.0,305.0,430.0,2967.0,3411.0,3069.0,342.0,354.0,3057.0,3297.0,2959.0,338.0,374.0,2923.0,3121.0,2875.0,246.0,334.0,2787.0,2981.0,2630.0,351.0,239.0,2742.0,3117.0,2809.0,308.0,264.0,2853.0,2997.0,2789.0,208.0,109.0,2888.0,2897.0,2683.0,214.0,208.0,2689.0,3061.0,2880.0,181.0,258.0,2803.0,3337.0,3122.0,215.0,296.0,3041.0,2705.0,2470.0,235.0,219.0,2486.0,37419.0,34228.0,3191.0,3382.0,34037.0
Bokaro,'1.2.6',Number of PW given one Albendazole tablet after 1st trimester,TOTAL,1154.0,1154.0,0.0,22.0,1132.0,1056.0,1056.0,0.0,0.0,1056.0,1128.0,1128.0,0.0,85.0,1043.0,1234.0,1234.0,0.0,76.0,1158.0,1187.0,1187.0,0.0,47.0,1140.0,1101.0,1101.0,0.0,47.0,1054.0,1194.0,1194.0,0.0,52.0,1142.0,1297.0,1297.0,0.0,55.0,1242.0,1175.0,1175.0,0.0,32.0,1143.0,1213.0,1213.0,0.0,25.0,1188.0,1292.0,1292.0,0.0,30.0,1262.0,1009.0,1009.0,0.0,41.0,968.0,14040.0,14040.0,0.0,512.0,13528.0
