Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,April,April,April,April,April,May,May,May,May,May,June,June,June,June,June,July,July,July,July,July,August,August,August,August,August,September,September,September,September,September,October,October,October,October,October,November,November,November,November,November,December,December,December,December,December,January,January,January,January,January,February,February,February,February,February,March,March,March,March,March,Total,Total,Total,Total,Total
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D]
District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bishnupur,'1.1',Total number of pregnant women registered for ANC,TOTAL,502.0,502.0,,,502.0,500.0,500.0,,,500.0,368.0,368.0,,,368.0,429.0,429.0,,,429.0,398.0,398.0,,,398.0,305.0,305.0,,,305.0,315.0,315.0,,,315.0,356.0,356.0,,,356.0,356.0,356.0,,,356.0,375.0,375.0,,,375.0,406.0,406.0,,,406.0,254.0,254.0,,,254.0,4564.0,4564.0,,,4564.0
Bishnupur,'1.1.1',"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,364.0,364.0,,,364.0,359.0,359.0,,,359.0,247.0,247.0,,,247.0,327.0,327.0,,,327.0,291.0,291.0,,,291.0,209.0,209.0,,,209.0,263.0,263.0,,,263.0,269.0,269.0,,,269.0,285.0,285.0,,,285.0,310.0,310.0,,,310.0,333.0,333.0,,,333.0,227.0,227.0,,,227.0,3484.0,3484.0,,,3484.0
Bishnupur,'1.2.1',Number of PW given TT1,TOTAL,396.0,396.0,,,396.0,416.0,416.0,,,416.0,218.0,218.0,,,218.0,358.0,358.0,,,358.0,345.0,345.0,,,345.0,225.0,225.0,,,225.0,231.0,231.0,,,231.0,272.0,272.0,,,272.0,262.0,262.0,,,262.0,287.0,287.0,,,287.0,266.0,266.0,,,266.0,188.0,188.0,,,188.0,3464.0,3464.0,,,3464.0
Bishnupur,'1.2.2',Number of PW given TT2,TOTAL,237.0,237.0,,,237.0,294.0,294.0,,,294.0,173.0,173.0,,,173.0,254.0,254.0,,,254.0,273.0,273.0,,,273.0,244.0,244.0,,,244.0,211.0,211.0,,,211.0,224.0,224.0,,,224.0,197.0,197.0,,,197.0,200.0,200.0,,,200.0,228.0,228.0,,,228.0,152.0,152.0,,,152.0,2687.0,2687.0,,,2687.0
Bishnupur,'1.2.3',Number of PW given TT Booster,TOTAL,33.0,33.0,,,33.0,32.0,32.0,,,32.0,20.0,20.0,,,20.0,42.0,42.0,,,42.0,39.0,39.0,,,39.0,41.0,41.0,,,41.0,27.0,27.0,,,27.0,35.0,35.0,,,35.0,34.0,34.0,,,34.0,36.0,36.0,,,36.0,42.0,42.0,,,42.0,14.0,14.0,,,14.0,395.0,395.0,,,395.0
Bishnupur,'1.2.4',Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,143.0,143.0,,,143.0,217.0,217.0,,,217.0,153.0,153.0,,,153.0,177.0,177.0,,,177.0,137.0,137.0,,,137.0,156.0,156.0,,,156.0,220.0,220.0,,,220.0,193.0,193.0,,,193.0,166.0,166.0,,,166.0,152.0,152.0,,,152.0,152.0,152.0,,,152.0,146.0,146.0,,,146.0,2012.0,2012.0,,,2012.0
Bishnupur,'1.2.5',Number of PW given 360 Calcium tablets,TOTAL,22.0,22.0,,,22.0,70.0,70.0,,,70.0,20.0,20.0,,,20.0,48.0,48.0,,,48.0,45.0,45.0,,,45.0,23.0,23.0,,,23.0,48.0,48.0,,,48.0,60.0,60.0,,,60.0,40.0,40.0,,,40.0,42.0,42.0,,,42.0,25.0,25.0,,,25.0,31.0,31.0,,,31.0,474.0,474.0,,,474.0
Bishnupur,'1.2.6',Number of PW given one Albendazole tablet after 1st trimester,TOTAL,11.0,11.0,,,11.0,4.0,4.0,,,4.0,1.0,1.0,,,1.0,13.0,13.0,,,13.0,35.0,35.0,,,35.0,10.0,10.0,,,10.0,7.0,7.0,,,7.0,11.0,11.0,,,11.0,6.0,6.0,,,6.0,4.0,4.0,,,4.0,13.0,13.0,,,13.0,12.0,12.0,,,12.0,127.0,127.0,,,127.0
