Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,April,April,April,April,April,May,May,May,May,May,June,June,June,June,June,July,July,July,July,July,August,August,August,August,August,September,September,September,September,September,October,October,October,October,October,November,November,November,November,November,December,December,December,December,December,January,January,January,January,January,February,February,February,February,February,March,March,March,March,March,Total,Total,Total,Total,Total
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D]
District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amritsar,'1.1',Total number of pregnant women registered for ANC,TOTAL,3568.0,3568.0,0.0,1349.0,2219.0,3760.0,3760.0,0.0,1341.0,2419.0,3255.0,3255.0,0.0,1307.0,1948.0,3563.0,3563.0,0.0,1327.0,2236.0,3026.0,3026.0,0.0,1288.0,1738.0,2667.0,2667.0,0.0,1180.0,1487.0,2328.0,2328.0,0.0,898.0,1430.0,2384.0,2384.0,0.0,992.0,1392.0,2430.0,2430.0,0.0,1018.0,1412.0,3599.0,3599.0,0.0,1337.0,2262.0,3808.0,3808.0,0.0,1416.0,2392.0,3317.0,3317.0,0.0,1217.0,2100.0,37705.0,37705.0,0.0,14670.0,23035.0
Amritsar,'1.1.1',"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,2990.0,2990.0,0.0,1085.0,1905.0,3137.0,3137.0,0.0,1032.0,2105.0,2700.0,2700.0,0.0,1007.0,1693.0,2888.0,2888.0,0.0,1023.0,1865.0,2417.0,2417.0,0.0,940.0,1477.0,2084.0,2084.0,0.0,832.0,1252.0,1817.0,1817.0,0.0,640.0,1177.0,1870.0,1870.0,0.0,740.0,1130.0,1986.0,1986.0,0.0,774.0,1212.0,3008.0,3008.0,0.0,1032.0,1976.0,3237.0,3237.0,0.0,1120.0,2117.0,2806.0,2806.0,0.0,972.0,1834.0,30940.0,30940.0,0.0,11197.0,19743.0
Amritsar,'1.2.1',Number of PW given TT1,TOTAL,3415.0,3114.0,301.0,1244.0,2171.0,3568.0,3295.0,273.0,1195.0,2373.0,3008.0,2744.0,264.0,1189.0,1819.0,3337.0,2989.0,348.0,1269.0,2068.0,2862.0,2594.0,268.0,1144.0,1718.0,2481.0,2208.0,273.0,1045.0,1436.0,2221.0,2011.0,210.0,875.0,1346.0,2254.0,2065.0,189.0,897.0,1357.0,2185.0,2028.0,157.0,889.0,1296.0,3276.0,2960.0,316.0,1151.0,2125.0,3668.0,3392.0,276.0,1311.0,2357.0,2830.0,2611.0,219.0,991.0,1839.0,35105.0,32011.0,3094.0,13200.0,21905.0
Amritsar,'1.2.2',Number of PW given TT2,TOTAL,3312.0,3042.0,270.0,1231.0,2081.0,3245.0,3042.0,203.0,1163.0,2082.0,3297.0,3039.0,258.0,1214.0,2083.0,2909.0,2652.0,257.0,1141.0,1768.0,3170.0,2881.0,289.0,1253.0,1917.0,2720.0,2498.0,222.0,1097.0,1623.0,2423.0,2226.0,197.0,1017.0,1406.0,2054.0,1883.0,171.0,801.0,1253.0,2023.0,1868.0,155.0,829.0,1194.0,2251.0,2046.0,205.0,914.0,1337.0,2906.0,2663.0,243.0,1083.0,1823.0,2803.0,2540.0,263.0,1077.0,1726.0,33113.0,30380.0,2733.0,12820.0,20293.0
Amritsar,'1.2.3',Number of PW given TT Booster,TOTAL,188.0,188.0,0.0,21.0,167.0,181.0,180.0,1.0,29.0,152.0,203.0,201.0,2.0,17.0,186.0,202.0,194.0,8.0,19.0,183.0,141.0,141.0,0.0,16.0,125.0,125.0,125.0,0.0,23.0,102.0,154.0,139.0,15.0,26.0,128.0,127.0,127.0,0.0,15.0,112.0,145.0,145.0,0.0,23.0,122.0,213.0,213.0,0.0,29.0,184.0,198.0,198.0,0.0,26.0,172.0,174.0,174.0,0.0,28.0,146.0,2051.0,2025.0,26.0,272.0,1779.0
Amritsar,'1.2.4',Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,1145.0,1020.0,125.0,532.0,613.0,985.0,831.0,154.0,467.0,518.0,1061.0,955.0,106.0,405.0,656.0,895.0,824.0,71.0,507.0,388.0,698.0,598.0,100.0,291.0,407.0,801.0,655.0,146.0,292.0,509.0,703.0,424.0,279.0,218.0,485.0,831.0,579.0,252.0,181.0,650.0,701.0,454.0,247.0,77.0,624.0,715.0,524.0,191.0,144.0,571.0,741.0,579.0,162.0,170.0,571.0,554.0,399.0,155.0,145.0,409.0,9830.0,7842.0,1988.0,3429.0,6401.0
Amritsar,'1.2.5',Number of PW given 360 Calcium tablets,TOTAL,787.0,671.0,116.0,438.0,349.0,617.0,503.0,114.0,236.0,381.0,883.0,830.0,53.0,269.0,614.0,951.0,927.0,24.0,511.0,440.0,973.0,859.0,114.0,415.0,558.0,1096.0,983.0,113.0,417.0,679.0,789.0,523.0,266.0,102.0,687.0,798.0,557.0,241.0,146.0,652.0,830.0,583.0,247.0,140.0,690.0,820.0,629.0,191.0,196.0,624.0,748.0,566.0,182.0,170.0,578.0,635.0,480.0,155.0,225.0,410.0,9927.0,8111.0,1816.0,3265.0,6662.0
Amritsar,'1.2.6',Number of PW given one Albendazole tablet after 1st trimester,TOTAL,689.0,624.0,65.0,227.0,462.0,669.0,604.0,65.0,275.0,394.0,849.0,849.0,0.0,291.0,558.0,635.0,635.0,0.0,282.0,353.0,979.0,979.0,0.0,557.0,422.0,607.0,578.0,29.0,234.0,373.0,395.0,382.0,13.0,177.0,218.0,331.0,331.0,0.0,159.0,172.0,384.0,384.0,0.0,172.0,212.0,484.0,484.0,0.0,220.0,264.0,750.0,704.0,46.0,372.0,378.0,552.0,552.0,0.0,211.0,341.0,7324.0,7106.0,218.0,3177.0,4147.0
