Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,April,April,April,April,April,May,May,May,May,May,June,June,June,June,June,July,July,July,July,July,August,August,August,August,August,September,September,September,September,September,October,October,October,October,October,November,November,November,November,November,December,December,December,December,December,January,January,January,January,January,February,February,February,February,February,March,March,March,March,March,Total,Total,Total,Total,Total
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D]
District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adilabad,'1.1',Total number of pregnant women registered for ANC,TOTAL,1399.0,1399.0,,203.0,1196.0,1422.0,1422.0,,211.0,1211.0,1266.0,1266.0,,167.0,1099.0,1158.0,1158.0,,196.0,962.0,960.0,960.0,,177.0,783.0,958.0,958.0,,141.0,817.0,935.0,935.0,,144.0,791.0,1061.0,1061.0,,205.0,856.0,1102.0,1102.0,,157.0,945.0,1212.0,1212.0,,188.0,1024.0,1097.0,1097.0,,186.0,911.0,1071.0,1071.0,,158.0,913.0,13641.0,13641.0,,2133.0,11508.0
Adilabad,'1.1.1',"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,1217.0,1217.0,,170.0,1047.0,1238.0,1238.0,,177.0,1061.0,1094.0,1094.0,,125.0,969.0,991.0,991.0,,138.0,853.0,838.0,838.0,,129.0,709.0,852.0,852.0,,116.0,736.0,829.0,829.0,,120.0,709.0,943.0,943.0,,169.0,774.0,1007.0,1007.0,,144.0,863.0,1147.0,1147.0,,179.0,968.0,1039.0,1039.0,,174.0,865.0,1013.0,1013.0,,148.0,865.0,12208.0,12208.0,,1789.0,10419.0
Adilabad,'1.2.1',Number of PW given TT1,TOTAL,1254.0,1254.0,,182.0,1072.0,1309.0,1309.0,,188.0,1121.0,947.0,947.0,,156.0,791.0,1080.0,1080.0,,170.0,910.0,901.0,901.0,,155.0,746.0,919.0,919.0,,129.0,790.0,901.0,901.0,,129.0,772.0,1003.0,1003.0,,185.0,818.0,1034.0,1034.0,,143.0,891.0,1110.0,1110.0,,173.0,937.0,1032.0,1032.0,,168.0,864.0,1036.0,1036.0,,143.0,893.0,12526.0,12526.0,,1921.0,10605.0
Adilabad,'1.2.2',Number of PW given TT2,TOTAL,1118.0,1118.0,,155.0,963.0,1266.0,1266.0,,191.0,1075.0,990.0,990.0,,198.0,792.0,1143.0,1143.0,,158.0,985.0,1147.0,1147.0,,169.0,978.0,916.0,916.0,,156.0,760.0,916.0,916.0,,119.0,797.0,861.0,861.0,,125.0,736.0,963.0,963.0,,168.0,795.0,993.0,993.0,,140.0,853.0,1058.0,1058.0,,168.0,890.0,1044.0,1044.0,,164.0,880.0,12415.0,12415.0,,1911.0,10504.0
Adilabad,'1.2.3',Number of PW given TT Booster,TOTAL,181.0,181.0,,9.0,172.0,109.0,109.0,,43.0,66.0,33.0,33.0,,2.0,31.0,83.0,83.0,,21.0,62.0,87.0,87.0,,23.0,64.0,69.0,69.0,,11.0,58.0,59.0,59.0,,17.0,42.0,85.0,85.0,,22.0,63.0,130.0,130.0,,15.0,115.0,144.0,144.0,,19.0,125.0,93.0,93.0,,21.0,72.0,102.0,102.0,,17.0,85.0,1175.0,1175.0,,220.0,955.0
Adilabad,'1.2.4',Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,1089.0,1089.0,,173.0,916.0,1267.0,1267.0,,202.0,1065.0,1127.0,1127.0,,161.0,966.0,1041.0,1041.0,,162.0,879.0,946.0,946.0,,180.0,766.0,848.0,848.0,,115.0,733.0,924.0,924.0,,156.0,768.0,984.0,984.0,,212.0,772.0,887.0,887.0,,161.0,726.0,984.0,984.0,,194.0,790.0,915.0,915.0,,179.0,736.0,1001.0,1001.0,,155.0,846.0,12013.0,12013.0,,2050.0,9963.0
Adilabad,'1.2.5',Number of PW given 360 Calcium tablets,TOTAL,1060.0,1060.0,,173.0,887.0,1187.0,1187.0,,209.0,978.0,1073.0,1073.0,,161.0,912.0,994.0,994.0,,162.0,832.0,946.0,946.0,,180.0,766.0,804.0,804.0,,115.0,689.0,859.0,859.0,,156.0,703.0,954.0,954.0,,212.0,742.0,896.0,896.0,,161.0,735.0,927.0,927.0,,194.0,733.0,864.0,864.0,,179.0,685.0,1006.0,1006.0,,155.0,851.0,11570.0,11570.0,,2057.0,9513.0
Adilabad,'1.2.6',Number of PW given one Albendazole tablet after 1st trimester,TOTAL,733.0,733.0,,66.0,667.0,696.0,696.0,,28.0,668.0,762.0,762.0,,31.0,731.0,665.0,665.0,,66.0,599.0,553.0,553.0,,52.0,501.0,490.0,490.0,,23.0,467.0,536.0,536.0,,44.0,492.0,588.0,588.0,,57.0,531.0,612.0,612.0,,54.0,558.0,713.0,713.0,,61.0,652.0,653.0,653.0,,69.0,584.0,631.0,631.0,,62.0,569.0,7632.0,7632.0,,613.0,7019.0
