Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,April,April,April,April,April,May,May,May,May,May,June,June,June,June,June,July,July,July,July,July,August,August,August,August,August,September,September,September,September,September,October,October,October,October,October,November,November,November,November,November,December,December,December,December,December,January,January,January,January,January,February,February,February,February,February,March,March,March,March,March,Total,Total,Total,Total,Total
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D]
District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Almora,'1.1',Total number of pregnant women registered for ANC,TOTAL,825.0,735.0,90.0,,825.0,1073.0,689.0,384.0,,1073.0,1024.0,641.0,383.0,,1024.0,1157.0,766.0,391.0,,1157.0,1085.0,718.0,367.0,,1085.0,954.0,641.0,313.0,,954.0,769.0,459.0,310.0,,769.0,660.0,463.0,197.0,,660.0,704.0,536.0,168.0,,704.0,848.0,524.0,324.0,,848.0,693.0,633.0,60.0,,693.0,730.0,599.0,131.0,,730.0,10522.0,7404.0,3118.0,,10522.0
Almora,'1.1.1',"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,517.0,497.0,20.0,,517.0,496.0,437.0,59.0,,496.0,518.0,410.0,108.0,,518.0,616.0,543.0,73.0,,616.0,573.0,496.0,77.0,,573.0,483.0,439.0,44.0,,483.0,355.0,321.0,34.0,,355.0,409.0,302.0,107.0,,409.0,453.0,357.0,96.0,,453.0,466.0,371.0,95.0,,466.0,445.0,435.0,10.0,,445.0,437.0,390.0,47.0,,437.0,5768.0,4998.0,770.0,,5768.0
Almora,'1.2.1',Number of PW given TT1,TOTAL,567.0,562.0,5.0,,567.0,546.0,539.0,7.0,,546.0,492.0,477.0,15.0,,492.0,609.0,593.0,16.0,,609.0,561.0,551.0,10.0,,561.0,517.0,511.0,6.0,,517.0,372.0,364.0,8.0,,372.0,362.0,357.0,5.0,,362.0,410.0,406.0,4.0,,410.0,421.0,413.0,8.0,,421.0,488.0,486.0,2.0,,488.0,471.0,463.0,8.0,,471.0,5816.0,5722.0,94.0,,5816.0
Almora,'1.2.2',Number of PW given TT2,TOTAL,431.0,424.0,7.0,,431.0,578.0,574.0,4.0,,578.0,482.0,474.0,8.0,,482.0,466.0,457.0,9.0,,466.0,526.0,513.0,13.0,,526.0,548.0,540.0,8.0,,548.0,450.0,443.0,7.0,,450.0,363.0,358.0,5.0,,363.0,359.0,355.0,4.0,,359.0,359.0,355.0,4.0,,359.0,371.0,368.0,3.0,,371.0,450.0,443.0,7.0,,450.0,5383.0,5304.0,79.0,,5383.0
Almora,'1.2.3',Number of PW given TT Booster,TOTAL,171.0,153.0,18.0,,171.0,155.0,142.0,13.0,,155.0,153.0,132.0,21.0,,153.0,180.0,162.0,18.0,,180.0,173.0,161.0,12.0,,173.0,151.0,136.0,15.0,,151.0,117.0,101.0,16.0,,117.0,125.0,109.0,16.0,,125.0,155.0,136.0,19.0,,155.0,148.0,118.0,30.0,,148.0,181.0,168.0,13.0,,181.0,160.0,146.0,14.0,,160.0,1869.0,1664.0,205.0,,1869.0
Almora,'1.2.4',Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,628.0,538.0,90.0,,628.0,654.0,574.0,80.0,,654.0,735.0,625.0,110.0,,735.0,885.0,785.0,100.0,,885.0,795.0,685.0,110.0,,795.0,708.0,618.0,90.0,,708.0,556.0,486.0,70.0,,556.0,555.0,485.0,70.0,,555.0,605.0,544.0,61.0,,605.0,612.0,512.0,100.0,,612.0,650.0,590.0,60.0,,650.0,612.0,532.0,80.0,,612.0,7995.0,6974.0,1021.0,,7995.0
Almora,'1.2.5',Number of PW given 360 Calcium tablets,TOTAL,745.0,655.0,90.0,,745.0,771.0,691.0,80.0,,771.0,679.0,569.0,110.0,,679.0,835.0,735.0,100.0,,835.0,774.0,664.0,110.0,,774.0,700.0,610.0,90.0,,700.0,518.0,448.0,70.0,,518.0,533.0,463.0,70.0,,533.0,575.0,514.0,61.0,,575.0,562.0,462.0,100.0,,562.0,568.0,508.0,60.0,,568.0,564.0,484.0,80.0,,564.0,7824.0,6803.0,1021.0,,7824.0
Almora,'1.2.6',Number of PW given one Albendazole tablet after 1st trimester,TOTAL,89.0,89.0,0.0,,89.0,103.0,103.0,0.0,,103.0,73.0,73.0,0.0,,73.0,84.0,84.0,0.0,,84.0,79.0,79.0,0.0,,79.0,71.0,71.0,0.0,,71.0,59.0,59.0,0.0,,59.0,56.0,56.0,0.0,,56.0,30.0,30.0,0.0,,30.0,72.0,72.0,0.0,,72.0,50.0,50.0,0.0,,50.0,70.0,70.0,0.0,,70.0,836.0,836.0,0.0,,836.0
