Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,April,April,April,April,April,May,May,May,May,May,June,June,June,June,June,July,July,July,July,July,August,August,August,August,August,September,September,September,September,September,October,October,October,October,October,November,November,November,November,November,December,December,December,December,December,January,January,January,January,January,February,February,February,February,February,March,March,March,March,March,Total,Total,Total,Total,Total
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D]
District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alipurduar,'1.1',Total number of pregnant women registered for ANC,TOTAL,2250.0,2250.0,0.0,18.0,2232.0,2287.0,2287.0,0.0,21.0,2266.0,2552.0,2550.0,2.0,32.0,2520.0,2104.0,2104.0,0.0,44.0,2060.0,1851.0,1851.0,0.0,32.0,1819.0,1786.0,1786.0,0.0,8.0,1778.0,1288.0,1288.0,0.0,21.0,1267.0,1541.0,1541.0,0.0,36.0,1505.0,1789.0,1789.0,0.0,24.0,1765.0,1757.0,1757.0,0.0,35.0,1722.0,2404.0,2404.0,0.0,37.0,2367.0,1956.0,1956.0,0.0,14.0,1942.0,23565.0,23563.0,2.0,322.0,23243.0
Alipurduar,'1.1.1',"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,2076.0,2076.0,,15.0,2061.0,2104.0,2104.0,,17.0,2087.0,2334.0,2334.0,0.0,30.0,2304.0,1902.0,1902.0,0.0,39.0,1863.0,1658.0,1658.0,0.0,29.0,1629.0,1587.0,1587.0,0.0,8.0,1579.0,1131.0,1131.0,0.0,20.0,1111.0,1371.0,1371.0,0.0,35.0,1336.0,1630.0,1630.0,0.0,24.0,1606.0,1606.0,1606.0,0.0,25.0,1581.0,2222.0,2222.0,0.0,35.0,2187.0,1816.0,1816.0,0.0,14.0,1802.0,21437.0,21437.0,0.0,291.0,21146.0
Alipurduar,'1.2.1',Number of PW given TT1,TOTAL,2022.0,2022.0,0.0,17.0,2005.0,2067.0,2067.0,0.0,22.0,2045.0,2370.0,2368.0,2.0,34.0,2336.0,1957.0,1957.0,0.0,42.0,1915.0,1676.0,1676.0,0.0,29.0,1647.0,1688.0,1688.0,0.0,8.0,1680.0,1181.0,1181.0,0.0,20.0,1161.0,1409.0,1409.0,0.0,39.0,1370.0,1647.0,1646.0,1.0,24.0,1623.0,1627.0,1627.0,0.0,34.0,1593.0,2218.0,2218.0,0.0,36.0,2182.0,1823.0,1821.0,2.0,9.0,1814.0,21685.0,21680.0,5.0,314.0,21371.0
Alipurduar,'1.2.2',Number of PW given TT2,TOTAL,1586.0,1586.0,0.0,23.0,1563.0,1840.0,1840.0,0.0,19.0,1821.0,2240.0,2240.0,0.0,23.0,2217.0,1924.0,1924.0,0.0,28.0,1896.0,1682.0,1682.0,0.0,36.0,1646.0,1677.0,1677.0,0.0,15.0,1662.0,1459.0,1459.0,0.0,22.0,1437.0,1094.0,1094.0,0.0,26.0,1068.0,1487.0,1487.0,0.0,28.0,1459.0,1276.0,1276.0,0.0,25.0,1251.0,1574.0,1574.0,0.0,24.0,1550.0,1952.0,1951.0,1.0,12.0,1940.0,19791.0,19790.0,1.0,281.0,19510.0
Alipurduar,'1.2.3',Number of PW given TT Booster,TOTAL,163.0,163.0,0.0,1.0,162.0,163.0,163.0,0.0,1.0,162.0,219.0,219.0,0.0,3.0,216.0,137.0,137.0,0.0,2.0,135.0,139.0,139.0,0.0,3.0,136.0,157.0,155.0,2.0,0.0,157.0,106.0,106.0,0.0,0.0,106.0,146.0,146.0,0.0,0.0,146.0,144.0,142.0,2.0,1.0,143.0,129.0,129.0,0.0,1.0,128.0,167.0,167.0,0.0,2.0,165.0,144.0,143.0,1.0,3.0,141.0,1814.0,1809.0,5.0,17.0,1797.0
Alipurduar,'1.2.4',Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,1384.0,1384.0,0.0,40.0,1344.0,1631.0,1631.0,0.0,33.0,1598.0,1845.0,1843.0,2.0,36.0,1809.0,1829.0,1829.0,0.0,27.0,1802.0,1993.0,1993.0,0.0,68.0,1925.0,2040.0,2040.0,0.0,44.0,1996.0,1864.0,1864.0,0.0,28.0,1836.0,1963.0,1963.0,0.0,55.0,1908.0,1874.0,1872.0,2.0,37.0,1837.0,1615.0,1615.0,0.0,66.0,1549.0,1687.0,1687.0,0.0,49.0,1638.0,1514.0,1514.0,0.0,24.0,1490.0,21239.0,21235.0,4.0,507.0,20732.0
Alipurduar,'1.2.5',Number of PW given 360 Calcium tablets,TOTAL,1087.0,1087.0,0.0,20.0,1067.0,1330.0,1330.0,0.0,26.0,1304.0,1577.0,1575.0,2.0,20.0,1557.0,1653.0,1653.0,0.0,19.0,1634.0,1878.0,1878.0,0.0,47.0,1831.0,1929.0,1929.0,0.0,24.0,1905.0,1768.0,1768.0,0.0,25.0,1743.0,1814.0,1814.0,0.0,37.0,1777.0,1651.0,1649.0,2.0,34.0,1617.0,1323.0,1323.0,0.0,39.0,1284.0,1360.0,1360.0,0.0,32.0,1328.0,1386.0,1386.0,0.0,14.0,1372.0,18756.0,18752.0,4.0,337.0,18419.0
Alipurduar,'1.2.6',Number of PW given one Albendazole tablet after 1st trimester,TOTAL,1624.0,1624.0,,42.0,1582.0,1838.0,1838.0,,21.0,1817.0,1994.0,1994.0,,16.0,1978.0,1787.0,1787.0,,34.0,1753.0,1787.0,1787.0,,37.0,1750.0,1744.0,1744.0,,21.0,1723.0,1556.0,1556.0,,22.0,1534.0,1328.0,1328.0,,16.0,1312.0,1314.0,1314.0,,10.0,1304.0,1191.0,1191.0,,21.0,1170.0,1495.0,1495.0,0.0,25.0,1470.0,1599.0,1599.0,0.0,30.0,1569.0,19257.0,19257.0,0.0,295.0,18962.0
