date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country
2014-06-22 00:00:00,208019.62347587437,4.0,2.52,1788,9951,2.0,0,3,3,1529,0,1982,0,507 Janet Ave NE,Clyde Hill,WA 98056,USA
2014-06-19 00:00:00,62167.02967905137,2.0,2.04,1079,6422,1.0,0,0,4,1495,0,1941,1992,21603 NE 29th St,Seattle,WA 98038,USA
2014-06-12 00:00:00,586100.5082915672,4.0,4.04,1501,29820,2.9,0,0,5,2656,931,1949,2011,3648 Francis Ave N,Seattle,WA 98001,USA
2014-06-04 00:00:00,171092.04214528122,4.0,2.01,2027,3308,1.5,0,2,4,749,701,1957,0,23607 NE 72nd St,Seattle,WA 98117,USA
2014-06-09 00:00:00,1458294.4005518288,5.0,3.13,2306,7309,1.5,0,2,3,1479,1032,1987,16,33336-33412 E Lake Holm Dr SE,Renton,WA 98118,USA
2014-05-23 00:00:00,968466.3893518703,4.0,2.5,3917,5404,2.0,0,3,3,2327,0,1999,0,2919 E Harrison St,Redmond,WA 98029,USA
2014-05-06 00:00:00,379746.35222050536,5.0,2.52,1440,9113,2.0,0,0,3,4116,0,1952,1,9423 Ash Ave SE,Issaquah,WA 98002,USA
2014-05-14 00:00:00,266205.6020143841,4.0,2.51,2369,20172,2.0,0,0,3,4327,0,1999,2,34006 SE Salal St,Auburn,WA 98004,USA
2014-06-02 00:00:00,99755.26711989229,4.0,1.98,1168,45986,1.0,0,0,3,1014,0,1973,0,2069 211th Ave NE,Mercer Island,WA 98014,USA
2014-05-23 00:00:00,466900.603889357,4.0,1.72,2310,26179,1.5,0,3,3,1504,0,1978,2014,12516 Military Rd S,Duvall,WA 98006,USA
2014-06-24 00:00:00,500598.55466086225,5.0,2.5,1893,6901,1.0,0,1,3,2855,395,1976,4,5001-5099 11th Ave NW,Kirkland,WA 98074,USA
2014-05-27 00:00:00,1177498.192559918,4.0,4.81,2816,820,2.0,0,0,3,3796,1163,1974,0,14021 NE 62nd St,Seattle,WA 98053,USA
2014-06-25 00:00:00,372166.5323300149,1.0,1.0,3124,4743,1.0,0,0,4,1197,982,2001,2,19707 NE 181st St,Kenmore,WA 98166,USA
2014-06-07 00:00:00,349358.96598408284,4.0,2.07,2059,10235,1.0,0,4,4,1124,0,1954,3,18600-18698 SE 259th Pl,Algona,WA 98068,USA
2014-05-05 00:00:00,863891.6004899882,4.0,3.05,3830,8780,2.0,0,3,4,4567,5,1980,0,365 Halladay St,Issaquah,WA 98031,USA
2014-06-02 00:00:00,220402.8293041867,4.0,2.12,1189,638,1.0,0,0,3,959,0,1910,5,8520 19th Ave NW,Issaquah,WA 98115,USA
